feature	ASV001	ASV002	ASV003	ASV004	ASV005	ASV006	ASV007	ASV008	ASV009	ASV010	ASV011	ASV012	ASV013	ASV014	ASV015	ASV016	ASV017	ASV018	ASV019	ASV020	ASV021	ASV022	ASV023	ASV024	ASV025	ASV027	ASV028	ASV029	ASV030	ASV032	ASV033	ASV034	ASV035	ASV036	ASV037	ASV038	ASV039	ASV041	ASV042	ASV043	ASV044	ASV045	ASV046	ASV048	ASV049	ASV051	ASV055	ASV056	ASV058	ASV059	ASV061	ASV063	ASV066	ASV067	ASV068	ASV069	ASV071	ASV072	ASV073	ASV079	ASV081	ASV086	ASV090	ASV095	ASV097	ASV105
DINP_high_wk40_dinp_d2_D	0.0218112914717358	0.424485284090854	0.226944753541267	0	0	0	0.71424306806036	0.370795307893848	0.0210087822514777	0.219663946198725	0	0.101863100005012	0.130713307257093	0.0171274832871795	0.118543909687678	0.0693292580944733	0.05496198284914	0.133676207155833	0.0489494951848307	0.108433114427481	0.0204993380166083	0.100614742975378	0.0807141881596161	0.130365232467282	0.0689842592665536	0.0153363763581191	0.115466959232076	0.0380979803364953	0.0519659692155603	0.0254991158655569	0.0141720304145718	0.0298905344392031	0.0155927452370402	0.0649063453530664	0.0310618296906709	0	0.00860243136592072	0.0463387256361522	0.0266647988268231	0.0628109106783645	0.0612520177526642	0.0255509111043966	0.0155077489632257	0.0966231790553252	0	0.0312739160343376	0.0132067460158335	0.0334791682868676	0	0.0207556223259451	0	0.0311043560651571	0	0	0.00919795552433526	0.00650389086958382	0.0272531992215356	0.0175090070007575	0.00961784030976001	0	0.00708525511437831	0	0	0	0.00513811563934397	0
DINP_high_wk40_dinp_d2_E	0.011016801266198	0.806991954443429	0.397690918121753	0.141579959843191	0.118368380934037	0	0.283887592525772	0.194353587319797	0.0145259368136914	0.187534711407507	0.014906624642438	0.0655361996868761	0.0983042579194923	0.156998326019306	0.116644404746234	0.105980335067588	0.101724751036396	0.0492496032524105	0.0293110219891018	0.0952760195411692	0.0187865249244166	0.109834219774934	0.0683203473525171	0.049590192642989	0.0421954075635931	0.017973641422569	0.0851299179246049	0.0534389872120319	0.0262514245109856	0.0252355735905415	0.00529152731611923	0.0171222559480925	0.00529152731611923	0.0527874156742694	0.00842624948580119	0.0795254361733052	0.0298478899441836	0.0112681575166017	0.0205434994084048	0.0460106122702719	0.0499097349523578	0.0221617102535001	0.0656218610968071	0.019421957351231	0.0158183080362987	0.0173928003141937	0.00696425043372333	0.00831273671314037	0.0045277080388277	0.00610741056197791	0.00641097208560003	0.0305897831006572	0	0	0.00831273671314037	0.0245223067501573	0.00409879178305546	0.0070993553751563	0.0344670764229031	0	0.0154600789766386	0.00193132199222257	0.00361940011655702	0	0.00735533654100774	0
DINP_high_wk40_dinp_d2_F	0.00424265341514444	0.620869329756585	0.56158526600284	0	0.180138318189302	0	0.322347051792667	0.25146682791365	0.0161101971628472	0.202336208114343	0.0171906401617457	0.0572232694124102	0.11626300015207	0.109502170181217	0.116474669964469	0.0846941302897509	0.0913830276419029	0.0712611046385695	0.02604788737654	0.0986733467495387	0.0153756180119816	0.0830940046404939	0.0595391452394857	0.0451834585193605	0.0495305514892353	0.0326998327963206	0.0984371805098785	0.0323042715358878	0.0271117517032804	0.0132187055760808	0.00277669224344029	0.0166591618312488	0.00554980325944333	0.0569073927233478	0.0122080466825271	0.123554169944741	0.0138824486428185	0.0129237880991493	0.0296481791233088	0.0593875521303833	0.071711933507511	0.0274884211619894	0.0882186107620624	0.0393724378589373	0.0177061503721899	0.00833076260091231	0.0102640976032107	0.0119957034797342	0.00600003600058321	0.00906654577988471	0.00680446284294204	0.0199579528868696	0	0.0057793054824916	0.00554980325944333	0.0307966362396878	0	0.00698575649690098	0.0202773358850803	0	0.00975207746190079	0	0.00453873787025506	0	0.00453873787025506	0
DINP_high_wk40_dinp_d2_G	0.014741768624127	0.933272884335398	0.240246452255425	0.0157597132471759	0.131877998406794	0	0.14234821038017	0.361859648077506	0.00587370383636257	0.225190333604517	0.00719033316251069	0.0566984861212289	0.112750246078336	0.0406160057914928	0.0695220682301921	0.0715097020592578	0.117021061681677	0.074054145629904	0.0136481707761752	0.0945674538879743	0.020261297404887	0.0342521785705456	0.0700180502184067	0.0493326735398417	0.0236407933561678	0.0210955448127432	0.0538855203674312	0.0329684051511259	0.0287159125247869	0.0271085963599366	0.00669333018977241	0.0150887135714787	0.0186659439362101	0.0531103486722834	0.0164032658793304	0.0124589338001787	0.0160847229056589	0.0175218839856783	0.0178147852197672	0.040188684495247	0.0366383479923232	0.026980986479201	0.0453941847884156	0.0352456140898426	0	0.00765513845002877	0	0.0118922944397481	0	0	0	0.00694987608882578	0	0	0.00615633647659156	0.0131329324799333	0	0.00928452890173793	0.0241462275146661	0.00320936681660536	0.0112972753166246	0	0	0	0.00788043688589513	0
DINP_high_wk40_control_d7_A	0.0190113266742183	0.441355920913603	0.0121149156188815	0.141245305183321	0.00217485803160853	0.538584619601062	0.22313595240485	0.395776909513678	0.036177685220441	0.157462278003255	0.00575329168474713	0.292649294557158	0.162079104322402	0	0.0579144046883065	0.222293504088661	0.0705866526008844	0.110054079785443	0.0654430409669817	0.121621667708418	0.0345931391423823	0.0740038262208118	0.122079478774555	0.0897716247702151	0.099860133154864	0.010806689878926	0.116380497131345	0.0960746050400341	0.0495418142107968	0.0374013120945331	0.0857222641866324	0.0749713738242931	0.00547725296154926	0.0816779909087102	0.0943318777325907	0	0.00981341384986771	0.0479694948555465	0.0418844436990999	0.0502231327047696	0.0251272136881639	0.027092463315953	0.0683416778238099	0.0310315493610463	0	0.0181620832475298	0.00501998124327622	0.00804371776055604	0.0413338693607026	0.00501998124327622	0	0.0136465585431572	0.0283456022454621	0.0102058128676207	0.0094869752887634	0	0	0.0101282035691858	0	0.00931678654524195	0.00664835703228136	0.0104352265223895	0.0132950522476181	0.0203740136680119	0.00804371776055604	0.0148644634219631
DINP_high_wk40_control_d7_B	0.0109254633457098	0.322933775485668	0.0188112396625812	0.186901674451815	0.0106287936335224	0.439845638921981	0.157875996956964	0.626189816831489	0.0155200946958264	0.127621546508736	0.0355895586134643	0.215127806961061	0.329276081865618	0	0.0653210163424761	0.119904955409971	0.0728278413109231	0.0649929633375561	0.0478413279268893	0.0890187034444525	0.0153126851375645	0.134168873127306	0.079108754973523	0.0585772635232554	0.136646773882626	0.0139274743480852	0.140610373449841	0.0717180410206127	0.0289095452516124	0.0261193247781732	0.121624814832744	0.0508692565453293	0.0344008975953026	0.046322503639938	0.0187544724297724	0	0.0054589647386696	0.0181184690517063	0.0208025820474629	0.033457878672085	0.0144532538038015	0.0186404464109307	0.0944626144176175	0.0169638911659382	0.00946058508818523	0.0173368137765296	0	0.00968519142609278	0.0202836490998234	0.00206397820948133	0.0130585486476707	0.0124741360706127	0.0218522539782618	0.00357771639648899	0.00652691389048026	0.00813028021993575	0	0.0104263099455933	0	0.00461520868777545	0.0050596658443336	0.00669333018977241	0.0103236033510582	0.0224775239542055	0	0.00386006139898337
DINP_high_wk40_control_d7_C	0.0135444164821542	0.378294391129338	0.0165575980312885	0.167579547727555	0.00717641164563579	0.538466611160786	0.19970054672191	0.390967738610503	0.028860426687353	0.223439807898018	0.0268235632463364	0.205777485940067	0.298598246979883	0	0.0467145795875421	0.175075952672085	0.06309660422661	0.104768348141038	0.030391879696527	0.117538503305366	0.0207068655029524	0.0697415275577591	0.133370041784971	0.0781218055658695	0.16897138158385	0.0338283675656481	0.124294691165405	0.122981038852453	0.0329323703932136	0.0685905776208395	0.120285634962712	0.0784522507522816	0.0193693292447542	0.0541453217397226	0.0315244216761303	0	0.0100497960267771	0.0371697073410174	0.0412978979478025	0.0552216843586332	0.0136202963015467	0.044241153330342	0.0835385175331555	0.0217745936649698	0.0120974021600671	0.0192090182314754	0.00963342466391979	0.0172884868504498	0.0676955172224399	0.0192090182314754	0.014781573423649	0.02647536136133	0.0177009243358193	0.00574459424210178	0.00406203037295373	0.00352137064985671	0	0.00861404871625198	0	0.0428188772238991	0	0.0159875193982731	0.0173480312983929	0.0226107301500459	0.00896672486543438	0.00641876669039828
DINP_high_wk40_control_d7_D	0.020630156954928	0.315128523268186	0.195967424340877	0.218452349273149	0.00418331233405852	0	0.507260900474533	0.480555801571311	0.0133343743017793	0.298152749242577	0	0.142075780803214	0.0805633031604128	0.0169016626605199	0.220373167193261	0.0569872881201296	0.140801808798359	0.0932227745479388	0.0656149835414265	0.083279443696117	0.0136583527589138	0.104906311848508	0.0571152928693143	0.057472176871057	0.0769967821714368	0.00638753120478284	0.121306984019807	0.0401945502408733	0.0298690020475139	0.0162867876931893	0.0155543405718026	0.0382225762430939	0.00539446774708876	0.0738349813136801	0.0314388549886406	0	0.00615633647659156	0.0390158204101473	0.0242668618566932	0.0564465370421507	0.0541759850666852	0.0134432468703536	0.0102436160689045	0.0997872119633486	0	0.0381079104378687	0	0.0256114507467713	0.00382100393272326	0.015174902813304	0	0.0200569175138356	0	0	0.00724575177436585	0	0.015174902813304	0.00661064570054771	0.0158329702397593	0	0	0	0.00724575177436585	0	0.00566571650154509	0
DINP_high_wk40_control_d7_E	0.00481665645604431	0.652719699394888	0.189144915409801	0.0168210488810143	0.204070578609431	0	0.0440449560650717	0.677678380029614	0.0111907206030855	0.218819376918672	0.0125579572315628	0.0702735213869366	0.0905755224690288	0.0752317138222242	0.0764898839191285	0.180150311006805	0.111197543066972	0.0498804148885482	0.00609101459630592	0.111972918213588	0.0158264308051151	0.0225891962346434	0.052201602681124	0.0264671221606826	0.0185271226233631	0.00913796061420917	0.0719747261496309	0.0340581918688493	0.0203185336561151	0.0213213011384444	0.00986930404930419	0.0207701716834737	0	0.0532590644818287	0.0161168697285249	0.0633453724628756	0.0174969208647823	0.0103285426562042	0.0190213467919889	0.0378047449395741	0.0197394682180119	0.0207701716834737	0.0407595487462246	0.0162601445342514	0	0.0150758488449445	0	0	0	0.00746331254832973	0	0	0	0	0	0	0	0	0.0426522791400383	0	0.00834275822374957	0	0	0	0.013449717743981	0
DINP_high_wk40_control_d7_F	0.00463682586314174	0.566544960152738	0.730126009801994	0.137218643938565	0.213672802439323	0	0.147871027417458	0.122305632091368	0.0112128171762079	0.236662120107207	0.0223585396634674	0.0895635075152362	0.0894257200320967	0.107295794878899	0.131513371369454	0.0916393815065719	0.0630086190996715	0.0383342886510904	0.0303852942247453	0.103842738168589	0.0102108091440146	0.0751031159475343	0.0458134807078113	0.0243925602957336	0.0493005531836431	0.0169784480550299	0.0995620407283179	0.0300808226029113	0.015165639857132	0.00554078642148182	0.00763551786053587	0.0196574100354744	0	0.0468408921473986	0.00554078642148182	0.0534558208163081	0.0065498559895647	0.00678238198206486	0.0242031687118156	0.0398266174385891	0.0331386169307023	0.0178588327078608	0.0769654234902665	0.0391268075114053	0.02228982450906	0.0110751981958675	0.00802504719617386	0	0.00428953527254886	0.0106517740782603	0.00350714277301778	0.0176862549457683	0	0.00802504719617386	0.00721809565110325	0.0188611553835677	0	0	0.021376636781526	0	0.00926835798380825	0	0.0049497676799975	0	0.00463682586314174	0
DINP_high_wk40_control_d7_G	0.0364191062341697	0.645202845564635	0.446564109692663	0.201313460462784	0.120909589888055	0	0.181771613334881	0.375690273178492	0.0163343113812479	0.22221995379389	0.0122366038311956	0.0735396770279258	0.25269466433046	0.0937779972544101	0.106889794817808	0.10055860221011	0.130401063525997	0.0483765447606431	0.0288190024801082	0.0909922707951365	0.0207409421994927	0.104843083872629	0.058623965441662	0.036493850529047	0.0514893196448757	0.0130964043029484	0.101061585993621	0.0449893566726052	0.0175400270449074	0.0289133520937542	0.008882684006387	0.0262987914995803	0.0059498250165771	0.0440711372558576	0.0114313906430249	0.0129920166546712	0.00737570243990053	0.0145724064974693	0.018957532835106	0.0503377440296479	0.0445937757270939	0.0233358274260804	0.0642649473496998	0.0706408092030587	0.01822522358862	0.0111906759193906	0.00638753120478284	0.0129920166546712	0	0.0049497676799975	0.00521538556742557	0.0173056030138834	0	0.00403733681578627	0.00825236608047343	0.0213235764271132	0	0	0.034812605507775	0	0	0	0	0	0.0049497676799975	0
