feature	ASV001	ASV002	ASV003	ASV004	ASV005	ASV006	ASV007	ASV008	ASV009	ASV010	ASV011	ASV012	ASV013	ASV014	ASV015	ASV016	ASV017	ASV018	ASV019	ASV020	ASV021	ASV022	ASV023	ASV024	ASV025	ASV027	ASV028	ASV029	ASV030	ASV032	ASV033	ASV034	ASV035	ASV036	ASV037	ASV038	ASV039	ASV041	ASV042	ASV043	ASV044	ASV045	ASV046	ASV048	ASV049	ASV050	ASV051	ASV055	ASV056	ASV058	ASV059	ASV061	ASV062	ASV063	ASV064	ASV065	ASV066	ASV067	ASV069	ASV070	ASV072	ASV075	ASV083	ASV084	ASV086	ASV087	ASV090	ASV091	ASV095	ASV097	ASV117
BPS_high_wk22_control_d7_A	0.001365002	0.093479768	0.224428481	0.014824837	0.118016101	0.093614583	0.015183541	0.273833369	0.000146852	0.019365214	0.001105002	0.032495233	0.02506837	0	0.004386303	0.005431119	0.001697225	0.011801129	0.000317778	0.005910194	0.000442964	0.002994819	0.005618897	4.33e-05	0.003952969	7.46e-05	0.012783352	0.002248522	4.81e-05	0.000563334	0.003230746	0.002210003	0.000216667	0.001509447	0.000288889	0.000207037	0.000541667	0.00142278	0.000327408	1.93e-05	0.000134815	0.003047782	0.009302236	0.001249446	0.000423704	0	0.000245556	0.000291297	0.000192593	0	8.19e-05	0.000724631	5.06e-05	0.000178148	0.000984631	0.000158889	4.57e-05	0.000411667	0.000137222	3.61e-05	7.7e-05	0	0.000110741	0	5.3e-05	1.2e-05	8.19e-05	2.17e-05	0.000257593	0	1.2e-05
BPS_high_wk22_control_d7_B	0.000725722	0.113276536	0.253838539	0.033182999	0.142878196	0.116196106	0.015292986	0.165197613	0.000161271	0.015201228	0.001443102	0.038040607	0.032015171	0	0.004240328	0.006473104	0.001092753	0.010340839	0.000672891	0.00266376	0.000417081	0.001337441	0.005925337	0	0.004562871	0.000197419	0.008255432	0.003344993	0	0.000297518	0.003559095	0.001195633	0.000169613	0.001971405	0.000225224	0.000164052	0.000784113	0.00066455	0.000422643	0.000330885	8.62e-05	0.001562665	0.005397034	0.000903676	0.000353129	0	7.79e-05	0.00015293	0.000105661	0	3.89e-05	0.001215097	0	0.000147369	0.000144588	1.95e-05	0.000200199	0.000225224	0.000122344	6.67e-05	3.89e-05	0	0.000139027	0	5.28e-05	0	5.56e-05	1.11e-05	8.06e-05	0	0
BPS_high_wk22_control_d7_C	0	0.033870462	0.16959072	0.035996551	0.061245085	0.107346275	0.029406001	0.037818913	0.00038864	0.03997113	0.000326588	0.041016212	0.127379195	0	0.001662334	0.023246548	0.000594391	0.132134319	0.000525807	0.015679499	0.003321402	0.00098303	0.024396138	0.000238409	0	0.000783812	0.01371997	0.011048479	0	0.004196658	0.003968047	0.003974578	0.002197939	0.011753909	0.009262041	0.000212282	5.88e-05	0.00946126	0.002625769	0.002478804	0.000306993	0.011041947	0.012214399	0.000401703	0.000437628	0	0.000715228	0.000689101	0.000506212	0	0.000173092	0.000179624	0.000966701	0.000146965	0.00161008	6.86e-05	0.000199219	0.003184235	0.000107774	0.000757685	0.000313525	0.00016656	0.00049968	0	0.000516009	0.000169826	0.000258005	0.000751153	0.000140433	1.63e-05	0.000104508
BPS_high_wk22_control_d7_D	0	0.125376354	0.245336761	0.093654804	0.175922233	0.045283576	0.010370961	0.024299369	0.000260013	0.062624651	0.009712065	0.034277357	0.041374522	0.007552187	0.012235371	0.013981592	0.004343394	0.007179896	0.000945501	0.010341414	0.00095141	0.003714045	0.009490464	0.001373931	0.002115558	0.000487524	0.009062034	0.001604397	0.006172347	0.000895271	0.000274786	0.000865724	0.000419566	0.003217657	0.000262967	0	0	0	0.006246214	0.002313522	0.001654626	0.004432035	0.008157899	0.007832883	0.000118188	0.001571895	9.75e-05	0.000463886	0	0	0.000177281	0	2.36e-05	0.000130006	0	0	0	3.84e-05	8.86e-05	0	0.000301378	0	2.95e-05	0.00019501	0	0	0	0	2.95e-06	3.84e-05	0
BPS_high_wk22_control_d7_E	1.17e-05	0.073723803	0.313001535	0.026375993	0.178186041	0.109837233	0.012772178	0.035086286	0.000592358	0.055121419	0.004254475	0.014289549	0.029413653	0.028984704	0.00299389	0.010627433	0.001791665	0.013554208	0.001718714	0.024207903	0.001423994	0.00187337	0.010589499	0.000475637	0.004808899	0.000148819	0.01046986	0.004263229	0.001955074	0.002950119	0.000621538	0.001779993	0.001447338	0.001549469	0.000175081	0	0.000157573	0.000102131	0.001806255	0.001712878	0.001251831	0.002080549	0.005827288	0.000714915	0.000180917	0.002223532	9.34e-05	6.42e-05	0	0.000318064	0.000315146	0	6.71e-05	0.00022177	0	0	0	0.000274294	0	0	0.000548588	0	0.000157573	6.42e-05	9.34e-05	0	0	0	0.000408523	1.17e-05	0
BPS_high_wk22_control_d7_F	0	0.059758571	0.337662826	0.016323827	0.228279012	0.088269582	0.017391254	0.022549039	0	0.038884437	0.00948535	0.030683472	0.037857509	0.032109601	0.01436543	0.008872085	0.005128858	0.003847367	0.002010466	0.002447272	0.000188029	0.003199389	0.002646872	0.001157103	0.000512018	9.84e-05	0.012852519	0.001576552	0.001168674	0.000240099	6.94e-05	0.000416557	0.000153316	0.007038077	0.000190922	0	2.31e-05	0	0.00101825	0.000723189	0.001000894	0.001125282	0.003425024	0.000795508	0.000404986	0.00292747	6.36e-05	0.00041945	0	0	0.000147531	0	0	0.000118603	0	0	0	0	8.97e-05	0	5.21e-05	0	0	4.05e-05	2.6e-05	0	0	0	2.89e-06	0	0
BPS_high_wk22_control_d7_G	3.48e-05	0.048743022	0.186625086	0.002599744	0.062222853	0.189016155	0.030034721	0.030762186	0.001066562	0.100630662	0.002428746	0.053278807	0.026252485	0.000304318	0.003901065	0.023131054	0.001953431	0.02280355	0.000182591	0.037054319	0.003573561	0.001414353	0.018638743	0.004602445	0.006167508	0.000808616	0.023707809	0.007431152	0.019415478	0.004153214	0.000521688	0.002976518	0.001654909	0.029237698	0.003153312	0	0.000527484	3.48e-05	0.007973127	0.004816917	0.00218819	0.00970629	0.005486416	0.009259957	0.000313013	0.00354168	0.00021737	0.000463722	0	0.000365181	0.000623127	0	0.000156506	0.000223166	0	0	0	8.69e-05	0.000142015	0	0.002344696	0	8.69e-05	2.61e-05	0.000130422	0	0	0	0.000356487	0.000110134	0
BPS_high_wk22_bps_d7_A	0.002601195	0.10711525	0.229884296	0.014885707	0.101682188	0.13245727	0.013963019	0.214947056	9.08e-05	0.02442424	0.000709194	0.050971154	0.019864787	0	0.004159458	0.009528717	0.003622041	0.013916394	0.000250304	0.00612017	0.000412265	0.001536177	0.005136133	3.44e-05	0.005445332	0.000201225	0.006934884	0.002728801	7.61e-05	0.000507969	0.002228194	0.00209568	0.000181593	0.00138894	0.000311653	0.000233126	0.000539871	0.000907964	0.000311653	0.000152145	0.000132514	0.002731255	0.009752028	0.001411026	0.000252758	0	0.000161961	0.000188955	0.000127606	0	8.1e-05	0.000721464	4.66e-05	0.000147237	0.000269935	0	0.000213494	0.000309199	5.15e-05	1.96e-05	5.64e-05	1.72e-05	0.000120244	0	5.4e-05	0	8.34e-05	7.36e-05	7.36e-06	0	1.96e-05
BPS_high_wk22_bps_d7_B	0.0007756	0.115652774	0.296776152	0.004984819	0.134855092	0.124286503	0.011495998	0.167535192	0.000154568	0.018117582	0.00135523	0.029392768	0.013221087	0	0.005034502	0.009547336	0.000988131	0.010325697	0.000852884	0.002917472	0.000488545	0.001645046	0.005810102	1.1e-05	0.004272702	0.000309136	0.005832183	0.003303892	0	0.000507866	0.001979023	0.001073696	0.000207011	0.002600055	0.000259453	0.008774496	0.000781121	0.000596191	0.000425062	0.000367099	7.18e-05	0.001901739	0.006188242	0.000946729	0.000267734	0	0.000140767	0.00018493	8.56e-05	0	0.000104885	0.000971571	1.66e-05	0.000154568	0.000259453	0.000113166	0.000132487	0.00020149	8.56e-05	4.42e-05	4.42e-05	0	0.000140767	0	4.69e-05	0	6.62e-05	1.1e-05	8.28e-06	0	0
BPS_high_wk22_bps_d7_C	1.57e-05	0.033475077	0.161190225	0.013266223	0.048358112	0.051333152	0.048133482	0.051518602	0.00022463	0.048248409	0.000208958	0.059989239	0.147163917	0	0.001253748	0.022990607	0.000438812	0.120816921	0.000355229	0.02266411	0.002943696	0.001640321	0.035729211	0.000370901	0	0.000611202	0.017670013	0.012722932	0	0.003727289	0.003359	0.003761245	0.002421301	0.014211758	0.010771786	0.000133211	3.4e-05	0.011375153	0.002703395	0.004367223	0.000535455	0.010740443	0.014352805	0.000477991	0.000451872	0	0.000924639	0.000739189	0.000681726	0	0.000331721	0.000232466	0.001042178	0.000261198	0.002567572	0	0.000146271	0.001958982	8.1e-05	0.000666054	0.000525007	0.00022463	0.000459708	0	0.000297765	0.000175002	0.00019851	0.001016058	0	7.57e-05	0.000114927
