feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV014	age_week	wk40	-0.0218773770039036	0.00988926843482137	13	8	0.0773912165665168	0.222499747628736
ASV080	age_week	wk40	-0.00680292929131933	0.00334240134716749	13	8	0.0975871911865866	0.269340647674979
ASV046	age_week	wk40	-0.0158364267026466	0.00914770909104282	13	13	0.158464616253793	0.420540712365835
ASV072	age_week	wk40	-0.00743633661483545	0.00501517019385953	13	13	0.166209923833322	0.424758694240712
ASV003	age_week	wk40	-0.119870127434804	0.078196168305907	13	13	0.178569849600303	0.440047129372176
ASV093	age_week	wk40	-0.00503094836406974	0.00360856349903366	13	4	0.215291483694859	0.495170412498175
ASV098	age_week	wk40	0.00586736113641294	0.00440482384180549	13	6	0.20979008799352	0.495170412498175
ASV077	age_week	wk40	-0.00586166634342062	0.00427299505870249	13	8	0.226802297556376	0.50481801714161
ASV092	age_week	wk40	-0.00407392106376499	0.00324418920642289	13	10	0.235221458868935	0.507196270686141
ASV028	age_week	wk40	-0.0168485440315822	0.0136582006859129	13	13	0.243066766316673	0.508230511389408
ASV012	age_week	wk40	-0.00958712346517675	0.00867994582532206	13	13	0.292944560111331	0.577519275648053
ASV061	age_week	wk40	-0.0114372091393662	0.00989484107059128	13	7	0.292229353411788	0.577519275648053
ASV018	age_week	wk40	-0.0375575135329788	0.0358351687733363	13	13	0.317092149145301	0.607759952528494
ASV056	age_week	wk40	-0.00480194662745877	0.0051843163036583	13	13	0.38990201677693	0.705487245689533
ASV059	age_week	wk40	-0.00444946773678881	0.00506815594220449	13	11	0.398753660607127	0.705487245689533
ASV070	age_week	wk40	0.00659865580019655	0.00667352049581916	13	8	0.394265603921429	0.705487245689533
ASV020	age_week	wk40	-0.0184175713094737	0.0239423669935051	13	13	0.457946968553136	0.770691239760155
ASV038	age_week	wk40	-0.012026350522897	0.0152916380512863	13	6	0.448206484337271	0.770691239760155
ASV065	age_week	wk40	-0.00133469814944822	0.00171544577095881	13	10	0.472835733500156	0.776801562178828
ASV008	age_week	wk40	0.00403122238858029	0.00566873439783285	13	13	0.508726245816104	0.784973552002745
ASV029	age_week	wk40	0.000687950528563013	0.000938763817225925	13	13	0.498045102717055	0.784973552002745
ASV067	age_week	wk40	-0.00482692242262042	0.00732218052904666	13	13	0.523315701335163	0.784973552002745
ASV068	age_week	wk40	-0.00143526870654583	0.0020705083618725	13	13	0.51618018355221	0.784973552002745
ASV043	age_week	wk40	-0.00119512151291978	0.00195980167473074	13	13	0.566746215293863	0.821099909009407
ASV084	age_week	wk40	0.00328322357504403	0.00562489387792506	13	9	0.571199936702196	0.821099909009407
ASV071	age_week	wk40	0.00299171403204477	0.00574800470097273	13	11	0.621085019970051	0.874589109753745
ASV023	age_week	wk40	-0.00453025769380686	0.00960926714316336	13	13	0.646534085808652	0.890278740333653
ASV066	age_week	wk40	-0.00143486721855365	0.00303533053205802	13	4	0.658032112420526	0.890278740333653
ASV009	age_week	wk40	-0.00413745014793679	0.0163776668836722	13	13	0.805214574644905	0.941691621194889
ASV015	age_week	wk40	-0.000399353308039996	0.00128022411297021	13	13	0.770096290691254	0.941691621194889
ASV024	age_week	wk40	0.00252139560395479	0.00874017035225896	13	11	0.77834013366455	0.941691621194889
ASV025	age_week	wk40	0.00214657762530065	0.00793357198839476	13	13	0.791732070369452	0.941691621194889
ASV027	age_week	wk40	-0.000589779740710779	0.00166637826253243	13	13	0.737512317400046	0.941691621194889
ASV030	age_week	wk40	-0.00884783529827781	0.0243012830095361	13	13	0.722693077260732	0.941691621194889
ASV034	age_week	wk40	0.000339442785716221	0.00124438315432482	13	13	0.790075296252358	0.941691621194889
ASV041	age_week	wk40	0.00447617439932058	0.0137335782273554	13	13	0.755357824716657	0.941691621194889
ASV063	age_week	wk40	0.000775026077460071	0.00381794431179927	13	13	0.842844549749877	0.956272956071696
ASV075	age_week	wk40	-0.000253262029128174	0.00123226880569107	13	5	0.845400729280775	0.956272956071696
ASV001	age_week	wk40	-0.00151256553492799	0.00880323757601686	13	13	0.869752245814421	0.967950080019275
ASV016	age_week	wk40	-0.00169595449459065	0.012039679420438	13	13	0.890524043664729	0.975335857347084
ASV019	age_week	wk40	-0.000106343118808864	0.00469100042286565	13	13	0.982728088323332	0.984748734828169
ASV033	age_week	wk40	0.000145008809881798	0.00449170316354012	13	13	0.974824143918533	0.984748734828169
ASV037	age_week	wk40	0.000716637239775084	0.0221643188740851	13	13	0.975314497428301	0.984748734828169
ASV044	age_week	wk40	0.000142590806117727	0.00713871153154755	13	13	0.984748734828169	0.984748734828169
ASV062	age_week	wk40	0.000220780608308727	0.00340135593111551	13	12	0.94941060429788	0.984748734828169
ASV082	age_week	wk40	-4.59399220214687e-05	0.00185925936989971	13	6	0.981277279883317	0.984748734828169
