mz__rtMin,putative_mw,mz,rtMin,ion,lcms_run
485.29083__1.572,486.29811,485.29083,1.572,[M-H]-1,high-bps-wk07-wk22
262.76876__0.344,263.77604,262.76876,0.344,[M-H]-1,high-bps-wk07-wk22
339.32674__3.204,340.33401,339.32674,3.204,[M-H]-1,high-bps-wk07-wk22
458.8651__0.585,459.87238,458.8651,0.585,[M-H]-1,high-bps-wk07-wk22
232.88962__1.279,233.8969,232.88962,1.279,[M-H]-1,high-bps-wk07-wk22
518.77183__0.552,519.77911,518.77183,0.552,[M-H]-1,high-bps-wk07-wk22
628.79667__0.57,629.80453,628.79667,0.57,[M-H]-1,high-bps-wk07-wk22
344.05998__1.466,345.06726,344.05998,1.466,[M-H]-1,high-bps-wk07-wk22
260.77172__0.351,261.779,260.77172,0.351,[M-H]-1,high-bps-wk07-wk22
260.7718__0.415,261.77908,260.7718,0.415,[M-H]-1,high-bps-wk07-wk22
292.80745__0.537,293.81473,292.80745,0.537,[M-H]-1,high-bps-wk07-wk22
107.01557__2.209,108.0226,107.01557,2.209,[M-H]-1,high-bps-wk07-wk22
294.80409__0.528,295.81162,294.80409,0.528,[M-H]-1,high-bps-wk07-wk22
152.00108__0.472,153.00821,152.00108,0.472,[M-H]-1,high-bps-wk07-wk22
154.92693__4.591,155.93421,154.92693,4.591,[M-H]-1,high-bps-wk07-wk22
447.06415__1.98,448.07143,447.06415,1.98,[M-H]-1,high-bps-wk07-wk22
309.2416__2.09,310.24888,309.2416,2.09,[M-H]-1,high-bps-wk07-wk22
197.04454__1.337,198.05214,197.04454,1.337,[M-H]-1,high-bps-wk07-wk22
243.01602__0.462,244.02327,243.01602,0.462,[M-H]-1,high-bps-wk07-wk22
161.84121__2.073,162.84849,161.84121,2.073,[M-H]-1,high-bps-wk07-wk22
179.05518__0.476,180.06235,179.05518,0.476,[M-H]-1,high-bps-wk07-wk22
532.71972__0.531,533.72781,532.71972,0.531,[M-H]-1,high-bps-wk07-wk22
329.10332__1.363,330.11054,329.10332,1.363,[M-H]-1,high-bps-wk07-wk22
331.10319__3.691,332.11052,331.10319,3.691,[M-H]-1,high-bps-wk07-wk22
526.87784__0.619,527.88498,526.87784,0.619,[M-H]-1,high-bps-wk07-wk22
240.09623__3.741,241.10342,240.09623,3.741,[M-H]-1,high-bps-wk07-wk22
93.03311__0.045,94.04041,93.03311,0.045,[M-H]-1,high-bps-wk07-wk22
492.27975__1.639,493.28703,492.27975,1.639,[M-H]-1,high-bps-wk07-wk22
72.99163__0.461,73.99909,72.99163,0.461,[M-H]-1,high-bps-wk07-wk22
74.98956__0.472,75.99681,74.98956,0.472,[M-H]-1,high-bps-wk07-wk22
588.6812__0.529,589.68847,588.6812,0.529,[M-H]-1,high-bps-wk07-wk22
588.6782__0.522,589.68548,588.6782,0.522,[M-H]-1,high-bps-wk07-wk22
147.04413__0.741,148.05141,147.04413,0.741,[M-H]-1,high-bps-wk07-wk22
596.79137__0.573,597.79865,596.79137,0.573,[M-H]-1,high-bps-wk07-wk22
357.1558__1.395,358.16302,357.1558,1.395,[M-H]-1,high-bps-wk07-wk22
152.98526__0.463,153.99267,152.98526,0.463,[M-H]-1,high-bps-wk07-wk22
163.03903__2.57,164.04607,163.03903,2.57,[M-H]-1,high-bps-wk07-wk22
506.12506__2.107,507.13234,506.12506,2.107,[M-H]-1,high-bps-wk07-wk22
366.75983__0.522,367.76711,366.75983,0.522,[M-H]-1,high-bps-wk07-wk22
124.93477__1.096,125.94204,124.93477,1.096,[M-H]-1,high-bps-wk07-wk22
