mz__rtMin,putative_mw,mz,rtMin,ion,lcms_run
249.02251__1.425,250.02979,249.02251,1.425,[M-H]-1,high-bps-wk07-wk22
249.02252__1.428,204.02432,249.02252,1.428,[M+FA-H]-1,high-bps-wk07-wk22
96.96817__0.481,97.97545,96.96817,0.481,[M-H]-1,high-bps-wk07-wk22
110.95664__0.518,111.96392,110.95664,0.518,[M-H]-1,high-bps-wk07-wk22
112.93586__0.467,113.94314,112.93586,0.467,[M-H]-1,high-bps-wk07-wk22
112.98425__0.582,113.99152,112.98425,0.582,[M-H]-1,high-bps-wk07-wk22
92.9266__0.502,93.93387,92.9266,0.502,[M-H]-1,high-bps-wk07-wk22
92.9266__0.328,93.93387,92.9266,0.328,[M-H]-1,high-bps-wk07-wk22
92.9266__0.62,93.93387,92.9266,0.62,[M-H]-1,high-bps-wk07-wk22
78.95756__0.485,79.96484,78.95756,0.485,[M-H]-1,high-bps-wk07-wk22
102.95542__0.539,103.9627,102.95542,0.539,[M-H]-1,high-bps-wk07-wk22
110.95665__0.646,111.96393,110.95665,0.646,[M-H]-1,high-bps-wk07-wk22
293.17596__1.527,294.18324,293.17596,1.527,[M-H]-1,high-bps-wk07-wk22
95.91532__1.428,96.9226,95.91532,1.428,[M-H]-1,high-bps-wk07-wk22
117.01795__0.48,118.02524,117.01795,0.48,[M-H]-1,high-bps-wk07-wk22
116.01618__0.482,117.02344,116.01618,0.482,[M-H]-1,high-bps-wk07-wk22
160.84106__1.799,161.84834,160.84106,1.799,[M-H]-1,high-bps-wk07-wk22
239.05944__3.176,240.06672,239.05944,3.176,[M-H]-1,high-bps-wk07-wk22
90.96677__1.332,109.98461,90.96677,1.332,[M-H-H2O]-1,high-bps-wk07-wk22
90.96674__1.331,91.97401,90.96674,1.331,[M-H]-1,high-bps-wk07-wk22
122.93891__1.433,123.94619,122.93891,1.433,[M-H]-1,high-bps-wk07-wk22
165.03987__2.589,166.04715,165.03987,2.589,[M-H]-1,high-bps-wk07-wk22
391.28564__1.832,392.2929,391.28564,1.832,[M-H]-1,high-bps-wk07-wk22
391.28558__1.84,346.28738,391.28558,1.84,[M+FA-H]-1,high-bps-wk07-wk22
223.02793__3.168,242.04577,223.02793,3.168,[M-H-H2O]-1,high-bps-wk07-wk22
223.02786__3.176,224.03513,223.02786,3.176,[M-H]-1,high-bps-wk07-wk22
239.05944__2.867,240.06671,239.05944,2.867,[M-H]-1,high-bps-wk07-wk22
248.96022__0.584,249.9675,248.96022,0.584,[M-H]-1,high-bps-wk07-wk22
96.95904__0.455,97.96634,96.95904,0.455,[M-H]-1,high-bps-wk07-wk22
154.92713__0.492,155.9344,154.92713,0.492,[M-H]-1,high-bps-wk07-wk22
316.94774__0.585,317.95502,316.94774,0.585,[M-H]-1,high-bps-wk07-wk22
104.95251__0.532,105.95978,104.95251,0.532,[M-H]-1,high-bps-wk07-wk22
96.95882__0.45,97.9661,96.95882,0.45,[M-H]-1,high-bps-wk07-wk22
190.01709__0.477,191.02437,190.01709,0.477,[M-H]-1,high-bps-wk07-wk22
190.01712__0.478,131.00326,190.01712,0.478,[M-H+HAc]-1,high-bps-wk07-wk22
90.98447__0.473,91.99174,90.98447,0.473,[M-H]-1,high-bps-wk07-wk22
88.98658__0.459,89.99386,88.98658,0.459,[M-H]-1,high-bps-wk07-wk22
160.84105__2.188,161.84833,160.84105,2.188,[M-H]-1,high-bps-wk07-wk22
195.81028__1.792,196.81756,195.81028,1.792,[M-H]-1,high-bps-wk07-wk22
197.80729__1.806,198.81457,197.80729,1.806,[M-H]-1,high-bps-wk07-wk22
238.93131__0.572,239.93858,238.93131,0.572,[M-H]-1,high-bps-wk07-wk22
296.89016__0.548,297.89744,296.89016,0.548,[M-H]-1,high-bps-wk07-wk22
407.28029__1.589,408.28772,407.28029,1.589,[M-H]-1,high-bps-wk07-wk22
154.92712__0.63,155.93437,154.92712,0.63,[M-H]-1,high-bps-wk07-wk22
231.94091__0.482,232.94819,231.94091,0.482,[M-H]-1,high-bps-wk07-wk22
100.0212__0.48,101.02856,100.0212,0.48,[M-H]-1,high-bps-wk07-wk22
99.0186__0.394,100.02587,99.0186,0.394,[M-H]-1,high-bps-wk07-wk22
160.84102__1.479,161.84829,160.84102,1.479,[M-H]-1,high-bps-wk07-wk22
176.93496__0.471,177.94223,176.93496,0.471,[M-H]-1,high-bps-wk07-wk22
271.06134__1.513,272.06853,271.06134,1.513,[M-H]-1,high-bps-wk07-wk22
180.97209__0.583,181.97937,180.97209,0.583,[M-H]-1,high-bps-wk07-wk22
268.80088__0.503,269.80816,268.80088,0.503,[M-H]-1,high-bps-wk07-wk22
266.80395__0.516,267.81123,266.80395,0.516,[M-H]-1,high-bps-wk07-wk22
164.95603__0.552,165.9633,164.95603,0.552,[M-H]-1,high-bps-wk07-wk22
96.95872__0.339,97.966,96.95872,0.339,[M-H]-1,high-bps-wk07-wk22
453.28614__1.592,454.29341,453.28614,1.592,[M-H]-1,high-bps-wk07-wk22
269.06615__1.349,270.07343,269.06615,1.349,[M-H]-1,high-bps-wk07-wk22
95.91532__1.328,96.92259,95.91532,1.328,[M-H]-1,high-bps-wk07-wk22
313.07846__3.166,314.08574,313.07846,3.166,[M-H]-1,high-bps-wk07-wk22
132.86659__0.479,133.87372,132.86659,0.479,[M-H]-1,high-bps-wk07-wk22
134.86408__0.513,135.87124,134.86408,0.513,[M-H]-1,high-bps-wk07-wk22
306.91902__0.575,307.9263,306.91902,0.575,[M-H]-1,high-bps-wk07-wk22
176.93517__0.386,195.95304,176.93517,0.386,[M-H-H2O]-1,high-bps-wk07-wk22
239.01621__0.494,240.02348,239.01621,0.494,[M-H]-1,high-bps-wk07-wk22
244.90576__0.526,245.91322,244.90576,0.526,[M-H]-1,high-bps-wk07-wk22
313.07845__2.369,314.08573,313.07845,2.369,[M-H]-1,high-bps-wk07-wk22
95.93307__0.515,96.94035,95.93307,0.515,[M-H]-1,high-bps-wk07-wk22
236.1051__1.527,237.11237,236.1051,1.527,[M-H]-1,high-bps-wk07-wk22
194.94564__0.472,195.95287,194.94564,0.472,[M-H]-1,high-bps-wk07-wk22
130.08605__0.618,131.09333,130.08605,0.618,[M-H]-1,high-bps-wk07-wk22
254.92619__0.575,255.93347,254.92619,0.575,[M-H]-1,high-bps-wk07-wk22
260.99838__0.543,262.00566,260.99838,0.543,[M-H]-1,high-bps-wk07-wk22
265.14789__1.639,266.15515,265.14789,1.639,[M-H]-1,high-bps-wk07-wk22
253.0505__1.52,254.05778,253.0505,1.52,[M-H]-1,high-bps-wk07-wk22
199.96852__0.477,200.9758,199.96852,0.477,[M-H]-1,high-bps-wk07-wk22
197.80719__0.327,198.81447,197.80719,0.327,[M-H]-1,high-bps-wk07-wk22
186.88347__1.432,187.89075,186.88347,1.432,[M-H]-1,high-bps-wk07-wk22
100.02121__0.617,101.02885,100.02121,0.617,[M-H]-1,high-bps-wk07-wk22
268.80089__0.628,269.80816,268.80089,0.628,[M-H]-1,high-bps-wk07-wk22
132.8666__0.34,133.87388,132.8666,0.34,[M-H]-1,high-bps-wk07-wk22
228.90241__0.54,229.90969,228.90241,0.54,[M-H]-1,high-bps-wk07-wk22
257.08187__1.55,258.08915,257.08187,1.55,[M-H]-1,high-bps-wk07-wk22
255.08759__1.528,256.0949,255.08759,1.528,[M-H]-1,high-bps-wk07-wk22
384.93533__0.586,385.9426,384.93533,0.586,[M-H]-1,high-bps-wk07-wk22
165.03992__1.917,166.04719,165.03992,1.917,[M-H]-1,high-bps-wk07-wk22
389.26995__1.696,390.2772,389.26995,1.696,[M-H]-1,high-bps-wk07-wk22
79.95585__0.474,80.96313,79.95585,0.474,[M-H]-1,high-bps-wk07-wk22
104.94608__0.72,105.95336,104.94608,0.72,[M-H]-1,high-bps-wk07-wk22
281.24861__2.122,282.25588,281.24861,2.122,[M-H]-1,high-bps-wk07-wk22
160.84101__3.125,161.84829,160.84101,3.125,[M-H]-1,high-bps-wk07-wk22
132.94497__0.482,133.95225,132.94497,0.482,[M-H]-1,high-bps-wk07-wk22
73.02803__0.481,74.03533,73.02803,0.481,[M-H]-1,high-bps-wk07-wk22
176.93499__0.61,177.94236,176.93499,0.61,[M-H]-1,high-bps-wk07-wk22
176.93499__0.657,195.95289,176.93499,0.657,[M-H-H2O]-1,high-bps-wk07-wk22
286.86146__0.531,287.86873,286.86146,0.531,[M-H]-1,high-bps-wk07-wk22
392.28939__1.824,393.29667,392.28939,1.824,[M-H]-1,high-bps-wk07-wk22
244.89722__0.54,245.9045,244.89722,0.54,[M-H]-1,high-bps-wk07-wk22
216.92913__0.476,217.93637,216.92913,0.476,[M-H]-1,high-bps-wk07-wk22
164.07072__0.755,165.078,164.07072,0.755,[M-H]-1,high-bps-wk07-wk22
165.05472__0.809,166.06201,165.05472,0.809,[M-H]-1,high-bps-wk07-wk22
227.97272__1.583,228.98,227.97272,1.583,[M-H]-1,high-bps-wk07-wk22
313.07841__2.608,314.08569,313.07841,2.608,[M-H]-1,high-bps-wk07-wk22
150.88541__0.503,151.89269,150.88541,0.503,[M-H]-1,high-bps-wk07-wk22
221.15423__1.527,222.16154,221.15423,1.527,[M-H]-1,high-bps-wk07-wk22
171.90972__1.218,172.917,171.90972,1.218,[M-H]-1,high-bps-wk07-wk22
278.82957__0.522,279.83685,278.82957,0.522,[M-H]-1,high-bps-wk07-wk22
276.83255__0.541,277.83983,276.83255,0.541,[M-H]-1,high-bps-wk07-wk22
160.84103__3.408,161.84831,160.84103,3.408,[M-H]-1,high-bps-wk07-wk22
162.83816__1.389,163.84543,162.83816,1.389,[M-H]-1,high-bps-wk07-wk22
216.92796__0.486,217.93514,216.92796,0.486,[M-H]-1,high-bps-wk07-wk22
144.01129__0.477,145.01889,144.01129,0.477,[M-H]-1,high-bps-wk07-wk22
298.94297__1.421,299.95025,298.94297,1.421,[M-H]-1,high-bps-wk07-wk22
147.02876__0.863,148.03604,147.02876,0.863,[M-H]-1,high-bps-wk07-wk22
194.94578__0.679,195.95397,194.94578,0.679,[M-H]-1,high-bps-wk07-wk22
156.92421__0.622,157.93147,156.92421,0.622,[M-H]-1,high-bps-wk07-wk22
234.8684__0.51,235.87575,234.8684,0.51,[M-H]-1,high-bps-wk07-wk22
202.91403__0.466,203.9213,202.91403,0.466,[M-H]-1,high-bps-wk07-wk22
240.05933__3.087,241.0666,240.05933,3.087,[M-H]-1,high-bps-wk07-wk22
134.95664__0.473,135.96426,134.95664,0.473,[M-H]-1,high-bps-wk07-wk22
154.91119__1.331,155.91847,154.91119,1.331,[M-H]-1,high-bps-wk07-wk22
154.9112__1.326,173.92905,154.9112,1.326,[M-H-H2O]-1,high-bps-wk07-wk22
122.95665__0.475,77.95841,122.95665,0.475,[M+FA-H]-1,high-bps-wk07-wk22
122.95664__0.472,123.9638,122.95664,0.472,[M-H]-1,high-bps-wk07-wk22
345.28303__2.675,346.29043,345.28303,2.675,[M-H]-1,high-bps-wk07-wk22
269.04566__1.552,270.05294,269.04566,1.552,[M-H]-1,high-bps-wk07-wk22
120.01109__0.48,75.01288,120.01109,0.48,[M+FA-H]-1,high-bps-wk07-wk22
120.01112__0.478,121.0184,120.01112,0.478,[M-H]-1,high-bps-wk07-wk22
244.8958__0.548,245.90307,244.8958,0.548,[M-H]-1,high-bps-wk07-wk22
97.91111__1.435,98.91839,97.91111,1.435,[M-H]-1,high-bps-wk07-wk22
170.94316__0.561,171.95044,170.94316,0.561,[M-H]-1,high-bps-wk07-wk22
160.84099__0.457,161.84826,160.84099,0.457,[M-H]-1,high-bps-wk07-wk22
178.94449__0.535,179.95176,178.94449,0.535,[M-H]-1,high-bps-wk07-wk22
132.86662__0.776,133.8739,132.86662,0.776,[M-H]-1,high-bps-wk07-wk22
105.00019__0.482,60.00195,105.00019,0.482,[M+FA-H]-1,high-bps-wk07-wk22
278.82956__0.623,279.83684,278.82956,0.623,[M-H]-1,high-bps-wk07-wk22
162.83798__0.472,163.84526,162.83798,0.472,[M-H]-1,high-bps-wk07-wk22
88.96881__0.475,89.97608,88.96881,0.475,[M-H]-1,high-bps-wk07-wk22
329.23345__1.528,330.24073,329.23345,1.528,[M-H]-1,high-bps-wk07-wk22
374.90641__0.578,375.91368,374.90641,0.578,[M-H]-1,high-bps-wk07-wk22
239.05937__1.628,240.06667,239.05937,1.628,[M-H]-1,high-bps-wk07-wk22
322.91342__0.581,323.92069,322.91342,0.581,[M-H]-1,high-bps-wk07-wk22
321.91046__0.579,322.91773,321.91046,0.579,[M-H]-1,high-bps-wk07-wk22
152.88251__0.501,153.88979,152.88251,0.501,[M-H]-1,high-bps-wk07-wk22
328.98592__0.544,329.9932,328.98592,0.544,[M-H]-1,high-bps-wk07-wk22
132.86661__4.516,133.87389,132.86661,4.516,[M-H]-1,high-bps-wk07-wk22
192.03271__0.478,193.03999,192.03271,0.478,[M-H]-1,high-bps-wk07-wk22
192.03271__0.48,133.01903,192.03271,0.48,[M-H+HAc]-1,high-bps-wk07-wk22
311.22299__1.639,126.10451,311.22299,1.639,[2M-H+HAc]-1,high-bps-wk07-wk22
160.84107__4.607,161.84834,160.84107,4.607,[M-H]-1,high-bps-wk07-wk22
241.10794__1.378,242.11532,241.10794,1.378,[M-H]-1,high-bps-wk07-wk22
147.06517__1.255,148.07245,147.06517,1.255,[M-H]-1,high-bps-wk07-wk22
134.86412__0.754,135.8714,134.86412,0.754,[M-H]-1,high-bps-wk07-wk22
313.07845__1.781,314.08571,313.07845,1.781,[M-H]-1,high-bps-wk07-wk22
111.01869__0.534,112.02597,111.01869,0.534,[M-H]-1,high-bps-wk07-wk22
111.01867__0.42,130.03651,111.01867,0.42,[M-H-H2O]-1,high-bps-wk07-wk22
312.88489__0.549,313.89217,312.88489,0.549,[M-H]-1,high-bps-wk07-wk22
124.93469__1.436,125.94196,124.93469,1.436,[M-H]-1,high-bps-wk07-wk22
102.98448__0.477,57.98628,102.98448,0.477,[M+FA-H]-1,high-bps-wk07-wk22
102.98449__0.477,103.99181,102.98449,0.477,[M-H]-1,high-bps-wk07-wk22
170.8322__0.469,171.83947,170.8322,0.469,[M-H]-1,high-bps-wk07-wk22
168.91561__0.498,169.92289,168.91561,0.498,[M-H]-1,high-bps-wk07-wk22
145.04938__0.476,146.05671,145.04938,0.476,[M-H]-1,high-bps-wk07-wk22
136.86159__0.473,137.86887,136.86159,0.473,[M-H]-1,high-bps-wk07-wk22
136.86167__0.341,137.86894,136.86167,0.341,[M-H]-1,high-bps-wk07-wk22
112.03901__0.475,113.04629,112.03901,0.475,[M-H]-1,high-bps-wk07-wk22
160.84107__1.287,161.84834,160.84107,1.287,[M-H]-1,high-bps-wk07-wk22
110.03465__0.358,111.04191,110.03465,0.358,[M-H]-1,high-bps-wk07-wk22
91.02062__1.776,92.02789,91.02062,1.776,[M-H]-1,high-bps-wk07-wk22
116.07033__0.531,117.07761,116.07033,0.531,[M-H]-1,high-bps-wk07-wk22
224.0276__3.167,225.03488,224.0276,3.167,[M-H]-1,high-bps-wk07-wk22
132.86664__4.886,133.87392,132.86664,4.886,[M-H]-1,high-bps-wk07-wk22
150.8854__0.623,151.89268,150.8854,0.623,[M-H]-1,high-bps-wk07-wk22
176.00133__0.475,177.00859,176.00133,0.475,[M-H]-1,high-bps-wk07-wk22
198.90135__1.332,199.90881,198.90135,1.332,[M-H]-1,high-bps-wk07-wk22
218.87349__0.526,219.88076,218.87349,0.526,[M-H]-1,high-bps-wk07-wk22
210.84165__0.505,211.84926,210.84165,0.505,[M-H]-1,high-bps-wk07-wk22
208.84459__0.503,81.92315,208.84459,0.503,[2M+FA-H]-1,high-bps-wk07-wk22
208.84456__0.504,209.85184,208.84456,0.504,[M-H]-1,high-bps-wk07-wk22
208.8446__0.623,209.85188,208.8446,0.623,[M-H]-1,high-bps-wk07-wk22
149.00842__2.603,150.01569,149.00842,2.603,[M-H]-1,high-bps-wk07-wk22
198.074__0.577,199.08128,198.074,0.577,[M-H]-1,high-bps-wk07-wk22
452.92276__0.587,453.93004,452.92276,0.587,[M-H]-1,high-bps-wk07-wk22
391.28567__1.668,392.29293,391.28567,1.668,[M-H]-1,high-bps-wk07-wk22
220.87058__0.535,221.87791,220.87058,0.535,[M-H]-1,high-bps-wk07-wk22
236.86536__0.627,237.87264,236.86536,0.627,[M-H]-1,high-bps-wk07-wk22
255.19673__2.022,274.21459,255.19673,2.022,[M-H-H2O]-1,high-bps-wk07-wk22
92.9266__2.033,93.93387,92.9266,2.033,[M-H]-1,high-bps-wk07-wk22
160.84109__2.409,161.84836,160.84109,2.409,[M-H]-1,high-bps-wk07-wk22
170.83232__1.219,171.8396,170.83232,1.219,[M-H]-1,high-bps-wk07-wk22
485.28272__1.853,486.29,485.28272,1.853,[M-H]-1,high-bps-wk07-wk22
485.28269__1.845,426.26875,485.28269,1.845,[M-H+HAc]-1,high-bps-wk07-wk22
302.85605__0.533,303.86332,302.85605,0.533,[M-H]-1,high-bps-wk07-wk22
329.19077__1.54,330.19805,329.19077,1.54,[M-H]-1,high-bps-wk07-wk22
132.86663__4.757,133.8739,132.86663,4.757,[M-H]-1,high-bps-wk07-wk22
187.86018__2.104,188.86745,187.86018,2.104,[M-H]-1,high-bps-wk07-wk22
364.87744__0.555,365.88472,364.87744,0.555,[M-H]-1,high-bps-wk07-wk22
160.84106__4.786,161.84834,160.84106,4.786,[M-H]-1,high-bps-wk07-wk22
175.02385__0.471,176.03113,175.02385,0.471,[M-H]-1,high-bps-wk07-wk22
216.92791__0.635,217.93513,216.92791,0.635,[M-H]-1,high-bps-wk07-wk22
223.02786__1.626,224.03514,223.02786,1.626,[M-H]-1,high-bps-wk07-wk22
210.84156__0.631,211.84884,210.84156,0.631,[M-H]-1,high-bps-wk07-wk22
212.88623__0.493,213.89351,212.88623,0.493,[M-H]-1,high-bps-wk07-wk22
90.9667__0.478,91.97402,90.9667,0.478,[M-H]-1,high-bps-wk07-wk22
327.21773__1.511,328.22501,327.21773,1.511,[M-H]-1,high-bps-wk07-wk22
292.82744__0.506,293.83467,292.82744,0.506,[M-H]-1,high-bps-wk07-wk22
212.88619__0.55,213.89359,212.88619,0.55,[M-H]-1,high-bps-wk07-wk22
212.88631__0.633,213.89358,212.88631,0.633,[M-H]-1,high-bps-wk07-wk22
252.00029__0.482,253.00757,252.00029,0.482,[M-H]-1,high-bps-wk07-wk22
297.04699__2.326,298.05427,297.04699,2.326,[M-H]-1,high-bps-wk07-wk22
170.83231__4.86,171.83958,170.83231,4.86,[M-H]-1,high-bps-wk07-wk22
168.83534__4.662,169.84262,168.83534,4.662,[M-H]-1,high-bps-wk07-wk22
95.93304__0.639,96.94031,95.93304,0.639,[M-H]-1,high-bps-wk07-wk22
297.04698__3.154,298.05425,297.04698,3.154,[M-H]-1,high-bps-wk07-wk22
144.9081__0.462,145.91538,144.9081,0.462,[M-H]-1,high-bps-wk07-wk22
297.04703__2.385,298.05431,297.04703,2.385,[M-H]-1,high-bps-wk07-wk22
297.04699__2.38,316.06483,297.04699,2.38,[M-H-H2O]-1,high-bps-wk07-wk22
387.25455__1.627,388.26177,387.25455,1.627,[M-H]-1,high-bps-wk07-wk22
442.894__0.58,443.90127,442.894,0.58,[M-H]-1,high-bps-wk07-wk22
492.10924__2.084,493.11652,492.10924,2.084,[M-H]-1,high-bps-wk07-wk22
88.95106__1.433,89.95834,88.95106,1.433,[M-H]-1,high-bps-wk07-wk22
294.82429__0.507,295.83162,294.82429,0.507,[M-H]-1,high-bps-wk07-wk22
224.02751__2.86,225.03478,224.02751,2.86,[M-H]-1,high-bps-wk07-wk22
80.9637__0.461,81.97098,80.9637,0.461,[M-H]-1,high-bps-wk07-wk22
208.84561__0.636,209.85289,208.84561,0.636,[M-H]-1,high-bps-wk07-wk22
189.11243__1.244,190.1197,189.11243,1.244,[M-H]-1,high-bps-wk07-wk22
380.87244__0.564,381.87972,380.87244,0.564,[M-H]-1,high-bps-wk07-wk22
111.01869__0.399,112.02596,111.01869,0.399,[M-H]-1,high-bps-wk07-wk22
160.84107__0.328,161.84835,160.84107,0.328,[M-H]-1,high-bps-wk07-wk22
273.13468__1.383,274.14191,273.13468,1.383,[M-H]-1,high-bps-wk07-wk22
390.90156__0.585,391.90884,390.90156,0.585,[M-H]-1,high-bps-wk07-wk22
390.90162__0.623,355.93221,390.90162,0.623,[M+Cl]-1,high-bps-wk07-wk22
494.10639__2.091,495.11367,494.10639,2.091,[M-H]-1,high-bps-wk07-wk22
92.02451__1.424,93.03179,92.02451,1.424,[M-H]-1,high-bps-wk07-wk22
255.82212__1.722,256.82939,255.82212,1.722,[M-H]-1,high-bps-wk07-wk22
111.956__0.515,112.96328,111.956,0.515,[M-H]-1,high-bps-wk07-wk22
451.27041__1.587,452.27769,451.27041,1.587,[M-H]-1,high-bps-wk07-wk22
154.91121__1.514,155.91849,154.91121,1.514,[M-H]-1,high-bps-wk07-wk22
170.83231__0.347,171.83958,170.83231,0.347,[M-H]-1,high-bps-wk07-wk22
120.92328__1.428,121.93056,120.92328,1.428,[M-H]-1,high-bps-wk07-wk22
94.92364__0.794,95.93091,94.92364,0.794,[M-H]-1,high-bps-wk07-wk22
168.91567__0.653,169.92295,168.91567,0.653,[M-H]-1,high-bps-wk07-wk22
287.04442__1.534,288.0517,287.04442,1.534,[M-H]-1,high-bps-wk07-wk22
162.83794__0.331,163.84522,162.83794,0.331,[M-H]-1,high-bps-wk07-wk22
287.9948__0.473,242.99657,287.9948,0.473,[M+FA-H]-1,high-bps-wk07-wk22
287.99479__0.474,289.00207,287.99479,0.474,[M-H]-1,high-bps-wk07-wk22
287.99484__0.473,251.04619,287.99484,0.473,[M-2H+K]-1,high-bps-wk07-wk22
134.86413__1.265,135.87141,134.86413,1.265,[M-H]-1,high-bps-wk07-wk22
249.02255__1.858,250.02983,249.02255,1.858,[M-H]-1,high-bps-wk07-wk22
274.88712__0.49,275.89433,274.88712,0.49,[M-H]-1,high-bps-wk07-wk22
494.10625__1.878,495.11352,494.10625,1.878,[M-H]-1,high-bps-wk07-wk22
92.02386__1.419,93.03114,92.02386,1.419,[M-H]-1,high-bps-wk07-wk22
353.20024__1.686,354.20752,353.20024,1.686,[M-H]-1,high-bps-wk07-wk22
272.795__0.505,273.80227,272.795,0.505,[M-H]-1,high-bps-wk07-wk22
352.78301__0.508,353.79028,352.78301,0.508,[M-H]-1,high-bps-wk07-wk22
160.91423__0.532,161.92151,160.91423,0.532,[M-H]-1,high-bps-wk07-wk22
190.92768__4.558,191.93496,190.92768,4.558,[M-H]-1,high-bps-wk07-wk22
329.1929__1.564,330.20018,329.1929,1.564,[M-H]-1,high-bps-wk07-wk22
335.9345__0.466,336.94177,335.9345,0.466,[M-H]-1,high-bps-wk07-wk22
224.00514__0.484,225.01242,224.00514,0.484,[M-H]-1,high-bps-wk07-wk22
170.94173__0.455,125.94353,170.94173,0.455,[M+FA-H]-1,high-bps-wk07-wk22
170.94172__0.466,171.949,170.94172,0.466,[M-H]-1,high-bps-wk07-wk22
211.09702__1.37,212.10469,211.09702,1.37,[M-H]-1,high-bps-wk07-wk22
224.86561__0.463,225.87289,224.86561,0.463,[M-H]-1,high-bps-wk07-wk22
122.03141__0.753,123.03869,122.03141,0.753,[M-H]-1,high-bps-wk07-wk22
126.87977__4.04,127.88698,126.87977,4.04,[M-H]-1,high-bps-wk07-wk22
126.87968__4.148,127.88692,126.87968,4.148,[M-H]-1,high-bps-wk07-wk22
172.82972__1.201,173.837,172.82972,1.201,[M-H]-1,high-bps-wk07-wk22
132.8666__0.648,133.87387,132.8666,0.648,[M-H]-1,high-bps-wk07-wk22
391.28859__2.07,392.29587,391.28859,2.07,[M-H]-1,high-bps-wk07-wk22
360.23906__1.426,361.24633,360.23906,1.426,[M-H]-1,high-bps-wk07-wk22
166.03858__2.609,167.04586,166.03858,2.609,[M-H]-1,high-bps-wk07-wk22
350.78604__0.508,351.79329,350.78604,0.508,[M-H]-1,high-bps-wk07-wk22
350.78587__0.624,351.79314,350.78587,0.624,[M-H]-1,high-bps-wk07-wk22
120.94104__0.47,121.94835,120.94104,0.47,[M-H]-1,high-bps-wk07-wk22
172.82969__0.375,173.83696,172.82969,0.375,[M-H]-1,high-bps-wk07-wk22
296.61678__1.434,595.24828,296.61678,1.434,[M-2H]-2,high-bps-wk07-wk22
295.60899__1.43,593.23256,295.60899,1.43,[M-2H]-2,high-bps-wk07-wk22
354.84869__0.536,355.85597,354.84869,0.536,[M-H]-1,high-bps-wk07-wk22
136.9164__0.491,137.92363,136.9164,0.491,[M-H]-1,high-bps-wk07-wk22
136.91637__0.625,137.92365,136.91637,0.625,[M-H]-1,high-bps-wk07-wk22
113.93519__0.467,114.94246,113.93519,0.467,[M-H]-1,high-bps-wk07-wk22
94.97939__0.447,95.98667,94.97939,0.447,[M-H]-1,high-bps-wk07-wk22
149.05972__1.229,150.06701,149.05972,1.229,[M-H]-1,high-bps-wk07-wk22
367.2443__2.313,368.25158,367.2443,2.313,[M-H]-1,high-bps-wk07-wk22
132.86659__1.318,133.87387,132.86659,1.318,[M-H]-1,high-bps-wk07-wk22
299.20175__1.989,300.20903,299.20175,1.989,[M-H]-1,high-bps-wk07-wk22
405.26458__1.587,406.27203,405.26458,1.587,[M-H]-1,high-bps-wk07-wk22
172.82975__4.812,173.83703,172.82975,4.812,[M-H]-1,high-bps-wk07-wk22
170.83241__4.605,171.83969,170.83241,4.605,[M-H]-1,high-bps-wk07-wk22
255.1237__1.375,256.13116,255.1237,1.375,[M-H]-1,high-bps-wk07-wk22
255.12375__1.43,256.1312,255.12375,1.43,[M-H]-1,high-bps-wk07-wk22
292.82751__0.627,293.83479,292.82751,0.627,[M-H]-1,high-bps-wk07-wk22
58.99465__1.113,60.00193,58.99465,1.113,[M-H]-1,high-bps-wk07-wk22
58.99464__1.142,78.01248,58.99464,1.142,[M-H-H2O]-1,high-bps-wk07-wk22
208.99404__0.494,210.00132,208.99404,0.494,[M-H]-1,high-bps-wk07-wk22
208.994__0.49,149.98025,208.994,0.49,[M-H+HAc]-1,high-bps-wk07-wk22
206.99607__0.473,208.00336,206.99607,0.473,[M-H]-1,high-bps-wk07-wk22
214.88325__0.499,215.89056,214.88325,0.499,[M-H]-1,high-bps-wk07-wk22
249.02255__2.049,250.02983,249.02255,2.049,[M-H]-1,high-bps-wk07-wk22
290.85552__0.532,291.86279,290.85552,0.532,[M-H]-1,high-bps-wk07-wk22
326.75947__0.503,327.76674,326.75947,0.503,[M-H]-1,high-bps-wk07-wk22
326.75943__0.5,133.8731,326.75943,0.5,[2M-H+HAc]-1,high-bps-wk07-wk22
311.03767__0.472,312.04494,311.03767,0.472,[M-H]-1,high-bps-wk07-wk22
510.88137__0.584,451.86741,510.88137,0.584,[M-H+HAc]-1,high-bps-wk07-wk22
510.88136__0.582,511.88863,510.88136,0.582,[M-H]-1,high-bps-wk07-wk22
172.82956__0.919,173.83684,172.82956,0.919,[M-H]-1,high-bps-wk07-wk22
487.23721__1.51,488.24447,487.23721,1.51,[M-H]-1,high-bps-wk07-wk22
297.047__2.596,298.05427,297.047,2.596,[M-H]-1,high-bps-wk07-wk22
255.06592__1.487,256.0732,255.06592,1.487,[M-H]-1,high-bps-wk07-wk22
153.86749__1.709,154.87476,153.86749,1.709,[M-H]-1,high-bps-wk07-wk22
198.91708__0.485,99.96202,198.91708,0.485,[2M-H]-1,high-bps-wk07-wk22
520.91017__0.588,521.91745,520.91017,0.588,[M-H]-1,high-bps-wk07-wk22
168.96239__0.47,169.96967,168.96239,0.47,[M-H]-1,high-bps-wk07-wk22
168.96198__0.47,61.98163,168.96198,0.47,[2M+FA-H]-1,high-bps-wk07-wk22
166.96452__0.453,167.97212,166.96452,0.453,[M-H]-1,high-bps-wk07-wk22
