feature	ASV001	ASV002	ASV003	ASV004	ASV005	ASV006	ASV007	ASV008	ASV009	ASV010	ASV011	ASV012	ASV013	ASV014	ASV015	ASV016	ASV017	ASV018	ASV019	ASV020	ASV021	ASV022	ASV023	ASV024	ASV025	ASV027	ASV028	ASV029	ASV030	ASV032	ASV033	ASV034	ASV035	ASV036	ASV037	ASV038	ASV039	ASV041	ASV042	ASV043	ASV044	ASV045	ASV046	ASV048	ASV049	ASV051	ASV055	ASV056	ASV058	ASV059	ASV061	ASV063	ASV066	ASV067	ASV068	ASV069	ASV071	ASV072	ASV073	ASV079	ASV081	ASV086	ASV090	ASV095	ASV097	ASV105
DINP_high_wk40_control_d2_A	6.95e-05	0.491980724	1.3e-05	0.005431642	0	0.051939531	0.05324747	0.110114586	0.001729435	0.021244237	9.56e-05	0.044591606	0.034575658	0	0.001051566	0.030486719	0.005453368	0.015829977	0.000286791	0.022869384	0.001546932	0.002016225	0.045395489	0.005057945	0.0013905	0.000451913	0.009477128	0.000690905	0.002702785	0.002237836	0.00977261	0.001664255	0.000143395	0.003697862	0.006335467	0	0.000373697	0.005518548	0.001325321	0.000477984	0.000147741	0.00097335	0.002064024	0.000199884	0	0.001811996	2.17e-05	3.91e-05	0.001364428	0	0	2.61e-05	5.21e-05	3.91e-05	0.000191194	0	0	0.000199884	0	2.17e-05	0.000156431	4.35e-05	3.04e-05	0.000199884	0.000165122	4.78e-05
DINP_high_wk40_control_d2_B	0.00014521	0.309293243	0.000228187	0.026530031	3.21e-05	0.038999221	0.257692823	0.069395229	0.001206939	0.044796301	0.00115979299999999	0.028116025	0.025579567	0	0.003183302	0.005891372	0.013010427	0.010068513	0.003072037	0.010979375	0.000822227	0.0138798	0.028876019	0.016203158	0.016993326	0.001668971	0.025234457	0.002951343	0.002941914	0.001567135	0.007056822	0.000799597	0.002781618	0.003613274	0.002368618	0	0.000247045	0.001027784	0.001344606	0.000712848	0.000460146	0.001587879	0.009789408	0.000371511	0.000115036	0.002470454	0.000135781	0.000275333	0.000282876	0.000116922	0.000296077	0.000326251	0.001895272	4.53e-05	0.000233844	0.000156525	0	0.000181041	0	6.6e-05	8.49e-05	3.02e-05	1.13e-05	3.77e-06	2.45e-05	9.99e-05
DINP_high_wk40_control_d2_C	0.000254089	0.219336768	0.000122043	0.013586755	5.8e-05	0.039949982	0.219780923	0.088038814	0.003227129	0.067949782	0.000468164	0.018430451	0.110902816	0	0.00151453	0.009755414	0.012728455	0.018202371	0.000846296	0.021779623	0.000510179	0.006348222	0.018654529	0.010817786	0.030968839	0.004517581	0.017306057	0.008248887	0.004585605	0.004893713	0.00848497	0.001578552	0.001436503	0.002158756	0.00177062	0	0.000178062	0.00105837	0.002452859	0.003561246	0.000524183	0.00391337	0.004821688	0.000326114	0.000140049	0.000812284	0.000300105	0.001460511	0.004123443	0.000278097	0.00017206	0.001986695	0.001432501	0	0.000340119	8e-06	0	0.000230081	0	0.0008563	8.2e-05	0.000158055	7.2e-05	0.00014405	0.00017206	0.00014405
DINP_high_wk40_control_d2_D	0.000279013	0.169280168	0.052081013	0.027300567	0	0	0.372750735	0.14653607	0.000301515	0.051738996	0	0.013696411	0.016245784	0.000121506	0.012164087	0.007105843	0.017055823	0.018291133	0.002954393	0.009259197	0.000384769	0.010728518	0.007555865	0.013514152	0.005157249	0.000225011	0.010136739	0.001410818	0.002952142	0.000762787	0.000317265	0.001066551	0.000159758	0.003757681	0.000639031	0	2.03e-05	0.003046647	0.00062553	0.003165903	0.003413415	0.00040727	0.000310515	0.00765937	0	0.001122804	0.000148507	0.001059801	1.35e-05	0.000452272	0	0.000792038	0	3.6e-05	3.15e-05	2.48e-05	0.00062103	0.000382518	6.98e-05	6.75e-06	4.73e-05	0	2.25e-05	0	2.03e-05	0
DINP_high_wk40_control_d2_E	7.38e-05	0.498988596	0.133167384	0.025711076	0.01115162	0	0.082944637	0.082516278	0.000271294	0.029540133	0.000168964	0.002056125	0.010323459	0.022757777	0.014190591	0.008983646	0.012289152	0.002748639	0.00073535	0.008493413	0.00031175	0.010275863	0.004224099	0.001484979	0.001830046	0.000597323	0.007962723	0.002770057	0.000773426	0.000566386	2.38e-05	0.000264155	2.86e-05	0.002758158	6.66e-05	0.002160835	0.000980467	0.000133267	0.00063302	0.002394052	0.002846209	0.00052355	0.004559647	0.000449777	0.000333168	0.00010709	2.62e-05	0.000116609	0	6.66e-05	5.47e-05	0.000982847	0	0	3.81e-05	0.001011404	3.33e-05	5.47e-05	0.001132772	0	0.000168964	0	1.19e-05	0	1.9e-05	0
DINP_high_wk40_control_d2_F	2.28e-05	0.40934403	0.321495191	0.017440243	0.029175009	0	0.063353142	0.022156041	6.39e-05	0.038091242	0.000282765	0.00230316999999999	0.007630106	0.012309418	0.013381191	0.005176432	0.005016806	0.00236246	0.000784446	0.009221802	0.000127701	0.006731642	0.001951994	0.001149305	0.001837975	0.000944072	0.005938074	0.000789007	0.000506241	0.000155065	3.65e-05	0.00025084	0	0.003457036	0.000132261	0.000820932	0.000118579	0.000141383	0.000706914	0.002097937	0.002572253	0.00056097	0.00603385	0.000706914	0.000446952	5.47e-05	0.000109458	0.000114018	0	0.000114018	0	0.000446952	0	1.82e-05	4.56e-05	0.000629381	3.19e-05	0	0.000419587	0	9.58e-05	0	1.37e-05	0	3.19e-05	0
DINP_high_wk40_control_d2_G	0.000118337	0.516867684	0.187716627	0.024016169	0.012465861	0	0.084754155	0.029995298	0.000133908	0.045634457	0.000137022	0.004172934	0.01229147	0.006972536	0.006222031	0.003824151	0.008760047	0.002338711	0.000843929	0.008358324	0.000358125	0.009280107	0.004144907	0.003182641	0.002858771	0.000563657	0.004440749	0.001672288	0.000747391	0.000688223	7.16e-05	0.000174391	0.000292728	0.002027298	0.000261587	0.000193076	0.000267815	0.000242902	0.000426636	0.00134219	0.002310684	0.00073182	0.003515852	0.001712771	0.000401723	0.00010588	4.05e-05	0.000112109	3.11e-05	4.98e-05	0	0.00037681	0	2.49e-05	9.34e-05	0.000706907	5.92e-05	4.05e-05	0.000498261	0	0.000242902	0	0	0	4.36e-05	0
DINP_high_wk40_dinp_d2_A	0.000258633	0.356334772	6.93e-05	0.020141368	0	0.016979115	0.239168749	0.05624865	0.002791635	0.029796107	0.000117318	0.045242088	0.031425227	0	0.003108927	0.018858869	0.008260254	0.016712483	0.002509005	0.021954465	0.00155713	0.01482473	0.033398303	0.013344923	0.010379977	0.00035462	0.014787401	0.001581127	0.002652987	0.001746438	0.00548195	0.001562463	0.000122651	0.002682316	0.005233983	0	0.000757234	0.005185989	0.001231839	0.000466606	0.000786564	0.000773232	0.003282238	0.000370618	0	0.003018272	0.000106653	8.27e-05	0.001786433	1.33e-05	0	0.000613253	0	4.27e-05	0.000269298	0	1.07e-05	0.000309293	0	5.6e-05	0.000122651	5.87e-05	5.07e-05	0	9.33e-05	0.00020264
DINP_high_wk40_dinp_d2_B	0.000166325	0.33452731	0.000258398	0.054575425	9.21e-05	0.046309662	0.17329591	0.112076391	0.001413763	0.036873682	0.001134575	0.012994149	0.023935965	0	0.005652084	0.006685675	0.014942529	0.017235439	0.003011672	0.014927678	0.001054382	0.011289317	0.021417328	0.012982269	0.01726514	0.001021711	0.024467611	0.00227509	0.003421545	0.001390003	0.015836526	0.000896968	0.002465176	0.00131575	0.001888978	0	0.000347501	0.001048442	0.000923698	0.000210876	0.000481155	0.002970091	0.008681577	0.000184146	8.02e-05	0.002661202	0.000383142	0.000187116	0.000172265	6.53e-05	0.00032374	0.000760343	7.13e-05	4.16e-05	0.000115834	2.67e-05	0	0.000415813	0	4.46e-05	0	2.97e-05	0	0.000130684	3.56e-05	4.16e-05
DINP_high_wk40_dinp_d2_C	0.00018334	0.191093905	0.000124884	0.019638686	5.05e-05	0.030190063	0.246263442	0.097234216	0.003565839	0.063789196	0.000324167	0.018400474	0.104817603	0	0.001620836	0.009823329	0.012127042	0.018663528	0.000797132	0.024503851	0.000345424	0.006114006	0.020358763	0.00864623	0.031802928	0.004357657	0.022452564	0.007676385	0.004458627	0.004939564	0.00973033	0.001448124	0.001588951	0.00188389	0.001897175	0	0.00018334	0.00118507	0.002399369	0.00320713	0.000648334	0.00415306	0.004657911	0.00034011	6.38e-05	0.00076259	0.000308225	0.001264783	0.002455168	0.000278996	0.000172712	0.002123029	0.00176432	0	0.000244454	0	0	0.000236483	0	0.000919359	5.58e-05	0.000156769	8.24e-05	0	0.000164741	0.000175369
