sample,ASV001,ASV002,ASV003,ASV004,ASV005,ASV006,ASV007,ASV008,ASV009,ASV010,ASV011,ASV012,ASV013,ASV014,ASV015,ASV016,ASV017,ASV018,ASV019,ASV020,ASV021,ASV022,ASV023,ASV024,ASV025,ASV027,ASV028,ASV029,ASV030,ASV031,ASV032,ASV033,ASV034,ASV035,ASV036,ASV037,ASV038,ASV039,ASV040,ASV041,ASV042,ASV043,ASV044,ASV045,ASV046,ASV048,ASV049,ASV050,ASV051,ASV052,ASV054,ASV055,ASV056,ASV058,ASV059,ASV061,ASV062,ASV063,ASV064,ASV065,ASV066,ASV067,ASV068,ASV069,ASV070,ASV071,ASV072,ASV073,ASV075,ASV076,ASV077,ASV078,ASV079,ASV080,ASV081,ASV082,ASV083,ASV084,ASV085,ASV086,ASV087,ASV090,ASV091,ASV092,ASV093,ASV095,ASV097,ASV098,ASV099,ASV102,ASV103,ASV104,ASV108,ASV110,ASV111,ASV112,ASV114,ASV117,ASV126,ASV127,ASV136
DINP_high_wk22_control_d2_D,8.28e-5,0.330718017,0.100702408,0.0108653,0.05734149,0.087316986,0.099311545,0.031573463,4.79608e-4,0.057411251,0.003924065,0.015905543,0.04470382,0.008558822,0.004678357,0.008002913,0.016459273,0.01630885,0.001048597,0.015951324,0.002208377,0.004961762,0.010036886,0.005251707,0.005046784,6.99792e-4,0.006097561,0.002356619,0.007710788,1.09e-5,0.002367519,3.18285e-4,4.16387e-4,0.002031794,0.008201296,0.001244801,0,3.27e-5,0,1.74e-5,0.005358529,0.002862387,0.002343539,0.005266967,0.00301281,0.001650287,4.49087e-4,0.002871108,8.07e-5,0,0,4.79608e-4,4.99228e-4,1.41702e-4,2.85585e-4,0,2.83e-5,0.001981653,0,0,0,1.54783e-4,1.04642e-4,9.46136e-4,0,0,4.01127e-4,2.62e-5,0,0,1.31e-5,0,3.49e-5,0,1.09002e-4,0,9.81e-5,9.16e-5,0,2.62e-5,1.96e-5,0,0,7.41e-5,0,6.54e-6,1.11182e-4,2.62e-5,4.36e-5,0,0,0,0,0,0,0,0,0,0,1.09e-5,0
DINP_high_wk22_control_d2_E,5.88e-5,0.246609118,0.207000025,0.025162995,0.122710577,0.020355101,0.076068958,0.026345356,1.34487e-4,0.048148989,0.006886832,0.008279329,0.073323191,0.017133027,0.006813985,0.008368986,0.016480207,0.009212329,3.61433e-4,0.009660618,0.001157145,0.004449264,0.004068218,0.003454623,9.89037e-4,3.47424e-4,0.009458888,0.001308442,0.00862395,0,0.00144573,1.76514e-4,3.78243e-4,4.56694e-4,0.002947497,5.51955e-4,0,3.92e-5,0,0,0.0105656,0.001748325,0.001961262,0.003768425,0.005847363,0.00262529,4.3428e-4,9.75028e-4,3.36e-5,0,0,6.69631e-4,2.96991e-4,6.44e-5,8.97e-5,0,1.68e-5,7.39676e-4,0,0,0,3.92e-5,8.41e-5,5.01523e-4,0,1.12e-5,1.98928e-4,0,0,0,0,0,3.92e-5,5.6e-6,5.32e-5,0,3.64e-5,7e-5,0,4.76e-5,1.68e-5,0,0,0,0,0,3.92e-5,0,0,0,0,2.8e-5,0,0,0,0,0,0,0,0,0
DINP_high_wk22_control_d2_F,1.02566e-4,0.25217116,0.239131937,0.022539928,0.08257208,0.054622926,0.073584203,0.074886342,7.8e-5,0.068993273,0.009266588,0.006009012,0.013012466,0.016876518,0.005050246,0.002443739,0.0129099,0.006903118,9.85523e-4,0.004836196,4.25871e-4,0.005569764,0.008691329,0.003331156,0.002909744,1.4493e-4,0.007293313,8.24985e-4,0.00164774,0,2.98778e-4,7.14e-5,2.49725e-4,4.48168e-4,0.001678956,6.91e-5,0,4.46e-5,0,5.57e-5,9.65455e-4,0.001322206,0.004296611,9.47618e-4,0.005799422,2.07361e-4,3.01008e-4,9.83293e-4,1.71686e-4,0,0.00121741,1.24863e-4,8.31674e-4,0,1.71686e-4,0,1.11e-5,1.96213e-4,0,0,0,9.81e-5,6.47e-5,8.78498e-4,0,4.46e-6,1.67227e-4,0,0,0,0,1.36011e-4,8.92e-6,0,1.20403e-4,0,0,0,0,0,0,0,0,0,0,1.15944e-4,4.68e-5,1.56e-5,3.34e-5,0,0,6.69e-6,0,0,0,0,0,0,0,0,1.34e-5
DINP_high_wk22_control_d2_G,0,0.155004153,0.221607662,0.082802118,0.123912479,0.023102679,0.068692899,0.042423692,1.84282e-4,0.042623547,0.006166944,0.008269311,0.069131541,0.022542047,0.014379153,0.009805855,0.023839805,0.011420266,7.91632e-4,0.007799522,8.0461e-4,0.006120224,0.005253322,0.002826516,7.24149e-4,3.97114e-4,0.010639016,0.001650748,0.007324543,0,0.001170577,1.97259e-4,4.25664e-4,2.67338e-4,0.003192483,7.89037e-4,0,4.67e-5,0,0,0.007677533,0.001100498,0.00191549,0.00166113,0.005842504,5.5544e-4,5.788e-4,0.001658534,7.79e-5,0,0,4.87957e-4,4.77575e-4,3.89e-5,8.05e-5,0,0,1.55731e-4,0,0,0,0,4.15e-5,6.12542e-4,0,4.41e-5,2.90698e-4,0,0,0,0,0,1.3e-5,0,5.71e-5,0,8.82e-5,6.75e-5,0,3.63e-5,0,0,0,0,0,0,2.08e-5,2.08e-5,0,0,0,3.63e-5,0,0,0,0,0,0,1.56e-5,0,0
DINP_high_wk22_dinp_d2_A,8.79219e-4,0.48889793,0.11136198,0.024298071,0.121845126,0.058217422,0.036913709,0.049575622,2.77648e-4,0.023991501,0.003052202,0.003191026,0.006617281,0,0.005622375,0.003682694,0.006530516,0.006675125,9.64056e-4,0.00184906,2.71864e-4,0.005252178,0.003836943,1.35e-5,0.001577196,8.31016e-4,0.005749631,5.28303e-4,0,0,2.56439e-4,6.42061e-4,4.0876e-4,7.17258e-4,0.002550893,1.7353e-4,4.06832e-4,3.56701e-4,0,0.001222423,2.27517e-4,1.74e-5,2.29445e-4,9.96834e-4,0.005959795,7.67389e-4,0.004930183,0,0.001721804,0.001395953,0,0.001075887,3.47e-5,0,1.74e-5,5.30231e-4,0,0.001124089,3.3742e-4,0,1.27255e-4,7.52e-5,4.24e-5,5.07094e-4,1.09902e-4,0,5.98e-5,0,1.35e-5,0,0,0,0,0,1.31112e-4,1.93e-5,0,0,0,2.31e-5,0,4.43e-5,0,7.71e-6,9.45e-5,0,0,0,0,9.64e-6,0,0,1.16e-5,5.98e-5,0,1.93e-5,0,2.12e-5,0,0,5.78e-6
DINP_high_wk22_dinp_d2_B,1.68787e-4,0.431496775,0.060415536,0.024011895,0.121685052,0.0409227,0.06788836,0.076174975,3.49629e-4,0.035366809,0.001203609,0.011664356,0.013368296,0,0.008316756,0.005509675,0.010679768,0.017013282,0.001466835,0.005141962,0.0011373,0.008043483,0.006482207,1.14534e-4,0.002141982,0.002895493,0.006263186,0.002636285,2.57199e-4,0,0.001844596,0.00258806,6.3094e-4,3.83788e-4,0.004308076,7.71596e-4,0.001207628,4.7421e-4,0,2.19021e-4,5.12388e-4,2.37105e-4,3.31545e-4,0.002573995,0.012417867,2.67245e-4,0.001466835,0,5.48556e-4,0.001669781,0,2.99395e-4,1.04487e-4,0,7.84e-5,4.54116e-4,4.62e-5,8.88139e-4,2.81311e-4,3.62e-5,3.49629e-4,2.71264e-4,9.24e-5,8.45942e-4,1.02478e-4,0,5.22e-5,0,5.83e-5,0,0,0,0,0,2.10983e-4,1e-5,3.82e-5,0,8.24e-5,0,0,2.01e-5,2.81e-5,0,4.62e-5,2.06964e-4,0,0,0,0,4.62e-5,0,1.41e-5,3.21e-5,0,0,0,2.61e-5,0,0,0
DINP_high_wk22_dinp_d2_C,2.76687e-4,0.174824782,0.075342167,0.060960667,0.119699513,0.032197667,0.075758238,0.103878407,5.57535e-4,0.061643023,0.001620597,0.027608402,0.066330065,0,0.005594077,0.009055789,0.014986883,0.034592157,0.001362633,0.00988169,0.001601874,0.007025362,0.025240957,0.001202446,0.001770383,0.003472114,0.012380198,0.00350956,0,0,0.002101159,0.011015484,0.001210767,0.001281499,0.005400604,0.003162141,0.003012355,2.47562e-4,0,5.57535e-4,0.001599794,4.0983e-4,6.09544e-4,0.008331825,0.012891965,4.90964e-4,0.003432587,0,0.00216149,0.003060203,0,2.62125e-4,4.38955e-4,0,1.43545e-4,2.78768e-4,2.05955e-4,6.49071e-4,0.0013584720000000001,1.66428e-4,3.39098e-4,1.1442e-4,2.14277e-4,0.001079705,5.22169e-4,3.74e-5,1.31062e-4,0,1.1858e-4,0,0,0,3.33e-5,0,0,2.5e-5,7.07e-5,0,0,5.62e-5,0,5.2e-5,3.12e-5,2.08e-5,1.87e-5,1.04018e-4,9.36e-5,3.54e-5,0,0,0,0,2.5e-5,0,0,1.66e-5,0,0,0,0,0
DINP_high_wk22_dinp_d2_D,8.18e-5,0.336130065,0.107048395,0.009037024,0.063381839,0.091178772,0.097892414,0.036237312,3.62447e-4,0.056370804,0.004250858,0.011455199,0.036030996,0.010546292,0.004856796,0.008479412,0.020626049,0.013559253,8.9032e-4,0.01409456,0.002226729,0.004570556,0.007485005,0.004016661,0.003778747,6.26384e-4,0.006009193,0.002202565,0.007098394,0,0.002228587,3.04828e-4,4.66535e-4,0.001321539,0.008180161,0.001241615,0,5.02e-5,0,1.3e-5,0.004786165,0.002905156,0.002031565,0.004354946,0.0026691,0.001713726,3.10404e-4,0.002429327,6.32e-5,0,0,3.95904e-4,3.75458e-4,1.22675e-4,2.11892e-4,0,3.53e-5,0.001483247,0,0,0,8.55e-5,5.39e-5,8.327e-4,0,0,2.71371e-4,3.35e-5,0,0,9.29e-6,0,2.04e-5,0,9.48e-5,0,7.25e-5,2.97e-5,0,2.79e-5,2.23e-5,0,0,9.11e-5,0,7.43e-6,8.74e-5,0,2.04e-5,0,9.29e-6,0,0,0,0,0,0,0,0,5.58e-6,0
DINP_high_wk22_dinp_d2_E,3.61e-5,0.204557175,0.163995379,0.057736935,0.113756614,0.027519932,0.076696371,0.04610549,2.63003e-4,0.042905618,0.006536403,0.006930908,0.093012882,0.014013944,0.010027641,0.010050847,0.019129614,0.016290727,5.26006e-4,0.010589746,0.001833287,0.004019823,0.005386408,0.003988882,0.001175779,4.3576e-4,0.010447931,0.001477459,0.008828656,0,0.002593933,2.99102e-4,4.07397e-4,8.68942e-4,0.003847066,8.19951e-4,0,1.8e-5,0,0,0.013248141,0.001580598,0.001825552,0.004262199,0.005324525,0.001887435,3.71299e-4,0.00159349,4.9e-5,0,0,4.20289e-4,2.99102e-4,5.41e-5,5.67e-5,0,3.09e-5,4.95065e-4,0,0,0,4.13e-5,7.48e-5,5.31163e-4,0,2.58e-5,3.48092e-4,0,0,0,0,0,1.8e-5,0,4.38e-5,0,7.22e-5,9.28e-5,0,5.67e-5,0,0,0,2.84e-5,0,2.58e-6,0,0,0,0,1.03e-5,0,0,0,0,0,0,0,0,5.16e-6,0
DINP_high_wk22_dinp_d2_F,4.47e-5,0.231062795,0.241392896,0.063706229,0.067842997,0.063356902,0.070456384,0.07617957,1.78603e-4,0.061444796,0.008985323,0.004659445,0.010981478,0.020421189,0.006737022,0.002193144,0.009279493,0.005941187,8.72004e-4,0.004746121,4.17617e-4,0.004901085,0.005276678,0.002334976,0.002243048,1.65471e-4,0.006681865,9.27161e-4,9.508e-4,2.36e-5,4.54388e-4,8.93e-5,2.46893e-4,3.70339e-4,0.001704611,5.78e-5,0,3.15e-5,0,4.99e-5,0.001061114,0.001166175,0.002408518,6.5663e-4,0.006148682,2.67905e-4,2.91544e-4,8.50992e-4,1.47085e-4,0,0.007217675,1.33952e-4,5.77834e-4,0,7.35e-5,0,0,2.04869e-4,0,0,0,8.93e-5,4.73e-5,5.72581e-4,0,0,2.70532e-4,0,0,0,0,2.1e-5,0,0,7.35e-5,0,0,0,0,0,1.58e-5,0,0,0,0,2.07495e-4,4.47e-5,1.58e-5,0,0,0,0,0,0,0,0,0,0,0,2.36e-5,0
