sample,ASV001,ASV002,ASV003,ASV004,ASV005,ASV006,ASV007,ASV008,ASV009,ASV010,ASV011,ASV012,ASV013,ASV014,ASV015,ASV016,ASV017,ASV018,ASV019,ASV020,ASV021,ASV022,ASV023,ASV024,ASV025,ASV027,ASV028,ASV029,ASV030,ASV032,ASV033,ASV034,ASV035,ASV036,ASV037,ASV038,ASV039,ASV040,ASV041,ASV042,ASV043,ASV044,ASV045,ASV046,ASV048,ASV049,ASV051,ASV053,ASV055,ASV056,ASV058,ASV059,ASV061,ASV062,ASV063,ASV065,ASV066,ASV067,ASV068,ASV069,ASV070,ASV071,ASV072,ASV073,ASV075,ASV077,ASV079,ASV080,ASV081,ASV082,ASV083,ASV084,ASV085,ASV086,ASV087,ASV088,ASV090,ASV091,ASV092,ASV093,ASV095,ASV097,ASV098,ASV099,ASV102,ASV105,ASV106,ASV108,ASV111,ASV114,ASV115,ASV121,ASV123,ASV126,ASV134,ASV136,ASV142,ASV153
DINP_high_wk40_control_d7_E,2.32e-5,0.36887314,0.035351193,2.82921e-4,0.041069905,0,0.001938704,0.393111573,1.25227e-4,0.047122556,1.57694e-4,0.004930244,0.008181515,0.005649141,0.005839301,0.03210456,0.012314014,0.002485993,3.71e-5,0.012485622,2.50455e-4,5.10185e-4,0.002722533,7.00345e-4,3.43215e-4,8.35e-5,0.005171422,0.001159512,4.12786e-4,4.54529e-4,9.74e-5,4.31338e-4,0,0.002833847,2.59731e-4,0.004007272,3.06111e-4,0,1.06675e-4,3.61768e-4,0.001428518,3.89596e-4,4.31338e-4,0.001660421,2.64369e-4,0,2.27264e-4,0,0,0,0,5.57e-5,0,0,0,0,0,0,0,0,0,0,0,0.001818114,0,0,0,0,6.96e-5,0,9.28e-6,0,0,0,0,0,0,0,0,0,0,1.80884e-4,3.71e-5,0,0,0,0,0,0,0,1.86e-5,1.29865e-4,0,0,0,0,0,1.39e-5
DINP_high_wk40_control_d7_F,2.15e-5,0.288068393,0.444840349,0.018711076,0.044965457,0,0.021706933,0.014884229,1.25722e-4,0.054971069,4.99821e-4,0.008000196,0.007975665,0.011468277,0.017196282,0.008374295,0.003964835,0.001468798,9.22982e-4,0.01074461,1.04257e-4,0.005629881,0.002097407,5.94879e-4,0.002428576,2.8824e-4,0.00987989,9.04583e-4,2.29979e-4,3.07e-5,5.83e-5,3.86364e-4,0,0.002192465,3.07e-5,0.002854804,4.29e-5,0,4.6e-5,5.85679e-4,0.001585321,0.001097766,3.18904e-4,0.005911989,0.001530126,4.96754e-4,1.22655e-4,0,6.44e-5,0,1.84e-5,1.13456e-4,1.23e-5,1.23e-5,3.12771e-4,0,0,6.44e-5,5.21e-5,3.55701e-4,0,0,0,4.56891e-4,0,0,0,0,8.59e-5,0,0,0,0,0,3.99e-5,0,2.45e-5,0,0,0,0,2.15e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DINP_high_wk40_control_d7_G,0.001325765,0.361634475,0.18651095,0.039982577,0.014548028,0,0.032678618,0.134626431,2.66786e-4,0.04857419,1.49727e-4,0.005398342,0.062506976,0.008768563,0.011381981,0.010077994,0.016908272,0.002338465,8.30305e-4,0.008256768,4.30125e-4,0.010951856,0.003432834,0.00133121,0.002648808,1.71506e-4,0.01017872,0.002022677,3.07621e-4,8.35749e-4,7.89e-5,6.91467e-4,3.54e-5,0.001941008,1.30671e-4,0.00016878300000000001,5.44e-5,0,2.1234e-4,3.59345e-4,0.002531749,0.001987287,5.44462e-4,0.004124301,0.004981829,3.32122e-4,1.25226e-4,0,4.08e-5,0.00016878300000000001,0,2.45e-5,2.72e-5,0,2.99454e-4,0,0,1.63e-5,6.81e-5,4.54626e-4,0,0,0,0.001211428,0,0,0,0,0,0,4.36e-5,0,0,0,1.09e-5,5.17e-5,0,0,4.63e-5,0,0,2.45e-5,5.17e-5,0,0,0,0,1.36e-5,0,0,0,0,0,0,0,0,0,5.44e-6
DINP_high_wk40_dinp_d7_A,3.89998e-4,0.146176145,1.06363e-4,0.019483201,0,0.206861457,0.042096811,0.220619825,7.48712e-4,0.026046424,2.71e-5,0.069154727,0.054007383,0,0.004646604,0.058412063,0.005132537,0.010027321,0.005445369,0.012229661,9.46839e-4,0.00844856,0.010427746,0.005270183,0.008686313,3.25346e-4,0.015927339,0.012123298,0.002231538,0.001453628,0.014903335,0.005414086,2.71e-5,0.005964671,0.008836472,0,5.84e-5,2.29e-5,0.001447371,0.001949989,0.002273249,4.00425e-4,5.27644e-4,0.004398423,0.001276356,0,5.69355e-4,1.04e-5,0,4.17e-5,0.00167261,0,0,5.21e-5,2.46095e-4,0,3.85827e-4,1.08449e-4,6.67e-5,0,0,0,8.55e-5,0,1.88e-5,0,7.72e-5,0,5.01e-5,0,5.21e-5,2.29e-5,0,1.35561e-4,2.5e-5,0,1.93956e-4,2.29e-5,0,0,7.17429e-4,8.34e-5,0,0,8.97e-5,2.25239e-4,0,5.01e-5,0,0,2.92e-5,0,0,0,0,0,0,0
DINP_high_wk40_dinp_d7_B,9.01131e-4,0.294391926,6.16291e-4,0.022870085,3.00377e-4,0.26281436,0.03156203,0.045930064,6.52543e-4,0.035976191,0.00381686,0.081645583,0.025571752,0,0.006320002,0.007978981,0.003758165,0.00454536,0.003404273,0.01268834,7.50943e-4,0.005765858,0.020788162,0.006837893,0.028646301,4.2985e-4,0.038874656,0.007133091,0.001248118,0.002430637,0.002872571,0.001551948,0.002106092,0.002458258,6.8189e-4,0,5.7e-5,1.21e-5,4.17766e-4,4.02229e-4,0.001715947,3.36629e-4,7.18143e-4,0.016330843,8.42437e-4,1.5882e-4,6.88796e-4,1.21e-5,1.67452e-4,1.24294e-4,8.11363e-4,1.1221e-4,4.00503e-4,1.73e-5,1.77809e-4,0,4.66e-5,1.77809e-4,4.32e-5,1.74357e-4,2.76e-5,0,8.8e-5,0,3.45e-5,0,1.1221e-4,0,1.13936e-4,1.50189e-4,0,0,0,4.83e-5,8.63e-6,0.006542695,7.25e-5,1.38e-5,0,3.8e-5,1.08757e-4,2.76e-5,3.97e-5,0,6.91e-6,6.39e-5,1.31199e-4,3.28e-5,0,0,0,0,4.83e-5,0,0,0,0,0
DINP_high_wk40_dinp_d7_C,0.001586207,0.125825286,2.33458e-4,0.057731833,1.24366e-4,0.237579801,0.045458909,0.182867653,0.001027653,0.043091599,8.48741e-4,0.036039849,0.043183236,0,0.00445098,0.028769915,0.006305555,0.010365984,0.001210928,0.012929661,1.57093e-4,0.007023385,0.015949346,0.004564437,0.034523461,0.001289475,0.021792349,0.016481718,6.69829e-4,0.004546982,0.015056968,0.006366647,3.84006e-4,0.002282218,0.001001471,0,4.36e-5,0,0.001490206,0.001841484,0.00377897,1.61457e-4,0.001466205,0.00751212,0.001066926,1.09093e-4,5.12735e-4,0,6.11e-5,3.55642e-4,0.004005882,2.09458e-4,1.7673e-4,1.53e-5,7.28739e-4,1.39639e-4,8.29e-5,7.2e-5,3.71e-5,3.93e-5,4.58e-5,0,8.51e-5,0,0,0,0.00208367,0,3.93e-5,6.98e-5,9.6e-5,0,0,2.31276e-4,4.15e-5,0,3.62188e-4,4.34189e-4,0,3.05e-5,5.78191e-4,1.15638e-4,5.67e-5,0,0,2.18e-5,5.89e-5,0,0,0,0,0,0,1.75e-5,0,0,0,0
DINP_high_wk40_dinp_d7_D,4.25411e-4,0.170943075,0.087353782,0.036202763,0,0,0.192186881,0.223991053,2.43474e-4,0.075316517,0,0.018191012,0.012756986,4.36113e-4,0.030945323,0.004165819,0.032398142,0.010913537,0.003095602,0.012583076,2.72905e-4,0.009428611,0.004232708,0.003970505,0.006373142,5.89e-5,0.019691992,0.001955821,0.001894284,2.75581e-4,2.59528e-4,0.001771209,0,0.00680658,5.45811e-4,0,4.55e-5,0,0.001051488,8.08014e-4,0.004090904,0.002686245,2.67554e-4,2.03341e-4,0.017677308,0,8.26743e-4,0,0,8.61525e-4,5.35e-5,3.05012e-4,0,5.89e-5,5.08353e-4,0,0,0,1.04346e-4,2.41e-5,0,1.65884e-4,6.96e-5,3.63874e-4,0,0,0,0,0,0,0,0,0,1.34e-5,0,0,4.01e-5,0,0,0,0,3.48e-5,0,0,0,0,0,4.01e-5,0,0,0,0,0,0,0,1.34e-5,0,0
DINP_high_wk40_dinp_d7_E,8.44e-5,0.374161195,0.199605268,0.011529152,0.017673564,0,0.031057211,0.115217041,2.92946e-4,0.041558571,1.3406e-4,0.004674719,0.026099477,0.023549857,0.013609563,0.016447164,0.010203448,0.001698092,8.83802e-4,0.009679622,3.5501e-4,0.005985526,0.002758158,0.001010414,0.002475143,9.93e-5,0.010955673,0.002442869,4.17075e-4,7.79534e-4,7.45e-5,5.41205e-4,0,0.002485073,4.47e-5,0.057586177,3.62458e-4,0,1.93642e-4,3.32667e-4,0.00169561,0.001727883,3.67423e-4,0.0047914,7.52225e-4,2.60672e-4,2.03572e-4,0,2.23e-5,4.72e-5,0,1.04269e-4,2.48e-5,0,5.16379e-4,0,0,1.49e-5,5.46e-5,2.55707e-4,0,0,0,0.001645958,0,0,0,0,2.30881e-4,0,2.23e-5,0,0,0,1.74e-5,0,3.97e-5,0,0,0,0,5.96e-5,5.96e-5,0,0,0,0,0,0,0,0,2.48e-6,0,0,0,0,0,0
DINP_high_wk40_dinp_d7_F,1.54e-5,0.30180186,0.436809088,0.01319104,0.041239655,0,0.025051935,0.020098554,2.07996e-4,0.039516628,4.59645e-4,0.00768814,0.023927217,0.012651792,0.012425821,0.010045425,0.005366804,0.001789791,7.29269e-4,0.008959225,6.68e-5,0.004884049,0.002490814,5.46952e-4,0.002454864,2.69624e-4,0.006583965,9.93758e-4,2.20835e-4,6.68e-5,6.93e-5,4.10856e-4,0,0.001440563,2.31e-5,0.004000709,3.85e-5,0,4.62e-5,4.15992e-4,0.001756409,8.91044e-4,2.95303e-4,0.005389915,0.00163572,4.57077e-4,6.93e-5,0,0,6.16e-5,0,6.16e-5,2.82e-5,0,2.0286e-4,0,0,6.16e-5,3.34e-5,5.05866e-4,0,0,0,3.4666e-4,0,0,0,0,8.73e-5,0,0,0,0,0,2.05e-5,0,0,0,0,0,0,0,3.34e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DINP_high_wk40_dinp_d7_G,1.57861e-4,0.404195446,0.186532386,0.028302901,0.013653845,0,0.035381486,0.131203199,2.49375e-4,0.039426392,9.84e-5,0.004893695,0.036390425,0.008442139,0.013626391,0.00741261,0.023438948,0.002541793,9.38015e-4,0.008867678,4.20963e-4,0.006813195,0.003344826,8.3735e-4,0.004488747,2.15057e-4,0.012933174,0.002525778,4.59856e-4,8.05321e-4,4.12e-5,6.22293e-4,3.2e-5,0.001976696,1.23544e-4,2.31072e-4,1.12104e-4,0,1.71588e-4,6.65762e-4,0.00273626,0.002425113,5.12477e-4,0.004639745,0.003024528,5.94839e-4,5.72e-5,0,7.55e-5,1.50998e-4,1.14e-5,4.35e-5,5.26e-5,0,4.25539e-4,0,0,3.43e-5,5.03e-5,0.001370418,0,0,0,9.81484e-4,0,0,0,0,1.09816e-4,0,2.97e-5,0,0,0,2.06e-5,0,2.06e-5,0,0,0,0,0,4.12e-5,0,0,0,0,1.6e-5,0,0,0,0,0,0,0,0,0,2.29e-6
