sample,shannon,invsimpson,exposure,culture_day,group
DINP_high_wk40_inoculum_d0_A,1.7707068782571602,2.240774379610187,inoculum,d0,inoculum_d0
DINP_high_wk40_inoculum_d0_B,1.5527337437089725,2.357801074814997,inoculum,d0,inoculum_d0
DINP_high_wk40_inoculum_d0_D,1.8354317508562605,2.213670480095386,inoculum,d0,inoculum_d0
DINP_high_wk40_inoculum_d0_E,1.3401649716332904,2.5111722047024747,inoculum,d0,inoculum_d0
DINP_high_wk40_inoculum_d0_F,1.5937905286796052,2.375367119769314,inoculum,d0,inoculum_d0
DINP_high_wk40_inoculum_d0_G,1.4393694426694643,2.4361196004058208,inoculum,d0,inoculum_d0
DINP_high_wk40_control_d2_A,2.070673041756172,2.0694347162101256,control,d2,control_d2
DINP_high_wk40_control_d2_B,2.372909505842031,1.9593918632988594,control,d2,control_d2
DINP_high_wk40_control_d2_C,2.5934720997094547,1.8844435450344639,control,d2,control_d2
DINP_high_wk40_control_d2_D,2.2134282991249457,2.026093321000465,control,d2,control_d2
DINP_high_wk40_control_d2_E,1.9485052200069868,2.1307253358811304,control,d2,control_d2
DINP_high_wk40_control_d2_F,1.8114341929352582,2.2202596201256175,control,d2,control_d2
DINP_high_wk40_control_d2_G,1.7881852671848675,2.2138526411848947,control,d2,control_d2
DINP_high_wk40_dinp_d2_A,2.2985203670026797,1.9860409333690503,dinp,d2,dinp_d2
DINP_high_wk40_dinp_d2_B,2.4214143674798065,1.942003367879281,dinp,d2,dinp_d2
DINP_high_wk40_dinp_d2_C,2.594521428140875,1.883900061471699,dinp,d2,dinp_d2
DINP_high_wk40_dinp_d2_D,2.0510139044757216,2.094900478251303,dinp,d2,dinp_d2
DINP_high_wk40_dinp_d2_E,1.906214059464376,2.1441655293330752,dinp,d2,dinp_d2
DINP_high_wk40_dinp_d2_F,2.0796946050785268,2.090059668437244,dinp,d2,dinp_d2
DINP_high_wk40_dinp_d2_G,1.4609908756116472,2.3523184564222643,dinp,d2,dinp_d2
DINP_high_wk40_control_d7_A,2.479838541150197,1.9254424682426408,control,d7,control_d7
DINP_high_wk40_control_d7_B,2.2680262196979113,2.00684589703491,control,d7,control_d7
DINP_high_wk40_control_d7_C,2.58017130512362,1.889553602383622,control,d7,control_d7
DINP_high_wk40_control_d7_D,2.3352201910356887,1.8833975588148757,control,d7,control_d7
DINP_high_wk40_control_d7_E,1.6758970064488883,2.3037069151666465,control,d7,control_d7
DINP_high_wk40_control_d7_F,1.8053642363774027,2.2186309852690678,control,d7,control_d7
DINP_high_wk40_control_d7_G,2.177561475111214,2.0456373935742986,control,d7,control_d7
DINP_high_wk40_dinp_d7_A,2.5304376528199506,1.9083285139971093,dinp,d7,dinp_d7
DINP_high_wk40_dinp_d7_B,2.362884597807273,1.9651221064124071,dinp,d7,dinp_d7
DINP_high_wk40_dinp_d7_C,2.628920795764205,1.8729452580571684,dinp,d7,dinp_d7
DINP_high_wk40_dinp_d7_D,2.416221657603856,1.9539450676039907,dinp,d7,dinp_d7
DINP_high_wk40_dinp_d7_E,2.168789979316687,2.0469639672809086,dinp,d7,dinp_d7
DINP_high_wk40_dinp_d7_F,1.80604683038146,2.2166592480439515,dinp,d7,dinp_d7
DINP_high_wk40_dinp_d7_G,2.0934421179209064,2.0783680954211703,dinp,d7,dinp_d7
