sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
DINP_low_wk22_inoculum_d0_A,-3.058167746403184,25.770901016289223,-1.4776922674038506,0.7698195614955036,-10.299047228837619,1.7484897726736917,-2.7996623026733274,11.397202833894468,-3.3978094099799154,2.7990592016965397,-4.478855010816192,-3.4575430273754835,-0.3717844124445798,5.788397571002947,0.20506871318327521,5.899442965306009,9.425014207680332,-0.7170946454729195,-4.5501656255016485,-1.9954056133846698,-1.7738896742781167,3.3079155174960833,2.5293769041505616,1.870467727725249,-2.629270560843088,-0.053248478123451605,-0.7521408782109106,-1.724359755844806,2.0104891155685354,0.8276149270618719,0.8019910166028212,2.097026681918204,-2.033311735441612,1.6395251581693207,1.5297407445556716e-13
DINP_low_wk22_inoculum_d0_B,0.16278268995161135,25.53316464944181,-3.221066538319098,2.043313081958712,-4.5482384337078505,3.5003505422943735,-1.3696559171169627,-3.3332865168650523,-4.458087995100535,-4.581948644510934,-1.436894691574002,-6.1721858580716695,1.2077381856955052,5.6007682627822595,0.8431750583667245,-2.6242206890724677,-0.33750642473408105,-4.5062311961652375,5.778447301931815,-6.246645887714538,4.91299352792192,-5.797638759172564,-6.759078994082589,1.2036467708030538,3.365937261340528,-1.2203357453874615,-1.3774899896738884,1.1004624351051022,-0.7610121892903532,-4.146160135594494,-1.5148881830338259,-2.214031759010095,3.2230045982672917,-0.3376655520037642,1.5212002738844835e-13
DINP_low_wk22_inoculum_d0_C,1.496137219589138,26.035973333051615,-2.6068516293062096,3.3411977950343243,-0.20015250914784669,3.0114889950234827,-4.111863958391832,4.459156935439635,5.6969710014029795,-5.756629614945247,2.3029171367053105,5.291126648115776,8.814188703299367,-5.878180360743342,4.991082106347624,2.6231967175990896,-3.744575814286802,5.383399894617384,-2.3862178593843204,2.7395864247780684,4.461496047176684,-2.0579702743233237,-3.6117943802999077,2.0137871265029514,1.0308210146122536,1.3279035622184703,2.038195057085931,-4.267989553913739,-0.7510594469402865,4.163198816847862,1.6478513769977041,0.9026458806967078,1.7363337388823046,1.6703735376753825,1.5004792852020822e-13
DINP_low_wk22_inoculum_d0_D,0.43845308640512615,24.38445670795377,-2.652770814431757,1.8510188591653136,5.418050505137407,-0.13448372451058832,0.07765276143900893,-4.270947515762442,3.0451822170851455,3.8492511153014957,0.7545081351723041,2.168748853006652,-2.949792641056917,-2.6284402942154674,-0.5574669640366439,3.53392140357276,3.299425339964201,-2.355027723093986,7.077376115259022,-0.946316347084764,-0.6152897831702137,-3.8704794444860404,2.7114789404815802,-3.145308552499735,1.590978759872896,-0.2571695420442635,3.0289144038827263,-1.6452959952457133,1.1851626779733444,4.685129166914403,-1.3905751428443842,-1.0660025675293074,-6.942334855027223,-7.51845012714498,1.4791924353148448e-13
DINP_low_wk22_inoculum_d0_E,-1.2923557352436226,23.88686360188814,-3.06935087388886,1.2279196726531891,5.193550271565995,-2.7934110163759143,1.1103393185704697,-6.47929459057148,1.5530509787812827,3.579022157513297,-3.79377825214456,0.12979054646316765,-4.988187664441913,-0.9671984603764642,1.7866706280837903,-2.9550152974440493,-2.744657888377197,4.7819850654429565,-0.03907434780744998,4.3260150587708806,2.0959491541608206,-0.2807955962594649,2.378968868226139,4.197938746830093,-2.8552973429137625,-1.956110839473534,-9.260337122570528,0.21341049804572776,-3.2940227876286063,-4.352000461668393,1.102669860807049,5.102391283856636,-3.2170519801079593,1.5987115490198185,1.5268041317958496e-13
DINP_low_wk22_inoculum_d0_F,-0.9009227766474885,26.07346558614698,-3.1700210955158497,0.48789188753006246,1.5778966849920915,0.9165875647415088,0.2895288824859283,1.5966799853961746,-6.767505440817042,0.9577088777987617,4.110782997167287,4.505605182278375,2.6533441523037986,-4.01837545453392,1.9242450657585268,-6.696897490019218,-3.529218388515629,-9.103313491031773,-6.475156363466821,3.128311511705163,-3.4067405509341286,3.2799327842138757,4.0836626834048095,-0.09450103333851184,-0.4159004466056292,1.9487266518960225,1.7497816955909284,5.627327317994342,0.7240919829812125,-2.7725386505704908,-0.08083781524072417,-1.8896028211708433,1.5014047768295675,-2.6291308883079862,1.5200389128234104e-13
DINP_low_wk22_inoculum_d0_G,0.9633110151078943,25.14439388022709,-4.105506547542746,0.9854724036414112,5.162139590199008,0.9549528776815273,0.7362286149540469,-5.433556826262681,-1.1815227890871554,0.6672464764609431,0.7991905014062958,1.346463524881364,-6.475951193767947,1.458520644194303,-9.267046298028443,0.9933409124102246,-1.8157324915559254,5.618967298564817,-0.44728449584819757,-1.7817499734557494,-4.245991702766683,3.5637469512677056,-0.3491785067874451,-6.135601742070676,0.15895628783113455,-0.7039691092109155,4.770466854745485,-0.9257620698339046,-0.9819847365216882,1.4342749332009954,-0.47482977839448726,-1.50775328820767,4.647020418946034,6.1196089699958,1.5181322784348036e-13
DINP_low_wk22_control_d2_A,7.626602753548255,3.826939011784861,13.356885027794565,2.615234250337271,-9.018045270658684,-0.8537864671916042,7.6919096054855896,4.044634086656424,2.2943152423280213,1.0782937623807216,0.8861514232932041,-0.1811742148734808,0.7609906492740043,2.68405420276438,-2.4471455308926084,-3.594231592848026,1.1106327816966661,7.049165931781492,3.240073237003908,6.437015577962585,2.3736083826639325,3.402043303809498,-0.9373429089587078,-2.049781820706749,-1.9684846287238327,0.11506756908172014,-4.043067927885622,1.396927048644541,0.5923210567965478,0.46422444232426135,1.6681191786678422,-8.830183451480123,1.4509867968524577,-4.193940926472387,1.52242840045012e-13
DINP_low_wk22_control_d2_B,9.726835510846788,-7.492657328103893,6.585533908792477,-8.367671145085675,-6.58588207432755,6.619264227900915,-7.401933107842667,2.664380541844061,1.0634899910362958,-3.2453879243815047,-0.2800696079425229,7.494918957746611,-8.639745328850848,4.391932663579054,6.807162838700177,-4.600401179201875,-1.1815671850983926,0.22760408533730764,1.6661579810793326,-1.503622905353378,-2.7606257785157884,-1.5406721301793744,-0.9346062902096363,-2.455912211986904,-0.5774525180603024,1.0712635931155536,-2.3782688465004123,4.809924288780107,-3.3737946434667574,6.425612983960349,-2.2315813111594265,1.6610713022460355,-0.08785047251661757,0.976882181589593,1.5341694510060537e-13
DINP_low_wk22_control_d2_C,6.381392495182793,-6.440318287036366,2.827179358322969,-4.280429377304249,-4.461002602713301,2.127151057578768,-11.39394415818509,2.990345145645593,0.33478920105624504,-1.231648830213739,3.839568730508456,3.2749596748356384,1.050791731543573,-1.8283865125868923,-4.957141178690285,-0.2869260036460845,-3.1000013690450006,6.6067545207471055,3.5925732032606104,-2.633595508987157,-5.263169543592836,-0.487472738092595,-1.2001888943341665,4.8760606035253256,-2.901489878523268,-3.4509786185456437,3.631892062714728,1.2849732184621963,3.8313198624448734,-7.836158332306414,-0.9448193192725751,0.34751593775812883,-3.2438427013574658,-2.0516802361390916,1.5274211292608954e-13
