dataset	culture_day	pathway	log2FC	feature_counts	sig_feature_counts	features	sig_features
BPS_high_wk07	d7	map00790	0.6756702123243676	21	2	171.00482__4.333;171.00482__4.806;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;197.04408__0.813;197.04417__4.861;197.04425__4.815;197.04443__1.068;197.04443__1.965;197.04444__0.841;197.04454__1.337;197.04454__1.337;197.04473__0.917;197.04474__0.458;197.04476__1.227;405.26456__1.555;405.26458__1.587;405.26467__2.547	197.04454__1.337;197.04454__1.337
BPS_high_wk07	d7	map00944	0.6217427186868646	22	3	107.04881__2.145;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;151.02495__0.678;151.02503__0.756;151.02519__2.215;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;195.05026__1.002;209.04361__3.474;209.04361__3.81;209.04463__7.022;209.04483__1.331;209.04504__1.394;209.04504__1.394;209.04504__1.394;269.06597__2.294	209.04504__1.394;209.04504__1.394;209.04504__1.394
BPS_high_wk07	d7	map01057	0.6733831462494613	7	2	178.08653__1.273;178.08669__4.576;239.06695__1.504;239.06695__1.504;239.067__1.474;457.11414__1.356;457.11467__1.351	239.06695__1.504;239.06695__1.504
BPS_high_wk07	d7	map04261	2.638348514868805	5	3	163.03903__2.57;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d7	map04382	2.8795940778940285	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d7	map04923	1.3998893498697482	14	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;163.03903__2.57;195.05026__1.002;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d7	map04924	2.1618522153570363	7	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk07	d7	map07015	-1.2010586556397203	2	2	213.05515__1.498;213.05515__1.498	213.05515__1.498;213.05515__1.498
BPS_high_wk12	d1	map00360	0.5908856807381033	20	3	129.01809__0.359;129.01809__0.359;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;163.03903__2.57;167.03337__4.846;167.03392__0.676;167.03397__0.381;195.05026__1.002;209.04361__3.474;209.04361__3.81;209.04463__7.022;209.04483__1.331;209.04504__1.394;209.04504__1.394;209.04504__1.394;269.06597__2.294;327.08775__1.09	209.04504__1.394;209.04504__1.394;209.04504__1.394
BPS_high_wk12	d1	map00515	2.6159292137749737	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
