kegg_code	kegg_map	kegg_ko	pathway
00405	map00405	ko00405	Phenazine biosynthesis
00360	map00360	ko00360	Phenylalanine metabolism
00400	map00400	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
00940	map00940	ko00940	Phenylpropanoid biosynthesis
04070	map04070	ko04070	Phosphatidylinositol signaling system
04072	map04072	ko04072	Phospholipase D signaling pathway
00440	map00440	ko00440	Phosphonate and phosphinate metabolism
02060	map02060	ko02060	Phosphotransferase system (PTS)
00195	map00195	ko00195	Photosynthesis
00624	map00624	ko00624	Polycyclic aromatic hydrocarbon degradation
00523	map00523	ko00523	Polyketide sugar unit biosynthesis
00860	map00860	ko00860	Porphyrin metabolism
00120	map00120	ko00120	Primary bile acid biosynthesis
00333	map00333	ko00333	Prodigiosin biosynthesis
04917	map04917	ko04917	Prolactin signaling pathway
00640	map00640	ko00640	Propanoate metabolism
05215	map05215	ko05215	Prostate cancer
04974	map04974	ko04974	Protein digestion and absorption
04964	map04964	ko04964	Proximal tubule bicarbonate reclamation
00230	map00230	ko00230	Purine metabolism
00240	map00240	ko00240	Pyrimidine metabolism
00620	map00620	ko00620	Pyruvate metabolism
02024	map02024	ko02024	Quorum sensing
00830	map00830	ko00830	Retinol metabolism
00740	map00740	ko00740	Riboflavin metabolism
04970	map04970	ko04970	Salivary secretion
00121	map00121	ko00121	Secondary bile acid biosynthesis
00450	map00450	ko00450	Selenocompound metabolism
04726	map04726	ko04726	Serotonergic synapse
00909	map00909	ko00909	Sesquiterpenoid and triterpenoid biosynthesis
00600	map00600	ko00600	Sphingolipid metabolism
00500	map00500	ko00500	Starch and sucrose metabolism
00140	map00140	ko00140	Steroid hormone biosynthesis
00521	map00521	ko00521	Streptomycin biosynthesis
00643	map00643	ko00643	Styrene degradation
00920	map00920	ko00920	Sulfur metabolism
00430	map00430	ko00430	Taurine and hypotaurine metabolism
00900	map00900	ko00900	Terpenoid backbone biosynthesis
04659	map04659	ko04659	Th17 cell differentiation
04714	map04714	ko04714	Thermogenesis
00730	map00730	ko00730	Thiamine metabolism
04919	map04919	ko04919	Thyroid hormone signaling pathway
04918	map04918	ko04918	Thyroid hormone synthesis
00623	map00623	ko00623	Toluene degradation
00960	map00960	ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis
00380	map00380	ko00380	Tryptophan metabolism
02020	map02020	ko02020	Two-component system
04930	map04930	ko04930	Type II diabetes mellitus
00350	map00350	ko00350	Tyrosine metabolism
00130	map00130	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis
00290	map00290	ko00290	Valine, leucine and isoleucine biosynthesis
00280	map00280	ko00280	Valine, leucine and isoleucine degradation
01502	map01502	ko01502	Vancomycin resistance
05110	map05110	ko05110	Vibrio cholerae infection
00750	map00750	ko00750	Vitamin B6 metabolism
00622	map00622	ko00622	Xylene degradation
00908	map00908	ko00908	Zeatin biosynthesis
00592	map00592	ko00592	alpha-Linolenic acid metabolism
00410	map00410	ko00410	beta-Alanine metabolism
01501	map01501	ko01501	beta-Lactam resistance
04024	map04024	ko04024	cAMP signaling pathway
04022	map04022	ko04022	cGMP-PKG signaling pathway
02025	map02025	ko02025	Biofilm formation - Pseudomonas aeruginosa
05134	map05134	ko05134	Legionellosis
04212	map04212	ko04212	Longevity regulating pathway - worm
04614	map04614	ko04614	Renin-angiotensin system
00100	map00100	ko00100	Steroid biosynthesis
05152	map05152	ko05152	Tuberculosis
