index,Comparison,Z,P.unadj,P.adj
1,bps_d2 - bps_d7,1.2345564595678666,0.21699562190961313,1
1,bps_d2 - control_d2,-0.05367636780729834,0.9571930114096525,1
1,bps_d7 - control_d2,-1.2882328273751649,0.1976649279519695,1
1,bps_d2 - control_d7,1.2882328273751653,0.19766492795196927,1
1,bps_d7 - control_d7,0.053676367807298675,0.9571930114096523,1
1,control_d2 - control_d7,1.3419091951824635,0.1796254399453418,1
1,bps_d2 - inoculum_d0,2.4195199969046657,0.015541006222398979,0.1554100622239898
1,bps_d7 - inoculum_d0,1.233396517072183,0.2174278638159878,1
1,control_d2 - inoculum_d0,2.471090582984339,0.013470169382471487,0.13470169382471486
1,control_d7 - inoculum_d0,1.1818259309925099,0.237274776442795,1
2,bps_d2 - bps_d7,-1.1540419078569186,0.24848298800098087,1
2,bps_d2 - control_d2,0.1341909195182462,0.8932516061445279,1
2,bps_d7 - control_d2,1.2882328273751649,0.1976649279519695,1
2,bps_d2 - control_d7,-1.207718275664217,0.22715564584662568,1
2,bps_d7 - control_d7,-0.05367636780729834,0.9571930114096525,1
2,control_d2 - control_d7,-1.3419091951824633,0.17962543994534186,1
2,bps_d2 - inoculum_d0,-2.3980322527048017,0.016483413782409202,0.164834137824092
2,bps_d7 - inoculum_d0,-1.2892646519918287,0.19730609534418775,1
2,control_d2 - inoculum_d0,-2.5269587179039847,0.011505502598367934,0.11505502598367934
2,control_d7 - inoculum_d0,-1.2376940659121558,0.21582952029773597,1
