kegg_code	kegg_map	kegg_ko	pathway
00071	map00071	ko00071	Fatty acid degradation
00062	map00062	NA	Fatty acid elongation
01212	map01212	ko01212	Fatty acid metabolism
04664	map04664	NA	Fc epsilon RI signaling pathway
04666	map04666	NA	Fc gamma R-mediated phagosome formation
04216	map04216	ko04216	Ferroptosis
00944	map00944	ko00944	Flavone and flavonol biosynthesis
00941	map00941	NA	Flavonoid biosynthesis
05418	map05418	ko05418	Fluid shear stress and atherosclerosis
00364	map00364	ko00364	Fluorobenzoate degradation
00790	map00790	ko00790	Folate biosynthesis
04068	map04068	ko04068	FoxO signaling pathway
00051	map00051	ko00051	Fructose and mannose metabolism
00365	map00365	NA	Furfural degradation
07230	map07230	NA	GABA-A receptor agonists/antagonists
00052	map00052	ko00052	Galactose metabolism
04540	map04540	NA	Gap junction
04971	map04971	ko04971	Gastric acid secretion
05226	map05226	NA	Gastric cancer
05214	map05214	NA	Glioma
04922	map04922	ko04922	Glucagon signaling pathway
07225	map07225	NA	Glucocorticoid and mineralocorticoid receptor agonists/antagonists
00966	map00966	ko00966	Glucosinolate biosynthesis
04724	map04724	ko04724	Glutamatergic synapse
00480	map00480	ko00480	Glutathione metabolism
00561	map00561	ko00561	Glycerolipid metabolism
00564	map00564	ko00564	Glycerophospholipid metabolism
00260	map00260	ko00260	Glycine, serine and threonine metabolism
00010	map00010	ko00010	Glycolysis / Gluconeogenesis
00534	map00534	NA	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
00630	map00630	ko00630	Glyoxylate and dicarboxylate metabolism
04929	map04929	NA	GnRH secretion
04912	map04912	NA	GnRH signaling pathway
04935	map04935	NA	Growth hormone synthesis, secretion and action
04066	map04066	ko04066	HIF-1 signaling pathway
05225	map05225	ko05225	Hepatocellular carcinoma
07227	map07227	NA	Histamine H2/H3 receptor agonists/antagonists
00340	map00340	ko00340	Histidine metabolism
04081	map04081	NA	Hormone signaling
05163	map05163	NA	Human cytomegalovirus infection
05170	map05170	NA	Human immunodeficiency virus 1 infection
00901	map00901	NA	Indole alkaloid biosynthesis
04750	map04750	NA	Inflammatory mediator regulation of TRP channels
00562	map00562	ko00562	Inositol phosphate metabolism
00981	map00981	ko00981	Insect hormone biosynthesis
04931	map04931	ko04931	Insulin resistance
04911	map04911	ko04911	Insulin secretion
04910	map04910	ko04910	Insulin signaling pathway
04672	map04672	NA	Intestinal immune network for IgA production
00943	map00943	NA	Isoflavonoid biosynthesis
00950	map00950	ko00950	Isoquinoline alkaloid biosynthesis
05167	map05167	NA	Kaposi sarcoma-associated herpesvirus infection
05140	map05140	NA	Leishmaniasis
00903	map00903	ko00903	Limonene degradation
00591	map00591	NA	Linoleic acid metabolism
00785	map00785	ko00785	Lipoic acid metabolism
00540	map00540	ko00540	Lipopolysaccharide biosynthesis
07015	map07015	NA	Local analgesics
04730	map04730	NA	Long-term depression
04720	map04720	NA	Long-term potentiation
00300	map00300	ko00300	Lysine biosynthesis
00310	map00310	ko00310	Lysine degradation
04010	map04010	NA	MAPK signaling pathway
00515	map00515	ko00515	Mannose type O-glycan biosynthesis
04113	map04113	ko04113	Meiosis - yeast
04916	map04916	NA	Melanogenesis
01100	map01100	ko01100	Metabolic pathways
00980	map00980	ko00980	Metabolism of xenobiotics by cytochrome P450
00680	map00680	ko00680	Methane metabolism
01120	map01120	ko01120	Microbial metabolism in diverse environments
04978	map04978	ko04978	Mineral absorption
04137	map04137	NA	Mitophagy - animal
00261	map00261	ko00261	Monobactam biosynthesis
00902	map00902	NA	Monoterpenoid biosynthesis
00512	map00512	NA	Mucin type O-glycan biosynthesis
00074	map00074	NA	Mycolic acid biosynthesis
04064	map04064	NA	NF-kappa B signaling pathway
00626	map00626	ko00626	Naphthalene degradation
07114	map07114	NA	Naphthalene family
04650	map04650	NA	Natural killer cell mediated cytotoxicity
04217	map04217	ko04217	Necroptosis
00524	map00524	ko00524	Neomycin, kanamycin and gentamicin biosynthesis
04082	map04082	NA	Neuroactive ligand signaling
04080	map04080	ko04080	Neuroactive ligand-receptor interaction
04722	map04722	NA	Neurotrophin signaling pathway
04613	map04613	NA	Neutrophil extracellular trap formation
00760	map00760	ko00760	Nicotinate and nicotinamide metabolism
00910	map00910	ko00910	Nitrogen metabolism
00633	map00633	ko00633	Nitrotoluene degradation
04932	map04932	NA	Non-alcoholic fatty liver disease
05223	map05223	NA	Non-small cell lung cancer
01054	map01054	ko01054	Nonribosomal peptide structures
00401	map00401	ko00401	Novobiocin biosynthesis
01232	map01232	NA	Nucleotide metabolism
04740	map04740	NA	Olfactory transduction
00670	map00670	ko00670	One carbon pool by folate
07224	map07224	NA	Opioid receptor agonists/antagonists
00720	map00720	ko00720	Other carbon fixation pathways
04913	map04913	NA	Ovarian steroidogenesis
04921	map04921	NA	Oxytocin signaling pathway
05235	map05235	NA	PD-L1 expression and PD-1 checkpoint pathway in cancer
03320	map03320	ko03320	PPAR signaling pathway
04972	map04972	ko04972	Pancreatic secretion
00770	map00770	ko00770	Pantothenate and CoA biosynthesis
04928	map04928	NA	Parathyroid hormone synthesis, secretion and action
05012	map05012	NA	Parkinson disease
05200	map05200	ko05200	Pathways in cancer
05022	map05022	NA	Pathways of neurodegeneration - multiple diseases
00311	map00311	ko00311	Penicillin and cephalosporin biosynthesis
00040	map00040	ko00040	Pentose and glucuronate interconversions
00030	map00030	ko00030	Pentose phosphate pathway
00550	map00550	ko00550	Peptidoglycan biosynthesis
00405	map00405	ko00405	Phenazine biosynthesis
00360	map00360	ko00360	Phenylalanine metabolism
00400	map00400	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
00940	map00940	ko00940	Phenylpropanoid biosynthesis
04070	map04070	ko04070	Phosphatidylinositol signaling system
04072	map04072	ko04072	Phospholipase D signaling pathway
00440	map00440	ko00440	Phosphonate and phosphinate metabolism
02060	map02060	ko02060	Phosphotransferase system (PTS)
00195	map00195	ko00195	Photosynthesis
04744	map04744	NA	Phototransduction
04745	map04745	NA	Phototransduction - fly
00907	map00907	NA	Pinene, camphor and geraniol degradation
04075	map04075	NA	Plant hormone signal transduction
04611	map04611	NA	Platelet activation
00624	map00624	ko00624	Polycyclic aromatic hydrocarbon degradation
00523	map00523	ko00523	Polyketide sugar unit biosynthesis
00860	map00860	ko00860	Porphyrin metabolism
07232	map07232	NA	Potassium channel blocking and opening drugs
00120	map00120	ko00120	Primary bile acid biosynthesis
00333	map00333	ko00333	Prodigiosin biosynthesis
07226	map07226	NA	Progesterone, androgen and estrogen receptor agonists/antagonists
04917	map04917	ko04917	Prolactin signaling pathway
00640	map00640	ko00640	Propanoate metabolism
07035	map07035	NA	Prostaglandins
05215	map05215	ko05215	Prostate cancer
04974	map04974	ko04974	Protein digestion and absorption
04964	map04964	ko04964	Proximal tubule bicarbonate reclamation
00230	map00230	ko00230	Purine metabolism
00240	map00240	ko00240	Pyrimidine metabolism
00620	map00620	ko00620	Pyruvate metabolism
02024	map02024	ko02024	Quorum sensing
04015	map04015	NA	Rap1 signaling pathway
04014	map04014	NA	Ras signaling pathway
04923	map04923	NA	Regulation of lipolysis in adipocytes
04926	map04926	NA	Relaxin signaling pathway
04924	map04924	NA	Renin secretion
00830	map00830	ko00830	Retinol metabolism
04723	map04723	NA	Retrograde endocannabinoid signaling
00740	map00740	ko00740	Riboflavin metabolism
04970	map04970	ko04970	Salivary secretion
00121	map00121	ko00121	Secondary bile acid biosynthesis
00450	map00450	ko00450	Selenocompound metabolism
04726	map04726	ko04726	Serotonergic synapse
07211	map07211	NA	Serotonin receptor agonists/antagonists
00909	map00909	ko00909	Sesquiterpenoid and triterpenoid biosynthesis
05131	map05131	NA	Shigellosis
05222	map05222	NA	Small cell lung cancer
00600	map00600	ko00600	Sphingolipid metabolism
04071	map04071	NA	Sphingolipid signaling pathway
05017	map05017	NA	Spinocerebellar ataxia
00500	map00500	ko00500	Starch and sucrose metabolism
00404	map00404	NA	Staurosporine biosynthesis
00984	map00984	NA	Steroid degradation
00140	map00140	ko00140	Steroid hormone biosynthesis
00945	map00945	NA	Stilbenoid, diarylheptanoid and gingerol biosynthesis
00521	map00521	ko00521	Streptomycin biosynthesis
00643	map00643	ko00643	Styrene degradation
00566	map00566	NA	Sulfoquinovose metabolism
01320	map01320	NA	Sulfur cycle
00920	map00920	ko00920	Sulfur metabolism
04721	map04721	NA	Synaptic vesicle cycle
05322	map05322	NA	Systemic lupus erythematosus
04660	map04660	NA	T cell receptor signaling pathway
04350	map04350	NA	TGF-beta signaling pathway
04742	map04742	NA	Taste transduction
00430	map00430	ko00430	Taurine and hypotaurine metabolism
00552	map00552	NA	Teichoic acid biosynthesis
00900	map00900	ko00900	Terpenoid backbone biosynthesis
00253	map00253	NA	Tetracycline biosynthesis
04658	map04658	NA	Th1 and Th2 cell differentiation
04659	map04659	ko04659	Th17 cell differentiation
04714	map04714	ko04714	Thermogenesis
00730	map00730	ko00730	Thiamine metabolism
04919	map04919	ko04919	Thyroid hormone signaling pathway
04918	map04918	ko04918	Thyroid hormone synthesis
00623	map00623	ko00623	Toluene degradation
00960	map00960	ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis
00380	map00380	ko00380	Tryptophan metabolism
02020	map02020	ko02020	Two-component system
01052	map01052	NA	Type I polyketide structures
04930	map04930	ko04930	Type II diabetes mellitus
00350	map00350	ko00350	Tyrosine metabolism
00130	map00130	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis
04370	map04370	NA	VEGF signaling pathway
00290	map00290	ko00290	Valine, leucine and isoleucine biosynthesis
00280	map00280	ko00280	Valine, leucine and isoleucine degradation
01502	map01502	ko01502	Vancomycin resistance
04270	map04270	NA	Vascular smooth muscle contraction
05110	map05110	ko05110	Vibrio cholerae infection
00750	map00750	ko00750	Vitamin B6 metabolism
04977	map04977	NA	Vitamin digestion and absorption
00622	map00622	ko00622	Xylene degradation
00908	map00908	ko00908	Zeatin biosynthesis
00592	map00592	ko00592	alpha-Linolenic acid metabolism
00410	map00410	ko00410	beta-Alanine metabolism
01501	map01501	ko01501	beta-Lactam resistance
04024	map04024	ko04024	cAMP signaling pathway
04022	map04022	ko04022	cGMP-PKG signaling pathway
07229	map07229	NA	Angiotensin receptor and endothelin receptor antagonists
00942	map00942	NA	Anthocyanin biosynthesis
07037	map07037	NA	Antiarrhythmic drugs
02025	map02025	ko02025	Biofilm formation - Pseudomonas aeruginosa
04981	map04981	NA	Folate transport and metabolism
00601	map00601	NA	Glycosphingolipid biosynthesis - lacto and neolacto series
00563	map00563	NA	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
07032	map07032	NA	Hypnotics
00403	map00403	NA	Indole diterpene alkaloid biosynthesis
05134	map05134	ko05134	Legionellosis
04212	map04212	ko04212	Longevity regulating pathway - worm
05020	map05020	NA	Prion disease
04614	map04614	ko04614	Renin-angiotensin system
00100	map00100	ko00100	Steroid biosynthesis
05152	map05152	ko05152	Tuberculosis
00072	NA	ko00072	NA
00190	NA	ko00190	NA
00281	NA	ko00281	NA
00471	NA	ko00471	NA
00472	NA	ko00472	NA
00473	NA	ko00473	NA
00511	NA	ko00511	NA
00513	NA	ko00513	NA
00514	NA	ko00514	NA
00531	NA	ko00531	NA
00571	NA	ko00571	NA
00603	NA	ko00603	NA
00604	NA	ko00604	NA
01055	NA	ko01055	NA
01130	NA	ko01130	NA
01524	NA	ko01524	NA
02040	NA	ko02040	NA
03008	NA	ko03008	NA
03010	NA	ko03010	NA
03013	NA	ko03013	NA
03018	NA	ko03018	NA
03020	NA	ko03020	NA
03022	NA	ko03022	NA
03030	NA	ko03030	NA
03050	NA	ko03050	NA
03060	NA	ko03060	NA
03070	NA	ko03070	NA
03410	NA	ko03410	NA
03420	NA	ko03420	NA
03430	NA	ko03430	NA
03440	NA	ko03440	NA
04011	NA	ko04011	NA
04013	NA	ko04013	NA
04016	NA	ko04016	NA
04112	NA	ko04112	NA
04122	NA	ko04122	NA
04138	NA	ko04138	NA
04141	NA	ko04141	NA
04142	NA	ko04142	NA
04146	NA	ko04146	NA
04151	NA	ko04151	NA
04211	NA	ko04211	NA
04213	NA	ko04213	NA
04214	NA	ko04214	NA
04260	NA	ko04260	NA
04612	NA	ko04612	NA
04621	NA	ko04621	NA
04622	NA	ko04622	NA
04626	NA	ko04626	NA
04657	NA	ko04657	NA
04727	NA	ko04727	NA
04914	NA	ko04914	NA
04940	NA	ko04940	NA
04979	NA	ko04979	NA
05016	NA	ko05016	NA
05100	NA	ko05100	NA
05120	NA	ko05120	NA
05132	NA	ko05132	NA
05133	NA	ko05133	NA
05150	NA	ko05150	NA
05165	NA	ko05165	NA
05166	NA	ko05166	NA
05203	NA	ko05203	NA
05205	NA	ko05205	NA
05206	NA	ko05206	NA
05211	NA	ko05211	NA
05219	NA	ko05219	NA
05340	NA	ko05340	NA
03450	NA	ko03450	NA
05030	NA	ko05030	NA
05031	NA	ko05031	NA
05034	NA	ko05034	NA
