culture_day,peak,logFC,AveExpr,t,P.Value,adj.P.Val,B
d1,156.99414__2.325,7.3994586815931,19.86499328248106,49.674035827018265,3.320973806542243e-17,1.351636339262693e-14,28.931386685981234
d1,248.01397__2.327,5.583872205979914,19.17155297300172,43.05700595540784,2.450122923008946e-16,4.986000148323205e-14,27.312452680176566
d1,405.01094__2.173,4.640369047621704,19.206803662194062,38.42169016386955,1.200821935294817e-15,1.6291150922166349e-13,25.950285932862332
d1,92.02464__2.329,7.475539617821977,20.713339329596238,34.31219359181654,5.803005756769615e-15,5.904558357513083e-13,24.543908720233222
d1,480.90484__2.33,4.3032778826770635,18.583683122390692,11.483211860086444,1.563103385447554e-8,1.2723661557543091e-6,9.796386568660616
d1,256.86045__2.19,-0.8057018131001069,19.25900290932945,-6.48884970699864,1.3958753887164537e-5,9.468688053459943e-4,2.7038241407880577
d1,276.90849__0.454,-1.2630202442765655,15.402015252673289,-6.183932769020439,2.328798772081173e-5,0.0013540301431957677,2.171233340505859
d1,402.00645__2.68,-1.0625886621921232,20.882807956927177,-5.968399381129506,3.3699754702285804e-5,0.0017144750204787903,1.7871743075040634
d1,188.86524__0.656,-0.6959783242123161,20.410465978717166,-4.883265270529382,2.3852096496491216e-4,0.010786448082302138,-0.23723236381355672
d1,322.21532__2.782,-1.0626398338710243,16.646955564606106,-4.667745253944668,3.582749076953993e-4,0.014222402839273458,-0.6554549893418349
d1,465.30449__3.114,-0.5921646245528089,19.33665246932938,-4.605572698198257,4.0330035677702306e-4,0.014222402839273458,-0.7769288173385087
d1,351.25195__3.158,-0.7343852650033325,19.36426888278591,-4.585148242824014,4.193337446468833e-4,0.014222402839273458,-0.8169100793725761
d1,312.8647__0.913,-0.5559031869502047,22.102650691127824,-4.459505648404386,5.33524073711011e-4,0.016053565802163102,-1.0636369405264547
d1,164.83502__0.642,-1.1558744735473903,24.871641627192155,-4.441618058773014,5.522111086739151e-4,0.016053565802163102,-1.0988670931176383
d1,458.86655__0.967,-0.6454461248555576,21.27331369565345,-4.325413463295587,6.91167184648451e-4,0.01875366961012797,-1.3283143830743782
d1,345.22836__2.282,-1.1273976993514805,21.102823680218282,-4.214118606364591,8.579954366789601e-4,0.019311560164414376,-1.5489206245402123
d1,134.89344__0.422,1.7503679413533626,20.260014307518222,4.21285892436693,8.601034538379129e-4,0.019311560164414376,-1.5514218348455175
d1,414.89978__0.97,-0.6396036851900045,20.628436907706035,-4.201218391151853,8.79836079819487e-4,0.019311560164414376,-1.5745394030442093
d1,266.88974__2.193,-0.992197647494273,19.400501633742316,-4.151663384902285,9.691656448369317e-4,0.019311560164414376,-1.6730362691790859
d1,126.95171__2.209,-1.8699566137163937,16.245557227465454,-4.148706275807189,9.747809710341357e-4,0.019311560164414376,-1.678917978008033
d1,361.74083__2.218,-1.1327070660013376,18.4437112096247,-4.130547773930614,0.0010099997951134956,0.019311560164414376,-1.7150449688328173
d1,238.07187__2.572,-1.1097256937415032,19.919860932427017,-4.105055549525662,0.0010616505528589111,0.019311560164414376,-1.765789673464143
d1,482.88619__0.98,-1.0419624777424266,19.274666231388295,-4.087224192281905,0.0010993770950959944,0.019311560164414376,-1.801302612117727
d1,160.84115__2.11,-1.9724400050091109,25.599843404983396,-4.0600306959392505,0.0011595671412880188,0.019311560164414376,-1.8554880553045265
d1,180.89874__0.611,-0.8101739192359955,18.605737814607192,-4.0484490694889725,0.0011862137693129224,0.019311560164414376,-1.8785748608715922
d1,102.94745__0.576,-0.4631326368163878,22.813846056196827,-4.027640753969557,0.0012356696354308863,0.019342982370014257,-1.9200674960073219
d1,407.26491__3.68,-1.2872201152315244,16.087414175762284,-3.994134847451437,0.0013197671445588262,0.019737529363383823,-1.9869134496463001
d1,621.43745__4.795,-1.7982218369545468,15.998067016590772,-3.975953002512855,0.0013678222226921532,0.019737529363383823,-2.023203285349516
d1,221.83404__0.65,-0.598696867993667,21.36877060400435,-3.9618364856967014,0.0014063595860887735,0.019737529363383823,-2.0513862267952314
d1,123.90079__0.541,-0.973000817063677,19.427835162462,-3.7117889911390787,0.0023055380533994274,0.03023566369915563,-2.551254536535172
d1,500.85291__0.924,-0.4053225078723597,23.34370362357782,-3.700354911801649,0.002358444285696221,0.03023566369915563,-2.574123941021032
d1,500.8528__0.914,-0.4051035206753555,23.342925761891188,-3.696352808022156,0.002377251199933612,0.03023566369915563,-2.582128439360951
d1,293.17599__2.486,-0.6172195312967191,23.595519824235833,-3.486343362662131,0.00360966154261232,0.04393699321795282,-3.0017955179746902
