sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
BPS_high_wk22_inoculum_d0_A,-1.6073115906263729,-3.794964795753681,6.033311586039708,-2.781011418861922,0.8805858063511267,-3.627030776752979,4.7840094124114945,-1.6342349509147422,1.5968759621758875,-0.5041023355168195,0.9879007555152575,0.33896286315934593,-0.7147694882919642,-1.2908043340501405,0.34194306339388675,0.45316347418983843,0.46711794549163055,-0.8471758835588847,-0.3633190022897018,-0.16782021036708963,1.650641152963252,-0.6359579850065499,-0.28862238815642566,-0.08386330787458991,-0.2381188777408855,-0.34152700470571395,-0.040233760864567474,-0.02056748321379477,0.22300395578303808,1.1414198980705463,-0.2806417162002804,-0.04148836961847566,-0.01983915659303836,-0.07048102800897668,-1.0432096947706285e-15
BPS_high_wk22_inoculum_d0_B,-2.1537600037396363,-2.5941528612311764,5.842038933790324,-1.8618623488749528,0.257838921874253,-2.704309995476657,3.589682350146844,-1.5783311879046782,1.2940593412923969,-1.1728622878803023,1.0377591082705857,0.1809027545040037,-2.2073726836365357,-0.5559062649382812,-0.35441223400199084,0.06298162092108406,-0.3836676021417458,0.7177860782804873,0.2768066453168696,-0.44938754624744925,-0.7352267100595463,0.8738954095951075,0.7133930313744221,0.15474020538637542,-0.1405975685008363,0.8749681326708884,0.1987939310285805,0.3275238602816635,-0.38988777388773077,-1.2931480298983125,0.32009719714095386,-0.13789513182371924,0.008371699685092982,0.09334659123737442,-1.084843058194072e-15
BPS_high_wk22_inoculum_d0_C,14.063070964258864,2.1114326538585404,8.642362958485016,3.1875451422161536,-9.10358203678444,-0.3524103117777796,0.9940684317926863,0.1316624006992744,-0.8152705411214952,-0.5393060926634504,-0.20921206376924292,0.3715407991305002,1.6505476841078182,0.7721014453427654,0.12543117275267676,-0.3060581880192692,-0.06925764265667103,-0.10191919859727669,0.10191442973366974,0.34840046107466965,-0.40941007654195966,-0.18579038522291377,-0.09079864311170201,-0.14948522422813526,0.13063265113875133,0.036834386420768306,-0.023025719198189628,0.03258350096435497,-0.057159203032448355,0.039071699272055865,-0.025656991550304174,0.03023812812471805,-0.016451511946038912,-0.019178259124781438,-3.2220223805974984e-15
BPS_high_wk22_inoculum_d0_D,-1.5936364744509992,2.566366525119468,3.2120914594106904,1.6765338389579572,2.3315411931866907,-0.22795133882807964,0.0747124732349577,1.031773532048557,2.1851958610955853,-0.5321892655675667,-1.6339333041709774,1.7211616363730997,-0.7322458575006058,3.4098863923870018,0.31052385287719847,0.17930834180217486,0.14719900403156355,-0.6646504487051554,-0.9387402456143505,-0.20567919247989302,-0.5631135402708042,-0.7345226825880321,1.0004058199495365,0.2085495660121429,-0.7478244485002582,-0.9974878712545625,0.40375376273638475,-1.144320577525151,0.5662646890805397,-0.3093121658804568,0.011292224468174197,-0.24937177283337064,-0.12263419515244832,-0.041730028319849566,-1.2652542996956598e-15
BPS_high_wk22_inoculum_d0_E,1.5919457869738298,5.39799080156267,4.3262152512516066,1.8513133207665764,2.4677129776234095,-2.1541566229300826,-1.8623393997977897,1.2237731004123549,-0.3483415325669786,0.7838982372698204,0.4755998208267141,-2.0388324521499914,0.3083839524858296,-0.59643756023864,0.26707262923334557,-0.35065271658573194,0.1484891406242553,-0.28013285560031287,-0.48446977240216055,1.0657415246670612,1.378734446440665,2.7165299704413037,0.676378121849384,0.11954040981898915,0.014836819821707864,-0.3663652183715236,-0.6871811371691805,-0.22356915094527946,0.47015136281214764,0.006599229237700368,0.03648106214773732,-0.0939880967960731,0.05243331680183507,0.05825556022030427,-1.272193193599567e-15
BPS_high_wk22_inoculum_d0_F,-3.6822204811146233,0.8402618542388364,2.4588411276385904,3.753651903331741,1.9913556770046852,1.0401649139957578,-0.3400361770363696,-1.2808215364054847,-0.2933915033067889,-0.26939062246641277,-1.5755260923540353,3.3564006338428087,-2.0534172824580508,2.8232528742187446,0.29459217632053997,0.5684406642607315,1.0805358948267583,0.4219178031027809,0.5589731436337682,0.6038841360581633,0.3853285114850456,0.5407586123771334,-0.9195271792652073,-0.4706542789578931,1.0590669548204643,0.5690579965452564,-0.7412650452749142,0.7289254055839868,-0.25437649827486997,0.28498307237579507,-0.04839835764752996,0.3155909128301357,0.026501542583752303,0.047921783389431934,-8.766762410768552e-16
BPS_high_wk22_inoculum_d0_G,5.881915041422585,9.84804852862463,4.7905225487399985,0.592478141394504,5.76496421075936,-3.9580544134115563,-3.880778273360771,-2.361282334192064,0.3930650413172376,1.1408650082495446,0.45620663906031717,0.03938086484161168,0.4431042913470039,-1.4346397329936045,-0.05354746503097379,0.009516160869412269,-0.40853199784991456,0.3403616282589605,0.46620833599562844,-0.2845717003332036,-0.5843319343844666,-1.455124591308537,-0.4300315698333722,0.037180398289875766,-0.09284035978848228,0.2890225588697199,0.3534965157885247,0.2545976451863746,-0.36316734146280505,0.0036208771376238236,-0.01507832073598666,0.04365483314912501,-0.0019107191087763067,-0.043909131913269145,-1.5636267375636707e-15
BPS_high_wk22_control_d2_A,-1.2745634601410074,-4.167461269513901,2.578915502279544,-4.081522936559342,0.6282798750310219,0.7343425414051675,0.20702877385301807,1.7919106743233932,-1.9593347297998764,4.987659863832596,-0.8339264921466987,3.849805917747735,2.5859484914726907,-0.7499635663690126,-0.6175757170370961,0.7067360178148585,-0.014572163160441786,0.5863375167624335,0.526553714972996,0.14947688301710738,0.04189529014359179,0.262530346380703,0.13347437262449965,0.08192733697006417,-0.8111820659379827,-0.03893973612519289,-0.2246907952856703,0.10939591020124878,-0.07829365052842875,-0.22786597945016113,-0.2486850082908385,-0.23765166375353214,0.05278141972658073,0.02359859352397876,-2.6843882231248717e-16
BPS_high_wk22_control_d2_B,-2.202645385409338,-3.3818928618332507,2.4960985655127317,-3.1612126695888114,-0.21594852602358824,1.7587118335083196,-2.0053597329288277,-1.461578679053591,-0.07393401824079536,-0.7076051548164356,-1.3867323581530218,-1.8229109275695363,-0.475235489510983,1.0100371637263914,-0.4185567236055217,-0.2718869459662345,-1.0010285340867662,0.9292927412531586,0.08924758751081605,0.7382445543635666,-0.7716296055633287,0.9675805748288018,0.5172830650517347,-0.2338354094221217,0.13214079763206604,-0.3991302675655968,1.103238170374129,0.1023162974128158,-0.9730140845796401,0.5759669783268758,-0.8044659366380948,-0.23564295658200107,-0.1983752405421026,-0.1267448050450153,-1.1889264667526803e-15
BPS_high_wk22_control_d2_C,7.293525855162171,-3.3059050528550413,-0.02827565931541322,-0.02153310282907142,0.42508435273346573,5.039101949952661,-1.4086246892463405,0.9098370443136345,1.4657961279246687,2.0956068497573606,0.20529484333629153,-0.2601884065702063,-3.0563331410598344,-0.6363457902374162,-1.261284088291517,-0.9176286985421692,-1.429923837056353,-1.574592679812051,0.17573299319470143,-0.2442424740380959,1.621234162000236,-0.7151932257696025,0.4440220739672394,-0.6225178461329551,0.6805562722800116,0.7052201695862623,-0.15759599837953162,-0.5360570882670234,-0.1097471846646988,-0.24005831191986218,-0.11397920078228353,-0.14530044068610593,-0.0859708171660939,0.030939329919289812,-2.765790106415598e-15
