culture_day	pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B
d2	Tyrosine metabolism	0.4533029720846581	18.68030661239193	3.048280347528792	0.009254154990698172	0.9959660441643059	-4.006445124177523
d2	Fatty acid degradation	0.507629532506596	14.650862048928527	2.616128881826302	0.021224026516515223	0.9959660441643059	-4.136884443631961
d2	Fatty acid elongation	0.507629532506596	14.650862048928527	2.616128881826302	0.021224026516515223	0.9959660441643059	-4.136884443631961
d2	Glucosinolate biosynthesis	0.3974195222696973	14.989599371270433	2.592792470075584	0.022188009061012492	0.9959660441643059	-4.1441301237439445
d2	Fatty acid metabolism	0.31967386624105404	15.179442692107639	2.270239354137127	0.04069499787575387	0.9959660441643059	-4.245497581379726
d2	Degradation of flavonoids	0.5327704021441361	19.535949413458255	2.0825697958795044	0.05743104809521422	0.9959660441643059	-4.304826921120721
d2	Cutin, suberine and wax biosynthesis	-0.3021715412271782	18.44591625179617	-1.9370914091407896	0.07458662271879073	0.9959660441643059	-4.350487727097894
d2	Bile secretion	-0.3130276731721501	18.377212537105365	-1.863830009004373	0.0848947857943519	0.9959660441643059	-4.373251975791767
d2	Phosphonate and phosphinate metabolism	-0.3130276731721501	18.377212537105365	-1.863830009004373	0.0848947857943519	0.9959660441643059	-4.373251975791767
d2	Asthma	0.7992251693959475	13.41880406184872	1.7327337024139784	0.10658794555701853	0.9959660441643059	-4.413411617765813
d2	Caffeine metabolism	0.7992251693959475	13.41880406184872	1.7327337024139784	0.10658794555701853	0.9959660441643059	-4.413411617765813
d2	Fc epsilon RI signaling pathway	0.7992251693959475	13.41880406184872	1.7327337024139784	0.10658794555701853	0.9959660441643059	-4.413411617765813
d2	Gastric acid secretion	0.7992251693959475	13.41880406184872	1.7327337024139784	0.10658794555701853	0.9959660441643059	-4.413411617765813
d2	Histamine H2/H3 receptor agonists/antagonists	0.7992251693959475	13.41880406184872	1.7327337024139784	0.10658794555701853	0.9959660441643059	-4.413411617765813
d2	Neuroactive ligand signaling	0.7992251693959475	13.41880406184872	1.7327337024139784	0.10658794555701853	0.9959660441643059	-4.413411617765813
d2	Synaptic vesicle cycle	0.7992251693959475	13.41880406184872	1.7327337024139784	0.10658794555701853	0.9959660441643059	-4.413411617765813
