culture_day,peak,logFC,AveExpr,t,P.Value,adj.P.Val,B
d1,289.16592__1.571,5.820721862705667,22.03702198957356,33.625656393226684,2.082924090700159e-14,4.303321171386529e-11,18.14389333885079
d1,291.16029__1.568,5.982036556360524,21.951847456111242,18.94194834450121,4.11028904135349e-11,4.245928579718155e-8,14.222948370994587
d1,359.14865__1.57,2.1001227006806715,16.80334289821913,12.376003813549191,9.511507654205635e-9,6.55025827119628e-6,10.108426118443624
d1,390.87054__1.042,2.5922893004405214,18.750900985891565,5.223105121147593,1.454065916547224e-4,0.07336731415317294,1.1937055364845959
d1,138.96945__4.861,1.028303875949881,16.253771379411916,4.988279754267494,2.2173910244712282e-4,0.07336731415317294,0.781367301256175
d1,289.14485__1.546,0.8769323369363841,16.439949615528107,4.929693338902508,2.4663411670073786e-4,0.07336731415317294,0.67733350548178
d1,191.01893__0.927,0.6851799684324867,20.650294309528622,4.9253706635065315,2.485823809642839e-4,0.07336731415317294,0.669639750674043
d1,153.86749__1.816,1.53246695645162,18.72532957245539,4.772357858599358,3.2892412518884754e-4,0.07828169868019826,0.3957565232685507
d1,90.93212__1.041,1.9700245483069454,17.45894295301775,4.752751502557663,3.4101417624481334e-4,0.07828169868019826,0.3604502454077716
d1,345.19201__1.468,1.7894437944827593,17.416452672400215,4.66201461368653,4.0326436799768286e-4,0.08331441842832128,0.19644961759585566
d1,391.87114__1.045,2.7825992521172394,16.308210278368637,4.561042447613587,4.865486018412879e-4,0.09138267376400916,0.01281650271711765
d1,349.11895__1.574,0.9182199398428862,16.37677233293432,4.334955352901942,7.439298187651288e-4,0.11964366075505974,-0.4023624678074471
d1,305.1606__1.447,0.8230447286865334,17.297231413247292,4.32865840241029,7.528400725148966e-4,0.11964366075505974,-0.41399956483548817
d1,192.928__1.079,1.4572955952314008,15.661156864432227,4.236369760036851,8.967893323431365e-4,0.13234048290149428,-0.5849730417137717
d1,196.97536__0.995,-1.1613752172161684,16.41054553006141,-4.172880476908582,0.0010120016488711435,0.13938636043785216,-0.7030257922983827
d1,98.97236__0.653,-1.9280481468344703,21.08127941922349,-4.1088104269459675,0.001143726682735227,0.14125775234579283,-0.822489036604864
d1,190.0171__0.924,0.4868448927927896,20.724436932105643,4.100375250114157,0.0011623338769982952,0.14125775234579283,-0.8382404534684662
d1,289.9428__0.383,0.5263434190036177,16.28508452791262,3.9249075572260295,0.0016282956113208762,0.17896211212148208,-1.1669987948999738
d1,162.02978__4.657,-1.3166325610317018,16.175438389292967,-3.9033476322964273,0.001697451090621522,0.17896211212148208,-1.2075225419337174
d1,274.88715__1.249,-1.3306638797634136,17.877620295318902,-3.8927754884572834,0.0017324502625506494,0.17896211212148208,-1.2274027598424304
d1,201.99945__0.877,1.2627166680607627,16.06695462570635,3.6740338553976657,0.0026472721760671123,0.26044115789307876,-1.6397912979225238
d1,102.95538__0.333,1.2294147226876342,20.112929218202112,3.5677267074597125,0.003256290465400132,0.2894993787657625,-1.8406775090253884
d1,189.93098__0.849,1.066354887551619,14.40869737805611,3.549748659556611,0.003372507852314102,0.2894993787657625,-1.8746618371703523
d1,390.90136__0.809,-1.4879819872026092,18.429989105579185,-3.5035814445674274,0.003690525944146656,0.2894993787657625,-1.9619349428446506
d1,111.04377__0.422,0.9355437347405806,17.99471639458373,3.498647663237653,0.0037262550384205384,0.2894993787657625,-1.9712613210896297
d1,214.14431__1.371,-0.6920065537331734,20.026372184941632,-3.496978210313546,0.0037384236333934708,0.2894993787657625,-1.9744170764959623
d1,316.89634__4.787,0.9601571198816895,16.51163555134119,3.465814085353083,0.003973082417239293,0.2894993787657625,-2.033322646394212
d1,92.92655__0.332,1.1664962702252608,21.154106438830524,3.4456667846608275,0.004132635830007908,0.2894993787657625,-2.071399164464369
d1,260.87131__4.72,-0.610492103053713,15.288531826318792,-3.437382333709095,0.0042001019997117825,0.2894993787657625,-2.0870543806900637
