sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49
DINP_high_wk07_dinp_d1_A,-15.79974613039837,5.86862627920528,3.0549853543584744,8.59922227093493,-0.4258387310266441,4.61224516264392,-13.757931309735511,1.9670506652053605,-3.425808060056258,2.5401810793530126,-2.028275699324072,5.62386490664173,-3.549878595235572,7.387133891178774,-0.8103747546443354,-0.19987132137756905,-0.6450553903125197,-1.1708693483303048,-3.189941355110844,3.9417014872660148,1.1960843586042276,3.887052304546704,-2.9002800340677526,-4.2798091977132104,-9.212590732537294,2.3000538210388375,6.898069921514482,3.9087077944055895,-10.28420709809136,-6.272635612417481,-3.8690778884068693,-8.45159088149521,-2.7706700889153093,4.01478469330977,3.7438254634667505,1.7084502945167126,0.9745165400311365,-0.8947945589914391,-1.2748198303248115,-2.167621528970175,-0.5980407814399282,-1.6027165889477528,8.701748844471643,1.2262394813884763,4.59361441387867,-10.648279861517098,9.368037522056232,-0.9014352915019348,-6.926783429465192e-13
DINP_high_wk07_dinp_d1_B,-11.739167585296608,7.295343791562986,4.862607802273234,10.692482447153358,-2.839705745060724,11.02405406416139,-6.212916172460055,5.514819658328185,3.54842854965806,4.262352154578958,-7.415001102412478,5.03502847561145,-6.712550676741071,-6.881867483780727,-4.839378347763778,9.326230333860956,-1.822610763775275,-3.088846275001293,-3.6392731803636065,-3.159338806671434,-6.577279502120849,2.8077757013343936,-3.4884261262697,-5.609010929726265,0.9275733887462512,2.523917045574462,-6.180482566950003,5.258421544464555,5.269655113308551,-5.028571663517316,-2.144137572099452,1.5684251749515887,-4.1287562360384475,0.21510201215958827,0.0791023771407883,-0.652283041012256,-9.017359711639827,-1.2022230333450978,-0.8195096185305648,3.0328147887405428,-5.865561532832308,11.385676605885863,-6.387527461508874,-2.7085119442837846,-4.9091834392714775,-0.061382184371624016,0.17978354800674903,-9.177987812439763,-7.001430713957003e-13
DINP_high_wk07_dinp_d1_C,-14.399000688833627,2.4725186765404246,-0.110195912444651,3.910869809281888,-2.814472858928986,-2.2928308094840832,-2.679148116524433,14.574328820643212,5.335749394531643,8.177192404559197,0.8495281057448951,2.0388707616533996,-1.8622831171791914,6.216213162055907,-1.8438004040854936,6.255899336724618,0.040549920072535016,1.2938870786058914,-4.020220862523544,6.866636254565508,1.031047335152081,-0.8240161633526245,-1.5993560040569865,0.7186377440454254,-3.2081024877197475,0.9073698575277486,0.14406119196393308,0.18767658168297238,-4.846447771677167,6.35021507976181,1.3372267104405278,6.6668929132019015,-1.0127143948804875,2.7524384577355936,-1.1996751329811068,-0.5084460414518734,18.231506005612648,-0.21115064624056307,-3.0255779374577605,-1.1543892453066245,-7.040014501744796,4.825220876790975,1.0002144799492365,-6.930017987548693,-4.2375974522377895,1.8422976153078112,-7.355773617069125,4.237122479216466,-6.940261908757832e-13
DINP_high_wk07_dinp_d1_D,-8.861297479208698,3.985758118839743,8.413836990027038,-14.890598777322799,2.0269023160220407,5.695240193569196,-4.1445316970109225,-1.4652077762762863,1.31603804472393,3.976754902883841,-7.346665074361131,5.706850166006985,-1.8705583077428438,-2.344512046419528,4.6310138965358085,9.113937110364114,1.7550074859926579,1.1605297625261903,-1.4193689494017183,1.6941696439918725,4.189720676558022,3.0141635509528317,-3.3933242473807907,6.000296027303618,-8.86133805367814,-4.634957339349954,-0.8756922868706101,1.542002875020287,5.613199267739347,8.349915449562701,-3.790297707993632,4.633880718222372,7.306987784518286,4.851145002081832,1.9109700896580424,0.6184487778685924,-0.7152154270508223,0.3917787358353915,-2.9705672339708102,-2.0378948499167246,5.241316531419292,3.010061694877075,4.5926668527902335,8.542602563274896,9.629546142387243,10.766454918798814,1.5807432287980765,-3.1420548109065347,-6.902756417381772e-13
DINP_high_wk07_dinp_d1_E,-10.7103561681823,-3.353519192883089,4.721402928440363,-10.516994032894276,-6.439784043981921,3.320729868492584,-0.6308718078920214,-4.429468223148492,-1.4537639879467954,5.092959595466239,-2.29787529299901,-5.592037473516579,-2.7883983556161,-2.6286163055838565,6.535130962019078,-1.035160502530387,2.162384803087059,2.215061595285097,-6.4592084784672785,7.339598974052638,-8.180334818460352,1.6847477836619473,8.514407515369355,6.756290712171283,-9.007786622205352,0.5093660496021334,6.975534777867242,-12.683564691248673,-5.854148560364009,-9.269206508538204,2.458109821927043,-0.5825307839045327,4.133761342431288,-11.554593305444952,-0.6642817946979567,2.632131112061676,-0.1987339153845074,2.819964202968681,0.7983825625153168,4.539891807399197,3.2274474557648083,4.225714848758739,-4.4740228561678315,-2.71649248169456,2.113835792555335,0.10040047013077759,-3.743537693690902,-3.5007806581258083,-6.845663725814803e-13
DINP_high_wk07_dinp_d1_F,-9.843452301996486,4.060096991173108,5.427591912079166,-12.392356306832898,-4.1692266481302545,11.545203926178173,-4.090900429221841,-3.114759664377429,3.4117129996616806,-1.1672846637748213,-3.340899147744055,4.671396046154636,-6.677807383676172,1.8820750175945238,-8.51860194657411,4.805138249810306,-1.6699852816907768,0.7774112418540599,-0.8291634961485373,-7.030608568202325,-2.300486604990014,0.4621259005815717,0.360918785336977,9.466381490611514,1.2515365535140084,2.9640149633620503,4.72554936139677,1.582791707238865,5.645754452474604,12.019691935158246,-0.7073958406975089,-4.483033331068945,10.33013744422193,-3.28045271353498,1.52682151108318,-4.956413474437763,-0.9526380680174695,0.0951895544783701,0.19820017778512106,4.830818919628826,1.4455423035949766,-6.4143769116109475,-5.7907076922750305,-6.219226992096516,-2.950405918912056,-8.847195145390058,2.9294973349557916,6.242173528290239,-6.904322905319396e-13
DINP_high_wk07_dinp_d1_G,-15.863447408125403,-8.913817823691398,-4.668957527197225,3.2737943560760527,-16.3343553643588,4.367334556206798,2.4254812017941703,-9.1575207628406,-3.3593285194928266,1.9595325025750747,1.8036098500333788,-4.3329487129116,-1.703290438195017,-5.402034941081376,-6.451332973331478,7.0954670927321475,-4.712433210266147,3.1321524095277034,-2.2599555698386635,2.831568986679296,-0.7283746520233767,3.1971452428747225,10.384881680607023,-8.657382179662546,-5.403826247400117,0.40756314728083587,-2.52733531495099,-0.2877588926824586,7.031363488264446,4.271733323422778,-1.3733406870684364,-1.79420933403368,-5.04453431622839,0.9606520518201194,3.464616013394421,7.720945802332898,-3.630672169676208,2.046002874358706,3.6913730162855023,-11.76778429494613,-2.2465695204771854,-6.833699129382864,1.7125822248049758,0.7128852342832565,1.8048762262234819,-2.4689953272463065,-9.143288100464797,3.585117168385475,-6.927267094790099e-13
DINP_high_wk07_dinp_d2_A,-1.6815847084869944,20.375800735157974,12.653587905913081,14.968497615975442,12.608116758621833,-3.6789619189033362,9.182463209025897,-8.093023143537946,-14.87986205390116,-1.9801714469381884,8.314251709749678,-3.2217788922662893,-4.3459275818007574,2.9140402668896495,-1.1822784438029523,5.40345301365129,-3.941605460882276,5.3325200656830685,-11.314552468962995,-4.5960015899065025,-1.8634928646878222,-8.070476890310482,-0.45038160990246684,-7.164295673218163,-5.763843870024436,-2.8974708274157543,7.768789964131983,-2.4529086463718635,5.630720710566781,0.3847277550408046,0.789231745054721,6.4171752239327695,-2.5327173906152196,2.656344109249382,-4.89748449251692,-5.1659789413346395,3.4223092625852427,0.549230207648586,-0.40169091927985795,-0.418072603060032,7.831133445065891,-0.8525366312621322,-1.963776211247269,1.4621416273771703,-5.395436417819619,0.16885175355389678,4.279272556218363,-1.7523300158291484,-6.9481783671159e-13
DINP_high_wk07_dinp_d2_B,4.342644612212033,18.80965415197485,5.12457137739138,14.674580771863841,7.237292844334277,9.351402275433092,20.950477600274905,-2.905923852679374,0.18056952851193486,-2.9684240049880484,-4.826347122935937,0.07247928883587133,4.4886579361282255,1.3509916827329158,10.348505717038774,-5.117766570157285,-13.573998468400806,-1.906511996086889,-3.3419122990418906,-3.0692723266296995,-2.315453663657292,13.134491601217176,4.809336778996003,12.68947786847577,-0.5225967809776709,-5.6184795702517984,-1.951018431338808,6.026729683456857,-2.84244656574642,0.5435948821570026,-0.0029832130433294418,-1.7753249951909822,-0.91470265370414,2.17970293536769,-2.307648131823851,4.921887995185034,1.5652939446264225,-4.633318617594872,-0.9910726614496802,-1.6844519466300392,-5.015909021756302,-0.7513334343338626,-1.305301173807545,0.7795540623140689,-1.4939999767502552,-1.0794328108449798,-0.03910279445508072,0.17606230657181934,-6.950048102716595e-13
DINP_high_wk07_dinp_d2_C,-0.8636656345122526,16.012469791288215,3.517855929396243,7.301401166717244,1.3372641324982044,5.445810199272985,3.54420046841029,0.17894965273493085,-2.790110333314642,7.7814619880433,7.69851961657572,3.121889431755716,0.32628495665657475,-9.369673602981308,4.132527581977658,3.783818222959966,5.212452710301308,6.492062431465484,-4.144946109678162,-0.4281139708659314,0.3220909580525393,-9.064846644438019,-0.4446539852443498,2.8030964914379966,5.095759019639624,-1.2150793515240985,0.9090883503205429,6.880139126373053,-4.337033659124852,3.5012246243932768,1.2073358402876906,-4.442850858378665,-8.404330893293231,-7.820884844997057,1.371252398035849,-2.973824089151494,-3.4605672457368253,-3.6355071147062907,8.031884801618313,6.750318844136885,-4.657118669337246,-3.2614375243832536,6.002545070111008,-5.7076930740762215,8.807558112998366,6.158047363521967,0.017562639476885678,2.9127187935535392,-6.933562718727251e-13
