variable	V1	V2	V3
ko00010	-0.09154000479794135	-0	0.0034383539422940725
ko00020	0	0.10357514264785576	0.06363673282518911
ko00030	-0	-0.11275387346073927	0.017103035049453007
ko00040	0.034479798023773225	-0.008568822390218838	0.10190563119360485
ko00051	-0.055590309182602556	-0.037406975642166725	-0.02789269204637159
ko00052	-0.09671731441103984	-0	0.009180015871381208
ko00053	0.14585419857871407	-0.08056200412972676	-0.03661952758238057
ko00061	0.11343534575075859	-0.014571038853528916	-0.018316819657010968
ko00071	-0.06680434323120467	-0.025053092112896063	-0.01776515306358292
ko00072	-0.08653000390579765	-0.005022970336564006	0.0014744325796053307
ko00100	0	0.11342007961304508	-0.006967611377041655
ko00120	-0.011364383130235474	-0.0880945005722627	-0.06429570618398467
ko00121	-0.011364383130235474	-0.0880945005722627	-0.06429570618398467
ko00130	0	0.11338496645667695	0.017961987828025962
ko00140	0	0.11287719230154179	0.023643382705241626
ko00190	0	0.10878882035455145	-0.03647431674241956
ko00195	-0.10637611827922898	0	0.020527500749754984
ko00220	0.06626022550816778	0.030786271310239675	0.01426238086953906
ko00230	-0.10103074064995156	0	0.008013749534186971
ko00240	-0.06613549262288192	-0.033218116214720754	-0.012472090875079599
ko00250	0	-0.03706885243591323	0.11941444127400946
ko00260	0.07538091718995463	0.020359039985714217	0.006384544867716907
ko00261	0.0057282140465250795	0.09045881867729791	0.07289563195695337
ko00270	0.10789416058610996	-0.012703137567762602	-0.010407745245118808
ko00280	0	0.10855741667085492	-0.025712714029244802
ko00281	-0.08107062015709277	-0.009141078721946016	-0.004933145146095251
ko00290	0.07767690437524703	0.014926741648376334	0.0065128584539129
ko00300	0	0.11365488465686359	0.01404062996025255
ko00310	-0	0.06278439488937672	-0.09909002748475805
ko00311	-0.10390438199795465	0.005185582598000541	0.00850334836156946
ko00330	0.08726920350619677	0.011036056015779363	-0.007351060962346314
ko00332	0.07720650974266344	0.019543296855069198	0.003819925572829375
ko00333	0	0.10127333350080005	0.07054287296119247
ko00340	0.09710228348497796	-0	-0.0022414806266810006
ko00350	-0	0.075227487998392	-0.10193290183722868
ko00360	0.032919452339109034	0.06996147560576339	0.040547264020556514
ko00361	0.008896563535985388	-0.0030833253062714713	0.1375831284036363
ko00362	-0	-0.108243111087721	0.03520416803777006
ko00364	0	-0	0.14637045314243066
ko00380	0	0.09698919934853799	-0.06070155018868356
ko00400	0	0.1003530700075041	0.07126912537298351
ko00401	0	0.10248724719273229	0.06625117481643573
ko00405	0	0.11355040132807553	-0.00672895819500431
ko00410	0.046520962527953374	0.053670539519966066	0.030614236394965553
ko00430	-0.06805220621049457	-0.028944438761374123	-0.01256570362778021
ko00440	0	0.11235193008884116	0.0279473167545376
ko00450	0.06213645164929101	0.041565213482717286	0.012274194269099165
ko00460	0	-0.08856307080874293	0.08259953078812354
ko00471	-0.08026981447582589	-0.02262379792776072	0.004415156841022835
ko00472	0	-0	0.14609005480050274
ko00473	-0.08589899375791787	0.02183076176982131	-0.029703636271736434
ko00480	-0.09362739112271919	-0	0.00577993618982426
ko00500	-0.06895791517358123	-0.0261854319860476	-0.013151127284871604
ko00511	0	0.1136095409402878	0.015017108605433508
ko00513	0	0.11173598231912261	-0.022430459444264344
ko00514	0	-0	0.14609005480050274
ko00515	0	-0	0.14609005480050274
ko00520	-0.09382803062120398	0	0.0017134953319151722
ko00521	-0.04007839017633706	0.009398676460276421	-0.09386369296327798
ko00523	-0.02342158840469491	0.003984190067579626	-0.11643944360930394
ko00524	-0.10613120176928179	0.0019358573046157094	0.014345855402961285
ko00525	0	0.10805152931335864	-0.039683286819209934
ko00531	0	0.11125234483231197	-0.025540160321739655
ko00540	0	0.11302482907515922	0.02231467737022442
ko00550	-0.08230924901154137	-0.013888032409980404	7.817407157455047e-4
ko00561	-0	-0.10955701419431431	-0.04329191278087323
ko00562	0.014745866667010492	-0.0030213577038985255	0.12893583316155668
ko00564	-0.09613435792648173	0.020551421014000006	-0.01297935883776371
ko00565	0	0.11354341139893277	-0.0070545178080421884
ko00571	0	0.11354341139893277	-0.0070545178080421884
ko00592	-0.08719123736191473	-0.0044501489030355675	0.002170145815721013
ko00600	0	0.11337775966365946	0.01850286714009083
ko00603	0	0.11374055124611956	-0.004392447644422581
ko00604	0	0.11173598231912261	-0.022430459444264344
ko00620	0	-0.08985018493358836	0.08938399289841586
