variable	U1	U2	U3
Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	-0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	-0
Glyoxylate and dicarboxylate metabolism	0	0	-0
GnRH secretion	-0	-0	0
HIF-1 signaling pathway	0	0	-0
Hepatocellular carcinoma	0	0	-0
Histamine H2/H3 receptor agonists/antagonists	0.2816518020351313	0.22499909882925706	-0.26653687325754755
Histidine metabolism	0	0	-0
Hormone signaling	-0	-0	0
Hypnotics	0	0	-0
Indole alkaloid biosynthesis	0	0	-0
Indole diterpene alkaloid biosynthesis	0	0	-0
Inflammatory mediator regulation of TRP channels	0	0	-0
Inositol phosphate metabolism	0	0	-0
Insect hormone biosynthesis	0	0	-0
Insulin resistance	0	0	-0
Insulin secretion	0	0	-0
Insulin signaling pathway	0	0	-0
Isoflavonoid biosynthesis	0	0	-0
Isoquinoline alkaloid biosynthesis	-0	-0	-0
Legionellosis	-0	-0	0
Leishmaniasis	0	0	-0
Limonene degradation	-0	-0	0
Linoleic acid metabolism	-0	-0	0
Lipoic acid metabolism	0	0	-0
Lipopolysaccharide biosynthesis	0	0	-0
Long-term depression	-0	-0	0
Longevity regulating pathway - worm	0.06180701966077056	0	-0.15840577181027055
Lysine biosynthesis	-0	0	-0
Lysine degradation	0	0	-0
Meiosis - yeast	0	0	-0
Metabolic pathways	0	0	-0
Metabolism of xenobiotics by cytochrome P450	0	0	-0
Methane metabolism	0	0	-0
Microbial metabolism in diverse environments	0	0	-0
Mineral absorption	0	0	-0
Mitophagy - animal	0	0	-0
Monobactam biosynthesis	-0	-0	-0
Monoterpenoid biosynthesis	0	0	-0
Mucin type O-glycan biosynthesis	0	0	-0
Mycolic acid biosynthesis	0	0	-0
Naphthalene degradation	-0	-0	-0
Naphthalene family	-0	-0	-0
Necroptosis	0	0	-0
Neomycin, kanamycin and gentamicin biosynthesis	0	0	-0
Neuroactive ligand signaling	0.3151492406612376	0.27423194902424636	-0.27375849013187636
Neuroactive ligand-receptor interaction	0	0.035417402928631145	-0
Neurotrophin signaling pathway	0	0	-0
Neutrophil extracellular trap formation	0.111052618476278	0.08918871738509535	-0
Nicotinate and nicotinamide metabolism	0	0	-0
Nitrogen metabolism	0	0	-0
Nitrotoluene degradation	0.2920458334880893	0.3451021689867438	-0.31543716118322235
Non-alcoholic fatty liver disease	0	0	-0
Nonribosomal peptide structures	0	0	-0
Novobiocin biosynthesis	0	0	0
Nucleotide metabolism	0.11624069603007389	0.09417250673772158	-0
Olfactory transduction	-0	-0	0
One carbon pool by folate	0	0	-0
Opioid receptor agonists/antagonists	-0	-0	-0
Other carbon fixation pathways	0	0	-0
Ovarian steroidogenesis	-0	-0	0
Oxytocin signaling pathway	-0	-0	0
PPAR signaling pathway	-0	-0	0
Pantothenate and CoA biosynthesis	0	0	-0
Parathyroid hormone synthesis, secretion and action	0	0	-0
Parkinson disease	0	0	-0
Pathways in cancer	0	0	-0
Pathways of neurodegeneration - multiple diseases	0	0	-0
Penicillin and cephalosporin biosynthesis	0	0	-0
Pentose and glucuronate interconversions	0	0	-0
Pentose phosphate pathway	0	0	-0
Peptidoglycan biosynthesis	0	0	-0
Phenazine biosynthesis	0	0	-0
Phenylalanine metabolism	0	0	-0
Phenylalanine, tyrosine and tryptophan biosynthesis	0.05432269820220342	0.11829477900913883	-0.07101502566623334
Phenylpropanoid biosynthesis	-0	0	-0
Phosphatidylinositol signaling system	0	0	-0
Phosphonate and phosphinate metabolism	0	0	-0
Phosphotransferase system (PTS)	0	0	-0
Photosynthesis	-0	-0	-0
Phototransduction	-0	-0	0
Pinene, camphor and geraniol degradation	0	0	-0
Plant hormone signal transduction	0	0	-0
Platelet activation	-0	-0	0
Polycyclic aromatic hydrocarbon degradation	-0	-0	0
Polyketide sugar unit biosynthesis	-0	-0	0
Porphyrin metabolism	0	0	-0
Potassium channel blocking and opening drugs	0	0	-0
Primary bile acid biosynthesis	-0	0	-0
Prion disease	0	0	-0
Prodigiosin biosynthesis	0	0	0
Progesterone, androgen and estrogen receptor agonists/antagonists	-0	-0	0
Prolactin signaling pathway	-0	-0	0
Propanoate metabolism	0	0	-0
Prostaglandins	-0	-0	-0
Prostate cancer	0	0	-0
Protein digestion and absorption	0.24497750603623714	0.23408739209978432	-0.26041225576564964
Proximal tubule bicarbonate reclamation	0	0	-0
Purine metabolism	0	0	-0
Pyrimidine metabolism	0	0	-0
Pyruvate metabolism	-0	0	-0
Quorum sensing	0	0	-0.08425458655978799
Rap1 signaling pathway	0	0	-0
Ras signaling pathway	0	0	-0
Regulation of lipolysis in adipocytes	-0	-0	0
Renin secretion	-0	-0	0
Renin-angiotensin system	0	0	-0
Retrograde endocannabinoid signaling	-0	-0	-0
Riboflavin metabolism	0	0	-0
Salivary secretion	-0	-0	0
Secondary bile acid biosynthesis	0	0	-0
Serotonergic synapse	-0	0	-0
Sesquiterpenoid and triterpenoid biosynthesis	0	0	-0
Sphingolipid metabolism	0	0	-0
Sphingolipid signaling pathway	0	0	-0
Starch and sucrose metabolism	0	0	-0
Staurosporine biosynthesis	0	-0	-0
Steroid biosynthesis	0	0	-0
Steroid degradation	0	0	-0
Steroid hormone biosynthesis	0	0	-0
Stilbenoid, diarylheptanoid and gingerol biosynthesis	0	0	-0
Streptomycin biosynthesis	0	0	-0
Styrene degradation	-0	-0	0
Sulfoquinovose metabolism	0	0	-0
Sulfur metabolism	0	0	-0
Synaptic vesicle cycle	0.3151492406612376	0.27423194902424636	-0.27375849013187636
Systemic lupus erythematosus	-0	-0	-0
TGF-beta signaling pathway	0	0	-0
Taste transduction	0	0	-0
Taurine and hypotaurine metabolism	0.2255904029371119	0.286283401755738	-0.27492468582717755
Teichoic acid biosynthesis	0	0	-0
Terpenoid backbone biosynthesis	0.021192056683910183	0.11706153156756698	-0
Thermogenesis	-0	-0	0
Thiamine metabolism	0	0	-0
Thyroid hormone synthesis	0	0	-0
Toluene degradation	0	0	-0
Tropane, piperidine and pyridine alkaloid biosynthesis	0	0	-0
Tryptophan metabolism	0.06239963511651946	0.09326320101641815	-0.04180866018767958
Tuberculosis	0	0	-0
Two-component system	0	0	-0
Type I polyketide structures	-0	-0	-0
Type II diabetes mellitus	0	0	-0
Tyrosine metabolism	0	0	-0
Ubiquinone and other terpenoid-quinone biosynthesis	0	0	-0
Valine, leucine and isoleucine biosynthesis	0	0	0
Valine, leucine and isoleucine degradation	0	0	-0
Vancomycin resistance	0	0	-0
Vascular smooth muscle contraction	-0	-0	-0
Vitamin B6 metabolism	0	0	-0
Vitamin digestion and absorption	-0	-0	-0
Xylene degradation	-0	-0	0
Zeatin biosynthesis	0.2513626365953422	0.28736508967094704	-0.26818476809987296
alpha-Linolenic acid metabolism	0	0	-0
beta-Alanine metabolism	0	0	-0
beta-Lactam resistance	0	0	-0
cAMP signaling pathway	0	0	-0
cGMP-PKG signaling pathway	-0	-0	0
