"","BPS_high_wk07","BPS_high_wk12","BPS_high_wk17","BPS_high_wk22"
"BPS_high_wk07",158,115,104,117
"BPS_high_wk12",115,204,118,146
"BPS_high_wk17",104,118,195,119
"BPS_high_wk22",117,146,119,636
