index,Comparison,Z,P.unadj,P.adj
1,control_d2 - control_d7,-0.34889639074744055,0.7271670948976046,1
1,control_d2 - dinp_d2,-0.10735273561459735,0.9145091492552357,1
1,control_d7 - dinp_d2,0.2415436551328432,0.809133785970848,1
1,control_d2 - dinp_d7,-0.9393364366277244,0.3475580367411691,1
1,control_d7 - dinp_d7,-0.5904400458802838,0.5548956694356111,1
1,dinp_d2 - dinp_d7,-0.831983701013127,0.4054181445340287,1
1,control_d2 - inoculum_d0,2.367949410824992,0.017886981509726722,0.17886981509726724
1,control_d7 - inoculum_d0,2.7031582203428677,0.006868404345858513,0.06868404345858513
1,dinp_d2 - inoculum_d0,2.4710905829843384,0.013470169382471503,0.13470169382471503
1,dinp_d7 - inoculum_d0,3.270434667219272,0.0010738234348552588,0.010738234348552589
2,control_d2 - control_d7,0.5367636780729854,0.5914308640203936,1
2,control_d2 - dinp_d2,0.08051455171094818,0.9358280232164784,1
2,control_d7 - dinp_d2,-0.45624912636203724,0.6482108424324452,1
2,control_d2 - dinp_d7,0.8319837010131274,0.4054181445340284,1
2,control_d7 - dinp_d7,0.2952200229401419,0.7678258071959032,1
2,dinp_d2 - dinp_d7,0.7514691493021791,0.452370360677361,1
2,control_d2 - inoculum_d0,-2.4281150945846113,0.015177525890522103,0.15177525890522103
2,control_d7 - inoculum_d0,-2.9438209553813426,0.003241874865497773,0.03241874865497773
2,dinp_d2 - inoculum_d0,-2.505470973704121,0.012228843520072747,0.12228843520072746
2,dinp_d7 - inoculum_d0,-3.2274591788195446,0.0012489486009429687,0.012489486009429687
