variable	U1	U2	U3
map01210	0	-0	0
map02010	0	-0	0
map00250	0	-0	0
map00520	0	0	-0
map00627	0	-0	0
map00942	0	-0	0
map00572	0	0	-0
map00590	0	-0	0
map00330	0	-0	0
map00220	0	-0	0
map00053	0	-0	0
map00362	0	-0	0
map00965	-0	0	-0
map04976	0	-0	0
map00522	0	-0	0
map01063	-0	0	-0
map01230	0	-0	0
map01051	-0	-0	0
map01240	0	-0	0
map01250	-0	-0	0
map01061	0	-0	0
map01060	0	-0	0
map01110	0	-0	0
map01062	0	-0	0
map00998	0.07016409989638095	-0.03743604478973411	0.021042946174860525
map00999	0	-0	0
map00363	0	-0	0
map00650	0	-0	0
map00660	0	-0	0
map00232	0	-0	0
map00930	0	-0	0
map01200	-0	0	-0
map00906	0	-0	0
map05204	0	-0	0
map05208	0	-0	0
map05207	0	-0.9988869822567215	0.9986236717133815
map00625	0	-0	0
map00361	-0	-0	0
map00073	0	-0	0
map00460	-0	0	-0
map00470	0	-0	0
map01220	0	-0	0
map00946	0	-0	0
map00621	0	-0	0
map00904	0	-0	0
map04728	-0	0	-0
map00982	0	-0	0
map07034	0	-0	0
map00642	0	-0	0
map00071	0	-0	0
map00944	0	-0	0
map00941	0	-0.028553893594519437	0.048041198048824375
map00790	0	-0	0
map00051	-0	0	0
map00052	0	0	-0
map00260	0	-0	0
map05225	0	-0	0
map00901	0.9975354625704946	-0.002830969649076047	0
map04750	0	-0	0
map00562	0	-0	0
map00943	0	-0	0
map00591	0	-0	0
map00540	0	-0	0
map00310	0	-0	0
map01100	0	-0	0
map00980	0	-0	0
map00680	0	-0	0
map01120	0	-0	0
map00074	0	-0	0
map00626	0	-0	0
map00524	-0	-0	0
map00760	0	-0	0
map00633	0	-0	0
map04913	0	0	-0
map04921	0	-0	0
map03320	0	-0	0
map00770	0	-0	0
map05200	0	-0	0
map00040	0	-0	0
map00360	-0	0	-0
map00400	0	-0	0
map00940	0	-0	0
map02060	0	-0	0
map04611	0	-0	0
map00624	0	-0	0
map00860	0	-0	0
map00120	0	-0	0
map07035	0	-0	0
map04974	0	-0	0
map00240	0	-0	0
map00620	-0	0	0
map04723	0	-0	0
map00121	0	-0	0
map04726	0	-0	0
map00909	0	-0	0
map00500	0	-0	0
map00945	-0	-0	0
map00521	0	-0	0
map00920	0	-0	0
map05322	0	-0	0
map00730	0	-0	0
map00623	0	-0	0
map00960	0	-0	0
map00380	0	-0	0
map02020	0	-0	0
map01052	0	-0	0
map00350	-0	0	-0
map00290	0	-0	0
map01502	0	-0	0
map04270	0	-0	0
map00622	-0	0	-0
map00592	0	-0	0
map00410	0	-0	0
map04024	0	-0	0
