"","DINP_high_wk07","DINP_high_wk12","DINP_high_wk17","DINP_high_wk22"
"DINP_high_wk07",8,0,3,7
"DINP_high_wk12",0,0,0,0
"DINP_high_wk17",3,0,5,3
"DINP_high_wk22",7,0,3,196
