variable	U1	U2	U3
Degradation of flavonoids	-0	-0	0
Diabetic cardiomyopathy	0.008806039837331681	0.005718490319502622	0
Dioxin degradation	-0	-0	0
Diterpenoid biosynthesis	0.06476214927838994	0.06118599381453951	0
Dopaminergic synapse	0.05226786932295815	0.048396596354864506	0.029424203240275768
Drug metabolism - cytochrome P450	-0	-0	-0
Drug metabolism - other enzymes	-0	0	-0
EGFR tyrosine kinase inhibitor resistance	0.0142781729425515	0.005149334819152143	0.06806347695051211
Efferocytosis	-0	-0	-0
Eicosanoids	0.126364297607566	0.12153342729378154	0.06837537506799836
Endocrine and other factor-regulated calcium reabsorption	0.06625177587214916	0.0686498592762634	0
Endocrine resistance	0.02199832269960624	0.027876250617922885	0
Endocytosis	0	0	0
ErbB signaling pathway	0.0142781729425515	0.005149334819152143	0.06806347695051211
Estrogen signaling pathway	0.06625177587214916	0.0686498592762634	0
Ether lipid metabolism	0.03728868741548929	0.020435177721669334	0.21002863425306936
Ethylbenzene degradation	-0	-0	0
Fat digestion and absorption	0.032958007338031114	0.02209799347424195	0.10443502262882715
Fatty acid biosynthesis	0.048438515981990546	0.05109058038311597	0
Fatty acid degradation	0	0	0
Fatty acid elongation	-0	-0.0017967978115361236	0
Fatty acid metabolism	-0	-0.008368085139628837	0
Fc epsilon RI signaling pathway	-0	-0	0
Fc gamma R-mediated phagocytosis	-0	-0	0
Ferroptosis	0.18832935923319735	0.18279920854649695	0.10142552862068278
Flavone and flavonol biosynthesis	-0	-0	-0
Flavonoid biosynthesis	-0	-0	-0
Fluid shear stress and atherosclerosis	0	0	0
Fluorobenzoate degradation	0.10195893995838912	0.08839665891594989	0.21469610109407428
Folate biosynthesis	0.1076184273968657	0.10176476463817366	0.06413495733312015
FoxO signaling pathway	0	0	0
Fructose and mannose metabolism	0.020413743493689167	0.051816929556327204	-0
Furfural degradation	-0.1888373488255458	-0.19384558107491223	-0
GABA-A receptor agonists/antagonists	0.02636174878549499	0.03287192204008724	0
Galactose metabolism	-0.180113133659279	-0.17888761799222558	-0.07473851910927652
Gap junction	-0.1045191705059645	-0.10637818499075975	-0
Gastric acid secretion	-0	-0	0
Gastric cancer	-0.10674749664501998	-0.10851827216067333	-0
Glioma	0.0142781729425515	0.005149334819152143	0.06806347695051211
Glucagon signaling pathway	0	0	0.13914430949110432
Glucocorticoid and mineralocorticoid receptor agonists/antagonists	0	0	0
Glucosinolate biosynthesis	-0	-0.020695470601224408	0
Glutamatergic synapse	0.0142781729425515	0.005149334819152143	0.06806347695051211
Glutathione metabolism	-0	-0	-0
Glycerolipid metabolism	-0.04217079108066884	-0.06858419549045011	0
Glycerophospholipid metabolism	0	0	0.14581115678864406
Glycine, serine and threonine metabolism	0.07213530268808394	0.0593797102978583	0.14917935807102325
Glycolysis / Gluconeogenesis	0	0	0.140767127641014
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0
Glyoxylate and dicarboxylate metabolism	-0	-0	0.040948814280150916
GnRH secretion	0.06625177587214916	0.0686498592762634	0
GnRH signaling pathway	-0	-0	0
Growth hormone synthesis, secretion and action	0.0142781729425515	0.005149334819152143	0.06806347695051211
HIF-1 signaling pathway	0.19387239960755953	0.18806836421684697	0.10797880396471589
Hepatocellular carcinoma	0.032958007338031114	0.02209799347424195	0.10443502262882715
Histamine H2/H3 receptor agonists/antagonists	-0.012436762554366355	-0.024342939864713475	-0
Histidine metabolism	0	0	0.14953790433003547
Hormone signaling	0.17987269941089984	0.17288710182779982	0.11882894364643296
Human cytomegalovirus infection	0.0142781729425515	0.005149334819152143	0.06806347695051211
Human immunodeficiency virus 1 infection	0.0142781729425515	0.005149334819152143	0.06806347695051211
Indole alkaloid biosynthesis	0	0	0
Inflammatory mediator regulation of TRP channels	0	0	-0
Inositol phosphate metabolism	0	-0	0.025781626940358102
Insect hormone biosynthesis	-0	-0	-0
Insulin resistance	0	0	0.15389809372229285
Insulin secretion	0.032958007338031114	0.02209799347424195	0.10443502262882715
Insulin signaling pathway	0	0	0
Intestinal immune network for IgA production	-0.10767490977506211	-0.10924857459263781	-0
Isoflavonoid biosynthesis	0	0.01944944911452492	-0
Isoquinoline alkaloid biosynthesis	0	0	0
Kaposi sarcoma-associated herpesvirus infection	0.0142781729425515	0.005149334819152143	0.06806347695051211
Leishmaniasis	0	0	0.05903015236265587
Limonene degradation	-0	-0	-0
Linoleic acid metabolism	0.09755396297288359	0.1030905919539227	0
Lipoic acid metabolism	-0.047548073997710494	-0.045261611721694024	-0
Lipopolysaccharide biosynthesis	-0.06817445303354726	-0.06018186016051295	-0.08851474830063315
Local analgesics	0	0	0
Long-term depression	0	0	0
Long-term potentiation	0.0142781729425515	0.005149334819152143	0.06806347695051211
Lysine biosynthesis	-0	-0	-0
Lysine degradation	-0	-0	-0
MAPK signaling pathway	0.0142781729425515	0.005149334819152143	0.06806347695051211
Mannose type O-glycan biosynthesis	0	0	0
Meiosis - yeast	0	0	0
Melanogenesis	0.0142781729425515	0.005149334819152143	0.06806347695051211
Metabolic pathways	0	0	0
Metabolism of xenobiotics by cytochrome P450	0.18670317686394897	0.19093386457117825	0
Methane metabolism	0	0	0
Microbial metabolism in diverse environments	0	0	0
Mineral absorption	0.19333859985041457	0.18762118898373295	0.10635993109993751
Mitophagy - animal	0	0	0
Monobactam biosynthesis	0	0	-0
Monoterpenoid biosynthesis	0.06280561930233661	0.0591294471832231	0.03633956028337899
Mucin type O-glycan biosynthesis	0	0	0.12464081533297067
Mycolic acid biosynthesis	-0	-0	-0
NF-kappa B signaling pathway	0.0142781729425515	0.005149334819152143	0.06806347695051211
Naphthalene degradation	-0	-0	-0
Naphthalene family	-0	-0	-0
Natural killer cell mediated cytotoxicity	0.0142781729425515	0.005149334819152143	0.06806347695051211
Necroptosis	0	0	0.11424720429569336
