sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
BPS_low_wk22_inoculum_d0_A,-25.630645464440665,5.809867263580325,9.564124719587594,-4.325064937942217,0.919535312543737,-7.942438597058505,4.312753624787459,-1.809436539657125,2.9954946620641176,-0.2542876431382745,-5.524188059607547,2.986125943239796,0.22130763079459034,-0.11749704400389242,-8.131429734350855,2.6936345483898143,0.10742351240945582,0.02614258734174766,0.6757242631532988,1.2475847785057708,0.7468073629244425,3.168085613493368,-1.661331116397893,-2.457493835368671,-1.5575986225922651,-1.0355377879916927,8.701619225853895,5.48962339374802,1.0502226368833611,-3.436502534356978,-3.729282714736993,-0.330665181076012,8.732760377344668,-0.42733947447559234,-3.2406727368960176e-13
BPS_low_wk22_inoculum_d0_B,-33.5506045549554,-2.236910101988721,-0.3277735216459363,-5.646031005373202,4.528777397441422,7.542529126149993,-1.7068910283170278,-2.184855115754827,4.494872323601507,4.139515905445117,-4.462618850615455,-6.863009978795679,0.7031025576405927,-1.7172516110084461,3.3668785479738927,-1.056799326438537,4.095629059038994,-2.7492598764661977,3.5473132659352387,-0.1496744654613335,2.7825674504671425,2.1991281424165736,0.06225044826985524,-0.7209532838278042,3.562282518598276,-8.58885911707241,3.5477357869329196,2.6040597811320363,-2.7829340961481663,-1.3794983027947019,5.171693912472138,0.8097199155150459,-5.2399264539843315,5.275284419928961,-3.229354280530234e-13
BPS_low_wk22_inoculum_d0_C,-28.966924365627367,1.974530308356647,5.453227889700541,-2.391807128863016,-0.5372117677925186,-0.8569112969303716,-5.772558622354322,-4.531773665371615,1.17082336979532,-0.9836282808433495,-1.2704620292269748,-8.114995366149248,4.154247116619504,3.764334944806794,0.7191629482858165,-2.7137878373249307,-0.9414487279346165,0.6160100715537448,0.5394107917602471,-10.221074786138452,-5.069576841478872,-2.1524679666163626,7.833290092833703,-1.0245352405046904,-0.5295592916887605,3.3802614203696884,-2.1540925734336467,3.3390040482856422,3.667384295968079,5.25411692053127,-2.517587420088114,-4.3284572176911515,-0.3085003129868019,-3.1272502630595165,-3.244464597049516e-13
BPS_low_wk22_inoculum_d0_D,-15.23024028936723,8.588239457447157,22.75024997471079,-8.077461271142868,-1.9638762737020714,-2.2890708823152277,5.646266409709206,5.308054211648929,-3.4116395247638542,-2.006924004033843,-0.9112835387504076,-1.8127350401950186,-5.948140317626469,2.856055546160636,-1.5047985359521863,5.951031540479907,0.6432779862772915,-9.402027340896224,2.1102693127138137,1.8847657522710206,-2.9716076492399526,-4.784445416965315,-5.724745170781632,-4.885254909052539,1.345121466007196,1.9511238740482044,-6.012340475680967,-3.0593319137501505,-3.9011928330426318,2.0020536180593154,-0.2837169327446749,-1.6052236618470714,-1.6697195627751824,0.2598287706698499,-3.1839256271083956e-13
BPS_low_wk22_inoculum_d0_E,-22.11396722535884,7.768311114873096,11.436584918445647,-1.2839756681082617,-4.406707443154157,-2.744519114719224,-2.8888387053350955,0.4291981513657645,-3.2389725936974774,1.8474203006638197,1.4841475642507367,1.7128074997669323,0.11462478260205503,1.918360380133358,-0.20177925003473873,-0.008766632942088062,-2.2610384743316305,4.3019821430974785,-9.138976580862792,-0.24909605236436808,0.03150906385456662,-3.362619368228647,-0.2737599616594636,1.2776074087631928,-9.145729960747175,-1.4434019930821098,2.1957477569030512,-6.128549773795601,4.654646291334323,-3.8475680102227763,8.518652429575297,0.23048287808761628,-1.6578126985587316,0.11422955196815979,-3.215054452896917e-13
BPS_low_wk22_inoculum_d0_F,-31.68642630522428,0.18202978179292942,2.4857143030148627,-5.138971075567244,1.997199893452333,9.218380466227304,-7.798849039828489,-0.6393216104631629,1.326846700601465,-0.5005373307644366,-3.0247346611313626,-0.49766276717519214,0.1250880415908598,-2.332781860867989,2.0165973304539637,-1.6158802207369598,2.532272466630022,3.879361293604466,-1.6967745107359657,10.923261588429813,1.823104980313155,3.1482279785189826,-0.955340889332663,6.374958225508168,1.3646658950050063,8.676438344077399,-1.439179697879241,-2.26424698135744,-2.814881961149244,2.6935747404563215,-1.4453756051546074,2.1605255225871245,1.753194767652158,-3.6092655325940273,-3.198100951488974e-13
BPS_low_wk22_inoculum_d0_G,-20.15431424493455,10.220230082195007,15.741787512457872,-2.651505633168216,-1.4170581856318993,-5.089135791251922,2.075241415462393,5.1926737400629195,-4.297967376774582,2.502022465558437,11.363199426890795,7.862473924139061,0.11338301882338213,-5.915612715716512,5.923597459418058,-3.0319785832724975,-4.540659692846636,3.171177194659451,2.950389471781747,-3.7676464279490376,3.5722932851824636,3.521648224815577,2.9907363400430347,2.1956905123329764,4.00007521525679,-2.625095591991177,-3.4169434318285505,1.1234631306928766,0.6606568552242519,-1.2114282331490207,-4.250750722009252,4.222900961305069,-0.5425082245779557,1.1963618719312223,-3.224204638937897e-13
BPS_low_wk22_control_d2_A,-1.2430070677761729,12.70618899635485,-11.179431680095572,4.294100762436488,6.09616442782999,-5.996225561986276,6.110373211347,-8.847557957581753,5.019778181549977,-6.908052282456581,-4.214116398398254,6.327085193535939,-1.8039860607329643,-4.731999706192757,6.6933585827024915,2.5230968702701295,-3.8020498134634995,-0.31823525726150265,-3.7056529110062195,-0.36146233872563377,2.719588586256558,-1.9112463855706818,3.211396420770764,-4.502006378253533,-2.7122541530815214,1.8188957594327404,0.2965862797520643,0.9601297107696712,-4.410288273935228,7.795415733653695,3.016657481814958,3.0879172154355357,-0.03433573268170663,1.7890148343212562,-3.165000363545781e-13
BPS_low_wk22_control_d2_B,5.672868101479771,10.506638983638156,-10.666298042493269,1.5123282380276646,5.21823158299033,-6.153192104441954,-4.658811720535218,-7.096186218658206,-2.699176426771024,2.2097324987322575,-7.3208157478266775,0.0961933568430178,2.564976371842425,-4.06276350965911,1.5420071404327296,-2.4409411681639637,1.335499782067341,-7.459662900650116,-6.748354012710733,-1.7461107811659158,-1.2251545288116228,6.258565251941573,-2.303139818751597,-0.8883209834607584,3.2291245019049897,-0.6050685663832172,-8.652576238125734,-1.3825163725822418,2.333728662345959,-7.474098433554664,-0.5726097719016033,-0.7371078894339681,1.5527341244552393,-1.1431353641326254,-3.161646979065004e-13
BPS_low_wk22_control_d2_C,7.181430991082831,10.93531493617574,-6.988486183698321,2.109415321664109,3.0481480040167295,-2.1693739536868644,-9.182458528492269,5.856927547689048,4.046655681244287,2.985387520025233,3.410962498648209,3.7531371960332383,3.734781908830048,-4.558705142789178,3.057768853340089,3.0831026724884447,-1.3197098336327455,-3.9359670476882593,2.59323508968644,-0.23558283760754362,3.2111079739333572,-3.616735324672227,-0.41618320822322097,3.399767760236616,-2.0855394089396904,3.253598884467972,3.8140457687822957,-1.3222834758347801,-3.0440501381711287,-1.715677151398761,-1.7274801585103334,-11.699937955610153,-0.18331495035958273,3.538566530803658,-3.166651624908204e-13
