group1,group2,R2,p_value,p_adj
inoculum_d0,control_d2,0.14456853627865182,0.165,0.27285714285714285
inoculum_d0,dinp_d2,0.18910488091695,0.095,0.19
inoculum_d0,control_d7,0.38246130639198006,0.01,0.095
inoculum_d0,dinp_d7,0.2930245046493719,0.019,0.095
control_d2,dinp_d2,0.007846300089504259,0.969,0.969
control_d2,control_d7,0.18174714896237007,0.072,0.18
control_d2,dinp_d7,0.09816482087379357,0.262,0.3275
dinp_d2,control_d7,0.18714807620677007,0.066,0.18
dinp_d2,dinp_d7,0.10888162729691173,0.191,0.27285714285714285
control_d7,dinp_d7,0.023753033434880392,0.821,0.9122222222222222
