feature	ASV001	ASV002	ASV003	ASV004	ASV005	ASV006	ASV007	ASV008	ASV009	ASV010	ASV011	ASV012	ASV013	ASV014	ASV015	ASV016	ASV017	ASV018	ASV019	ASV020	ASV021	ASV022	ASV023	ASV024	ASV025	ASV027	ASV028	ASV029	ASV030	ASV032	ASV033	ASV034	ASV035	ASV036	ASV037	ASV038	ASV039	ASV041	ASV042	ASV043	ASV044	ASV045	ASV046	ASV048	ASV049	ASV050	ASV051	ASV052	ASV055	ASV056	ASV058	ASV059	ASV061	ASV062	ASV063	ASV064	ASV065	ASV066	ASV067	ASV068	ASV069	ASV070	ASV072	ASV075	ASV082	ASV083	ASV084	ASV091	ASV092	ASV093	ASV097
BPS_high_wk22_control_d2_A	0.0162598677328023	0.49081080387967	0.342802430675008	0.139335787430674	0.358034799258406	0.22000377423842	0.26549612144207	0.444805644082435	0.0176059940367482	0.231076321929867	0.0255328348740762	0.147236998471997	0.15085299272265	0	0.049308669020436	0.0760359665309622	0.097498786030533	0.156473002978878	0.0110936490200803	0.111452050713701	0.0340987033569726	0.0629041999204199	0.114383189327639	0.0124490162621525	0.0519684849404769	0.0388514261017693	0.0676652314308025	0.0280029989768163	0.019799828972477	0.0288848232014668	0.0382597452335397	0.0392021440537701	0.0257993151734186	0.0379604666001659	0.0347611509426633	0.0455052514565532	0.03109005295652	0.0422280557500825	0.0260630925898616	0.0047749526994628	0.0108862611359412	0.0821971806506999	0.0986447658755676	0.0220856809662169	0.00853825342437656	0	0.0358592536617059	0.0664379835709402	0.0273438535391691	0.0118870793450177	0	0.0149450536500037	0.0359862462669082	0.00675282852861356	0.0155431481537097	0.0240617689770217	0.00798757515517088	0.0143220467983687	0.0138363729632622	0	0.020478955671171	0.0138363729632622	0.0146368814613138	0.00905550889963449	0.00564803852758676	0.00827052353704974	0	0	0	0.00522496396481518	0.00564803852758676
BPS_high_wk22_control_d2_B	0.0262169307620301	0.532751343223125	0.412607867614814	0.163333282178639	0.283846999166158	0.214832209994039	0.377579535803029	0.297892514567722	0.015135207007942	0.229341179195948	0.0277944403466082	0.154306809550004	0.128488605782885	0	0.0712544794476208	0.0680612402039353	0.112649380692317	0.114280929110884	0.0252464533686377	0.0784980133495114	0.0276885337258201	0.104978398270776	0.0900519899289062	0.00890517244369763	0.0737541538113536	0.0571759368897481	0.0691774302404924	0.0433660998156255	0.00484769884436322	0.0233733069582377	0.0655256707114214	0.0248948995163571	0.0172229012740328	0.0593482045057917	0.0222133778104245	0.0427515405266751	0.0275289015646876	0.0347059004884052	0.0273683392743787	0.00685570830416459	0.0241764735215456	0.0628417272326514	0.0858052988781549	0.026440118930269	0.0220141154914355	0	0.0277944403466082	0.0682988707331257	0.020636653121695	0.0134937782337938	0	0.011622868969866	0.0429573603426176	0.00513811563934397	0.0182978786959529	0.0193890460494292	0.00727330274563432	0.0218802740954828	0.00821593079356669	0.0080374990576212	0.0243580650246551	0.00906654577988471	0.0125931085533465	0.006180654206736	0.00641097208560003	0.00513811563934397	0	0	0	0.0117485041771119	0.00342053294535877
BPS_high_wk22_control_d2_C	0	0.188173593604693	0.249051513138246	0.156639170231551	0.154542545761959	0.179475110509137	0.419443323932327	0.309526239713782	0.0260962177082078	0.30529613490854	0	0.184733425495592	0.423752676317516	0	0.0421855832727244	0.133561604231395	0.113442224362611	0.259288965291781	0.0206888633361522	0.149322771683246	0.046124323928907	0.0591850074898091	0.15819176288283	0.0301959117849399	0	0.0652314570647577	0.126759531467638	0.0772843143211485	0	0.0560924458513783	0.112536812995214	0.0380234615616736	0.0529252338099834	0.0879775360220984	0.112959398917179	0.0593495049707914	0.00600836370501131	0.0748826092262924	0.0593495049707914	0.0238123112021534	0.0309687836869194	0.114768869699021	0.107754915750814	0.0139478892816152	0.0176431657403518	0	0.0354491226043836	0.0423172857887076	0.0247286804547702	0.031854091535242	0	0.0170013190047549	0.011549845525063	0.0300574623317232	0.0149109851282922	0.0365310763850183	0.0143408890394749	0.0221802991740145	0.0351734432960687	0.0119053221839566	0.023695275341671	0.0367966029136153	0.0267278150035881	0.0194420581213254	0.0111830770966118	0.012913181960485	0	0.0161632221318887	0.0162489764701613	0	0.0117880208801329
BPS_high_wk22_control_d2_D	0.00397493185023776	0.481667674065497	0.383732687108842	0.160245349993352	0.285193387509054	0.0490122526219704	0.344384611481547	0.2993379857416	0.0219479462355734	0.261553328706509	0.0700236597271206	0.0996295624773778	0.287212287135307	0.109571595958024	0.101897683008902	0.116869079156809	0.147022711371478	0.126533767456637	0.0278203820570941	0.110979166534756	0.0341908095585143	0.0690840993356672	0.0982641206879768	0.0852628605020675	0.046867887491306	0.0321665479917165	0.113005367010948	0.0368064619462413	0.114927182909029	0.044265115110029	0.0148692398510676	0.018211360824939	0.0359373745649177	0.0496534843931617	0.0292732428034794	0	0	0.00628494392133216	0.0728516625177886	0.0469100487155128	0.0516827575190276	0.0655548508213261	0.0811394930289096	0.0523291657918514	0.00794992650646612	0.0269550728773939	0.0150014292961111	0	0.0285906051413971	0.0161424481710473	0.00595822289707989	0.0114141866922506	0	0.00716246307173739	0.0155189024555754	0	0.00628494392133216	0	0	0.00743646551752907	0.0256023867336214	0	0.0252137801235906	0	0	0.00888831144936929	0.0122484489752931	0	0.00628494392133216	0	0
BPS_high_wk22_control_d2_E	0	0.47420209675384	0.393352073902111	0.120780382457428	0.283216985109812	0.241606864224459	0.341652616312953	0.190753502846259	0.0363772952727845	0.24963589045147	0.0455168250668847	0.124051164797541	0.208628890830344	0.172788757541165	0.0460111999166809	0.0912189041359273	0.170776582714472	0.155552671097369	0.0422844577194422	0.188054284312275	0.0575366095593986	0.0638789731005323	0.124251743193963	0.0807270287039421	0.0582477664847624	0.0182420369132336	0.106252928236839	0.0550503146983267	0.106641763275357	0.0508128367712527	0.0250725091381909	0.0239834793002733	0.0703261698991901	0.033123922166401	0.0238115339866694	0	0.0109147483120139	0.00573588361193499	0.0558667676580393	0.0661909638510473	0.0512964340476872	0.0606375490327495	0.0824465264975552	0.0226620367865114	0.00859661680401569	0.0285231942378749	0.00883187568324923	0	0.021161777898956	0.0131354072262099	0.0109147483120139	0.0143319944005875	0	0.00536658890583644	0.0170787985237042	0	0	0	0.0153024598421852	0.00859661680401569	0.0155686409963285	0	0.0209667215672371	0	0	0.00758294811515494	0.0202691948571682	0	0.00928991295317689	0	0.00495985904261871
BPS_high_wk22_control_d2_F	0	0.351701331588773	0.511031552705427	0.0963585718226052	0.434183113549134	0.151932929235431	0.378365408242196	0.211540305845329	0	0.242994044466789	0.0883266278824218	0.10197984411527	0.202322202696444	0.174093776070831	0.103696105410118	0.0873156604811619	0.145258685295352	0.0703887576830673	0.044191763456426	0.0610840606461059	0.0148841647150579	0.0923220416894361	0.0668637165024944	0.0553641356099537	0.0259447686744206	0.0181139141178958	0.11474654058501	0.0318216082256429	0.0560451100792858	0.0162359835580683	0.00767470888305616	0.0164930489657313	0.0157982202582233	0.0635207750058717	0.0146945412112173	0	0.00670079637203117	0	0.0390306214997898	0.0329480312900392	0.0453829219971563	0.0255085891305745	0.0683201417961706	0.0205102653497532	0.0260526687590162	0.0547517425408123	0.00837267209823576	0	0.0271597930799688	0.0207819915571495	0	0.0112334014360966	0	0	0.0160623219655477	0	0	0	0	0.0103227314636729	0.0197438002919257	0	0.0132916290779357	0	0	0	0.00442720318651312	0	0	0	0
BPS_high_wk22_control_d2_G	0.00503986260291356	0.259136963382189	0.287331898387185	0.0192011537972467	0.171161407655069	0.227491669426609	0.418684408120595	0.303455689459767	0.0521191397429482	0.347185323621614	0.0349857015070929	0.151539194164175	0.266946570823494	0.0270975959198158	0.0611450407672849	0.128106950218303	0.177413848159179	0.162863878935978	0.0149154784491262	0.204474478142509	0.051349924856254	0.0408964452279462	0.154983107087305	0.112360584824617	0.0744513064973548	0.0291332300916611	0.135675986444167	0.0617155265162238	0.207372147819136	0.0684951853694316	0.0212445968748563	0.0347576814622166	0.114241862984226	0.122533288809426	0.0617671303739905	0	0.0182679807632235	0.00471170502917416	0.0730457465027757	0.0663919777288072	0.0523324968697237	0.101819461854003	0.0574934910105934	0.0638720659299898	0.01222167897337	0.0373598348310529	0.010240833275696	0	0.0263842095905221	0.0215417913828221	0.0216888624923617	0.0181807705387905	0	0.0112748563897324	0.0222674189420005	0	0	0	0.0106962312568912	0.0123510224994368	0.0254019049186243	0	0.0357945541547983	0	0	0.00926296140509587	0.0152317412562487	0	0.00960223066545893	0	0.00797504535195486
BPS_high_wk22_bps_d2_A	0.0217824708827116	0.519987324430237	0.382003538235372	0	0.289994244648998	0.190855859213568	0.366562460836103	0.343900977612013	0.0237701158442758	0.238586012673609	0.0260872644533235	0.147656829647438	0.154330953527662	0	0.0772047498783608	0.0780323767498622	0.119727724563923	0.152844573402131	0.032195498068405	0.103332676090404	0.0312603626311897	0.10166145980233	0.095905362292918	0.00828864122083021	0.0910870437289498	0.0398288418600848	0.0696768072108893	0.0368123896953644	0.0187808804069785	0.0343544063764425	0.0298289433792944	0.0393156616877343	0.0285996675650586	0.0475865187738198	0.0377756886068015	0.0437899116327262	0.0311101301496174	0.0424859719972323	0.0256040278702103	0.00558572506353468	0.0223484483938163	0.0875745569899879	0.122743469147444	0.0307059650352154	0.0229004294519236	0	0.0373599152058758	0.0805619505370216	0.0304506413211923	0.0128617697702309	0	0.0118513533280437	0.0370239277150794	0.00967486022978064	0.0251114821409598	0.0324371078546596	0.0107463224131299	0.0150948436671512	0.0172200554272012	0.00706405195517581	0.0346260898260044	0.0137984449622544	0.0142436905363354	0.0117189285643111	0.00612376263088105	0.00432436313975779	0	0.00684110591192852	0	0.0128617697702309	0
BPS_high_wk22_bps_d2_B	0.0236330271818327	0.560148907248024	0.425051781162784	0.0881835771748169	0.298626736355734	0.248908246554941	0.368363486377242	0.274159174210627	0.0180937205937142	0.216012921786996	0.0309093548427217	0.13820179347608	0.123856255673563	0	0.0743303958286673	0.0774879987434118	0.104846936738865	0.10445770730576	0.0321319510333061	0.0794591129739568	0.0253629439161631	0.0881177066027767	0.0843705307101915	0.00760270436408411	0.0766350514286908	0.0704601619954754	0.0691874647652242	0.0490412322258942	0	0.0245132484662261	0.0491198212644294	0.0188241029512635	0.0203009756866139	0.0675202035182632	0.021228558396216	0.0358187044017688	0.0300239709471514	0.0276870702399854	0.0295713521258287	0.00679711052562274	0.0175534510973437	0.0529376976925644	0.0855999604333316	0.0307217821694899	0.018514620352697	0	0.0282382528817901	0.059655902863979	0.0198209093092031	0.0133102765579943	0	0.00899456400819224	0.0416878099871057	0.00439319065880499	0.0184103039505222	0.013737462326776	0	0.0222042342857553	0.0124118455801965	0.00651157425411742	0.0205836302235926	0.0101972841588337	0.010568214510747	0.0073417278913872	0.00439319065880499	0.00392429344646685	0	0	0	0.0114431077687129	0
BPS_high_wk22_bps_d2_C	0.00337639501839808	0.204157385736801	0.271201210754577	0.124358186069155	0.168262909847538	0.130779386537996	0.402761103309757	0.348779775901179	0.0296660267975696	0.28702968906238	0.0106549657981452	0.178655546242579	0.418514490240537	0	0.032058509641497	0.111598218063229	0.0850237843797653	0.259360941125454	0.0158042650928012	0.150014145806422	0.053856431790956	0.0584405365553115	0.202427858255811	0.0251601384230897	0.00412311730783964	0.0461221527464819	0.125265777544025	0.0611058350793097	0	0.0624871541809657	0.109357902362987	0.0363750390597907	0.0550316545471186	0.0847213772032605	0.114871910739331	0.0604740023946382	0.00982359935273727	0.0839776187525116	0.0610359555861263	0.00891639539496375	0.0332756911746513	0.13058168195962	0.106589631902284	0.0134777594072956	0.0170983475539886	0	0.0400193678698941	0.0531121124435384	0.0239459305598246	0.0321911307913325	0	0.0166781530807583	0.0133720476223926	0.0296660267975696	0.013994384033065	0.0412086401435343	0.013994384033065	0.0250470393483107	0.0307471768215481	0.0122648906503039	0.0213776896273126	0.0421629122493012	0.0224149534844862	0.019934609011811	0.0124941635439634	0.0163341889173595	0	0.013158077050914	0.0153486644033439	0	0.00789944921897701
