mz__rtMin	putative_mw	exact_mass	compoundID	compound	pathwayID	pathway	annotation	lcms_run
111.04377__0.422	112.0513	112.0524	C04091	cis-1,2-Dihydrobenzene-1,2-diol; cis-Benzeneglycol; cis-Cyclohexa-3,5-diene-1,2-diol; poly-cis-Polyprenyl diphosphate	map00960	Tropane, piperidine and pyridine alkaloid biosynthesis	putative_single	high-dinp-wk07-wk22
111.04378__0.412	112.05129	112.0524	C04091	cis-1,2-Dihydrobenzene-1,2-diol; cis-Benzeneglycol; cis-Cyclohexa-3,5-diene-1,2-diol; poly-cis-Polyprenyl diphosphate	map01100	Metabolic pathways	putative_single	high-bps-wk07-wk22
111.04378__0.412	112.05129	112.0524	C04091	cis-1,2-Dihydrobenzene-1,2-diol; cis-Benzeneglycol; cis-Cyclohexa-3,5-diene-1,2-diol; poly-cis-Polyprenyl diphosphate	map00361	Chlorocyclohexane and chlorobenzene degradation	putative_single	high-bps-wk07-wk22
111.04378__0.412	112.05129	112.0524	C04091	cis-1,2-Dihydrobenzene-1,2-diol; cis-Benzeneglycol; cis-Cyclohexa-3,5-diene-1,2-diol; poly-cis-Polyprenyl diphosphate	map01120	Microbial metabolism in diverse environments	putative_single	high-bps-wk07-wk22
111.04378__0.412	112.05129	112.0524	C04091	cis-1,2-Dihydrobenzene-1,2-diol; cis-Benzeneglycol; cis-Cyclohexa-3,5-diene-1,2-diol; poly-cis-Polyprenyl diphosphate	map00362	Benzoate degradation	putative_single	high-bps-wk07-wk22
111.04378__0.412	112.05129	112.0524	C04091	cis-1,2-Dihydrobenzene-1,2-diol; cis-Benzeneglycol; cis-Cyclohexa-3,5-diene-1,2-diol; poly-cis-Polyprenyl diphosphate	map01220	Degradation of aromatic compounds	putative_single	high-bps-wk07-wk22
111.04378__0.412	112.05129	112.0524	C04091	cis-1,2-Dihydrobenzene-1,2-diol; cis-Benzeneglycol; cis-Cyclohexa-3,5-diene-1,2-diol; poly-cis-Polyprenyl diphosphate	map00310	Lysine degradation	putative_single	high-bps-wk07-wk22
111.04378__0.412	112.05129	112.0524	C04091	cis-1,2-Dihydrobenzene-1,2-diol; cis-Benzeneglycol; cis-Cyclohexa-3,5-diene-1,2-diol; poly-cis-Polyprenyl diphosphate	map00960	Tropane, piperidine and pyridine alkaloid biosynthesis	putative_single	high-bps-wk07-wk22
115.07513__1.483	116.08277	116.0837	C03739	trans-1,2-Cyclohexanediol; trans-Cyclohexane-1,2-diol; alpha-(gamma-L-Glutamyl)-L-amino acid; Glucosaminate; (S)-4-Hydroxymandelonitrile	map01100	Metabolic pathways	putative_single	high-bps-wk07-wk22
115.07513__1.483	116.08277	116.0837	C03739	trans-1,2-Cyclohexanediol; trans-Cyclohexane-1,2-diol; alpha-(gamma-L-Glutamyl)-L-amino acid; Glucosaminate; (S)-4-Hydroxymandelonitrile	map01110	Biosynthesis of secondary metabolites	putative_single	high-bps-wk07-wk22
115.07513__1.483	116.08277	116.0837	C03739	trans-1,2-Cyclohexanediol; trans-Cyclohexane-1,2-diol; alpha-(gamma-L-Glutamyl)-L-amino acid; Glucosaminate; (S)-4-Hydroxymandelonitrile	map01240	Biosynthesis of cofactors	putative_single	high-bps-wk07-wk22
115.07513__1.483	116.08277	116.0837	C03739	trans-1,2-Cyclohexanediol; trans-Cyclohexane-1,2-diol; alpha-(gamma-L-Glutamyl)-L-amino acid; Glucosaminate; (S)-4-Hydroxymandelonitrile	map00480	Glutathione metabolism	putative_single	high-bps-wk07-wk22
115.07513__1.483	116.08277	116.0837	C03739	trans-1,2-Cyclohexanediol; trans-Cyclohexane-1,2-diol; alpha-(gamma-L-Glutamyl)-L-amino acid; Glucosaminate; (S)-4-Hydroxymandelonitrile	map01120	Microbial metabolism in diverse environments	putative_single	high-bps-wk07-wk22
115.07513__1.483	116.08277	116.0837	C03739	trans-1,2-Cyclohexanediol; trans-Cyclohexane-1,2-diol; alpha-(gamma-L-Glutamyl)-L-amino acid; Glucosaminate; (S)-4-Hydroxymandelonitrile	map00460	Cyanoamino acid metabolism	putative_single	high-bps-wk07-wk22
115.07513__1.483	116.08277	116.0837	C03739	trans-1,2-Cyclohexanediol; trans-Cyclohexane-1,2-diol; alpha-(gamma-L-Glutamyl)-L-amino acid; Glucosaminate; (S)-4-Hydroxymandelonitrile	map00030	Pentose phosphate pathway	putative_single	high-bps-wk07-wk22
115.07513__1.483	116.08277	116.0837	C03739	trans-1,2-Cyclohexanediol; trans-Cyclohexane-1,2-diol; alpha-(gamma-L-Glutamyl)-L-amino acid; Glucosaminate; (S)-4-Hydroxymandelonitrile	map02060	Phosphotransferase system (PTS)	putative_single	high-bps-wk07-wk22
115.07513__1.483	116.08277	116.0837	C03739	trans-1,2-Cyclohexanediol; trans-Cyclohexane-1,2-diol; alpha-(gamma-L-Glutamyl)-L-amino acid; Glucosaminate; (S)-4-Hydroxymandelonitrile	map00860	Porphyrin metabolism	putative_single	high-bps-wk07-wk22
115.07513__1.483	116.08277	116.0837	C03739	trans-1,2-Cyclohexanediol; trans-Cyclohexane-1,2-diol; alpha-(gamma-L-Glutamyl)-L-amino acid; Glucosaminate; (S)-4-Hydroxymandelonitrile	map00930	Caprolactam degradation	putative_single	high-bps-wk07-wk22
119.04888__0.803	120.05646	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map01100	Metabolic pathways	putative_single	high-dinp-wk07-wk22
119.04888__0.803	120.05646	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map01120	Microbial metabolism in diverse environments	putative_single	high-dinp-wk07-wk22
