pathwayID	pathway
map05167	Kaposi sarcoma-associated herpesvirus infection
map05140	Leishmaniasis
map00903	Limonene degradation
map00591	Linoleic acid metabolism
map00785	Lipoic acid metabolism
map00540	Lipopolysaccharide biosynthesis
map07015	Local analgesics
map04730	Long-term depression
map04720	Long-term potentiation
map00300	Lysine biosynthesis
map00310	Lysine degradation
map04010	MAPK signaling pathway
map00515	Mannose type O-glycan biosynthesis
map04113	Meiosis - yeast
map04916	Melanogenesis
map01100	Metabolic pathways
map00980	Metabolism of xenobiotics by cytochrome P450
map00680	Methane metabolism
map01120	Microbial metabolism in diverse environments
map04978	Mineral absorption
map04137	Mitophagy - animal
map00261	Monobactam biosynthesis
map00902	Monoterpenoid biosynthesis
map00512	Mucin type O-glycan biosynthesis
map00074	Mycolic acid biosynthesis
map04064	NF-kappa B signaling pathway
map00626	Naphthalene degradation
map07114	Naphthalene family
map04650	Natural killer cell mediated cytotoxicity
map04217	Necroptosis
map00524	Neomycin, kanamycin and gentamicin biosynthesis
map04082	Neuroactive ligand signaling
map04080	Neuroactive ligand-receptor interaction
map04722	Neurotrophin signaling pathway
map04613	Neutrophil extracellular trap formation
map00760	Nicotinate and nicotinamide metabolism
map00910	Nitrogen metabolism
map00633	Nitrotoluene degradation
map04932	Non-alcoholic fatty liver disease
map05223	Non-small cell lung cancer
map01054	Nonribosomal peptide structures
map00401	Novobiocin biosynthesis
map01232	Nucleotide metabolism
map04740	Olfactory transduction
map00670	One carbon pool by folate
map07224	Opioid receptor agonists/antagonists
map00720	Other carbon fixation pathways
map04913	Ovarian steroidogenesis
map04921	Oxytocin signaling pathway
map05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
map03320	PPAR signaling pathway
map04972	Pancreatic secretion
map00770	Pantothenate and CoA biosynthesis
map04928	Parathyroid hormone synthesis, secretion and action
map05012	Parkinson disease
map05200	Pathways in cancer
map05022	Pathways of neurodegeneration - multiple diseases
map00311	Penicillin and cephalosporin biosynthesis
map00040	Pentose and glucuronate interconversions
map00030	Pentose phosphate pathway
map00550	Peptidoglycan biosynthesis
map00405	Phenazine biosynthesis
map00360	Phenylalanine metabolism
map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
map00940	Phenylpropanoid biosynthesis
map04070	Phosphatidylinositol signaling system
map04072	Phospholipase D signaling pathway
map00440	Phosphonate and phosphinate metabolism
map02060	Phosphotransferase system (PTS)
map00195	Photosynthesis
map04744	Phototransduction
map04745	Phototransduction - fly
map00907	Pinene, camphor and geraniol degradation
map04075	Plant hormone signal transduction
map04611	Platelet activation
map00624	Polycyclic aromatic hydrocarbon degradation
map00523	Polyketide sugar unit biosynthesis
map00860	Porphyrin metabolism
map07232	Potassium channel blocking and opening drugs
map00120	Primary bile acid biosynthesis
map00333	Prodigiosin biosynthesis
map07226	Progesterone, androgen and estrogen receptor agonists/antagonists
map04917	Prolactin signaling pathway
map00640	Propanoate metabolism
map07035	Prostaglandins
map05215	Prostate cancer
map04974	Protein digestion and absorption
map04964	Proximal tubule bicarbonate reclamation
map00230	Purine metabolism
map00240	Pyrimidine metabolism
map00620	Pyruvate metabolism
map02024	Quorum sensing
map04015	Rap1 signaling pathway
map04014	Ras signaling pathway
