mz__rtMin	putative_mw	exact_mass	kegg_id	name	formula	pathways	annotation
130.04964__0.095	131.0569	131.0582	C19706	cis-3-Hydroxy-L-proline; cis-3-Hydroxyproline; 5-epi-Aristolochene; (+)-5-epi-Aristolochene; [L-Asp(4-L-Arg)]n-L-Asp	C5H9NO3	Metabolic pathways;Biosynthesis of secondary metabolites;Arginine and proline metabolism;Cyanoamino acid metabolism;Biosynthesis of various plant secondary metabolites;Biosynthesis of phenylpropanoids;2-Oxocarboxylic acid metabolism;Glucosinolate biosynthesis;Sesquiterpenoid and triterpenoid biosynthesis	putative_single
130.08604__0.63	131.09332	131.0946	C02486	(3R)-beta-Leucine; (3R)-3-Amino-4-methylpentanoic acid; (3R)-3-Amino-4-methylvaleric acid; 1,4-beta-D-Mannan	C6H13NO2	Metabolic pathways;Biosynthesis of secondary metabolites;Pyruvate metabolism;Fructose and mannose metabolism;Isoflavonoid biosynthesis	putative_multi
130.08604__0.63	131.09332	131.0946	C21096	Peptidyl-carrier protein; PCP; [Peptidyl-carrier protein]; [pcp]; L-allo-Isoleucine	C6H13NO2	Metabolic pathways;Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments	putative_multi
130.08605__0.618	131.09333	131.0946	C02486	(3R)-beta-Leucine; (3R)-3-Amino-4-methylpentanoic acid; (3R)-3-Amino-4-methylvaleric acid; 1,4-beta-D-Mannan	C6H13NO2	Metabolic pathways;Biosynthesis of secondary metabolites;Pyruvate metabolism;Fructose and mannose metabolism;Isoflavonoid biosynthesis	putative_multi
130.08605__0.618	131.09333	131.0946	C21096	Peptidyl-carrier protein; PCP; [Peptidyl-carrier protein]; [pcp]; L-allo-Isoleucine	C6H13NO2	Metabolic pathways;Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments	putative_multi
130.08607__1.018	131.09334	131.0946	C02486	(3R)-beta-Leucine; (3R)-3-Amino-4-methylpentanoic acid; (3R)-3-Amino-4-methylvaleric acid; 1,4-beta-D-Mannan	C6H13NO2	Metabolic pathways;Biosynthesis of secondary metabolites;Pyruvate metabolism;Fructose and mannose metabolism;Isoflavonoid biosynthesis	putative_multi
130.08607__1.018	131.09334	131.0946	C21096	Peptidyl-carrier protein; PCP; [Peptidyl-carrier protein]; [pcp]; L-allo-Isoleucine	C6H13NO2	Metabolic pathways;Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments	putative_multi
131.0701__0.84	132.07738	132.0786	C03498	Ethyl 3-oxobutanoate; Ethyl acetoacetate; (3-Indolyl)-glycerol phosphate; C1-(3-Indolyl)-glycerol 3-phosphate; (1S,2R)-1-C-(Indol-3-yl)glycerol 3-phosphate; Indole-3-glycerol phosphate; Ester of phosphonic acid	H2PO3R	Metabolic pathways;Biosynthesis of secondary metabolites;Glycine, serine and threonine metabolism;Biosynthesis of amino acids;Biosynthesis of various plant secondary metabolites;Biosynthesis of alkaloids derived from shikimate pathway;Phenylalanine, tyrosine and tryptophan biosynthesis;Indole diterpene alkaloid biosynthesis;Benzoxazinoid biosynthesis	putative_single
131.07022__6.006	132.0775	132.0786	C03498	Ethyl 3-oxobutanoate; Ethyl acetoacetate; (3-Indolyl)-glycerol phosphate; C1-(3-Indolyl)-glycerol 3-phosphate; (1S,2R)-1-C-(Indol-3-yl)glycerol 3-phosphate; Indole-3-glycerol phosphate; Ester of phosphonic acid	H2PO3R	Metabolic pathways;Biosynthesis of secondary metabolites;Glycine, serine and threonine metabolism;Biosynthesis of amino acids;Biosynthesis of various plant secondary metabolites;Biosynthesis of alkaloids derived from shikimate pathway;Phenylalanine, tyrosine and tryptophan biosynthesis;Indole diterpene alkaloid biosynthesis;Benzoxazinoid biosynthesis	putative_single
133.01307__4.653	134.02043	134.0215	C00711	Malate; Malic acid; 2-Hydroxybutanedioic acid; Oleic acid; (1,4-alpha-D-Glucosyl)n-1; 4-{(1,4)-alpha-D-Glucosyl}(n-1)-D-glucose; 1,4-alpha-D-Glucan; Panose	C4H6O5	Metabolic pathways;One carbon pool by folate;Biosynthesis of secondary metabolites;Longevity regulating pathway - worm;ABC transporters;Glycine, serine and threonine metabolism;Microbial metabolism in diverse environments;Carbohydrate digestion and absorption;Biosynthesis of plant secondary metabolites;Folate transport and metabolism;Pentose and glucuronate interconversions;Fatty acid biosynthesis;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Bacterial chemotaxis;Biosynthesis of unsaturated fatty acids;Cutin, suberine and wax biosynthesis	putative_single
133.01308__1.233	134.02044	134.0215	C00711	Malate; Malic acid; 2-Hydroxybutanedioic acid; Oleic acid; (1,4-alpha-D-Glucosyl)n-1; 4-{(1,4)-alpha-D-Glucosyl}(n-1)-D-glucose; 1,4-alpha-D-Glucan; Panose	C4H6O5	Metabolic pathways;One carbon pool by folate;Biosynthesis of secondary metabolites;Longevity regulating pathway - worm;ABC transporters;Glycine, serine and threonine metabolism;Microbial metabolism in diverse environments;Carbohydrate digestion and absorption;Biosynthesis of plant secondary metabolites;Folate transport and metabolism;Pentose and glucuronate interconversions;Fatty acid biosynthesis;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Bacterial chemotaxis;Biosynthesis of unsaturated fatty acids;Cutin, suberine and wax biosynthesis	putative_single
133.01308__4.567	134.02039	134.0215	C00711	Malate; Malic acid; 2-Hydroxybutanedioic acid; Oleic acid; (1,4-alpha-D-Glucosyl)n-1; 4-{(1,4)-alpha-D-Glucosyl}(n-1)-D-glucose; 1,4-alpha-D-Glucan; Panose	C4H6O5	Metabolic pathways;One carbon pool by folate;Biosynthesis of secondary metabolites;Longevity regulating pathway - worm;ABC transporters;Glycine, serine and threonine metabolism;Microbial metabolism in diverse environments;Carbohydrate digestion and absorption;Biosynthesis of plant secondary metabolites;Folate transport and metabolism;Pentose and glucuronate interconversions;Fatty acid biosynthesis;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Bacterial chemotaxis;Biosynthesis of unsaturated fatty acids;Cutin, suberine and wax biosynthesis	putative_single
135.01107__4.11	136.01834	136.0194	C03799	Ribonucleoside triphosphate; Ribonucleoside 5'-triphosphate; Polyprenylphosphate-glucose	C11H21O9P(C5H8)n	NA	putative_single
